,Instrument,Date,30 Day At-The-Money Implied Volatility Index for Put Options
0,MSFTATMIV.U,2018-12-31T00:00:00Z,38.31
1,MSFTATMIV.U,2019-01-02T00:00:00Z,36.52
2,MSFTATMIV.U,2019-01-03T00:00:00Z,39.9
3,MSFTATMIV.U,2019-01-04T00:00:00Z,36.33
4,MSFTATMIV.U,2019-01-07T00:00:00Z,35.75
5,MSFTATMIV.U,2019-01-08T00:00:00Z,34.38
6,MSFTATMIV.U,2019-01-09T00:00:00Z,33.12
7,MSFTATMIV.U,2019-01-10T00:00:00Z,31.57
8,MSFTATMIV.U,2019-01-11T00:00:00Z,31.5
9,MSFTATMIV.U,2019-01-14T00:00:00Z,31.37
10,MSFTATMIV.U,2019-01-15T00:00:00Z,28.53
11,MSFTATMIV.U,2019-01-16T00:00:00Z,27.65
12,MSFTATMIV.U,2019-01-17T00:00:00Z,28.26
13,MSFTATMIV.U,2019-01-18T00:00:00Z,25.92
14,MSFTATMIV.U,2019-01-18T00:00:00Z,25.92
15,MSFTATMIV.U,2019-01-22T00:00:00Z,30.18
16,MSFTATMIV.U,2019-01-23T00:00:00Z,28.96
17,MSFTATMIV.U,2019-01-24T00:00:00Z,28.32
18,MSFTATMIV.U,2019-01-25T00:00:00Z,26.47
19,MSFTATMIV.U,2019-01-28T00:00:00Z,28.94
20,MSFTATMIV.U,2019-01-29T00:00:00Z,30.54
21,MSFTATMIV.U,2019-01-30T00:00:00Z,29.01
22,MSFTATMIV.U,2019-01-31T00:00:00Z,22.52
23,MSFTATMIV.U,2019-02-01T00:00:00Z,22.36
24,MSFTATMIV.U,2019-02-04T00:00:00Z,20.23
25,MSFTATMIV.U,2019-02-05T00:00:00Z,19.44
26,MSFTATMIV.U,2019-02-06T00:00:00Z,19.96
27,MSFTATMIV.U,2019-02-07T00:00:00Z,21.1
28,MSFTATMIV.U,2019-02-08T00:00:00Z,20.82
29,MSFTATMIV.U,2019-02-11T00:00:00Z,21.17
30,MSFTATMIV.U,2019-02-12T00:00:00Z,19.28
31,MSFTATMIV.U,2019-02-13T00:00:00Z,19.16
32,MSFTATMIV.U,2019-02-14T00:00:00Z,19.36
33,MSFTATMIV.U,2019-02-15T00:00:00Z,18.7
34,MSFTATMIV.U,2019-02-15T00:00:00Z,18.7
35,MSFTATMIV.U,2019-02-19T00:00:00Z,18.47
36,MSFTATMIV.U,2019-02-20T00:00:00Z,18.66
37,MSFTATMIV.U,2019-02-21T00:00:00Z,18.77
38,MSFTATMIV.U,2019-02-22T00:00:00Z,17.91
39,MSFTATMIV.U,2019-02-25T00:00:00Z,18.01
40,MSFTATMIV.U,2019-02-26T00:00:00Z,18.21
41,MSFTATMIV.U,2019-02-27T00:00:00Z,18.46
42,MSFTATMIV.U,2019-02-28T00:00:00Z,19.33
43,MSFTATMIV.U,2019-03-01T00:00:00Z,17.96
44,MSFTATMIV.U,2019-03-04T00:00:00Z,19.23
45,MSFTATMIV.U,2019-03-05T00:00:00Z,18.08
46,MSFTATMIV.U,2019-03-06T00:00:00Z,18.53
47,MSFTATMIV.U,2019-03-07T00:00:00Z,19.7
48,MSFTATMIV.U,2019-03-08T00:00:00Z,19.46
49,MSFTATMIV.U,2019-03-11T00:00:00Z,17.36
50,MSFTATMIV.U,2019-03-12T00:00:00Z,17.14
