date,value
2003-01-01,2.78
2003-02-01,2.68
2003-03-01,2.61
2003-04-01,2.45
2003-05-01,2.34
2003-06-01,2.27
2003-07-01,2.24
2003-08-01,2.16
2003-09-01,2.19
2003-10-01,2.15
2003-11-01,2.02
2003-12-01,1.97
2004-01-01,1.96
2004-02-01,2.04
2004-03-01,2.14
2004-04-01,2.25
2004-05-01,2.25
2004-06-01,2.38
2004-07-01,2.24
2004-08-01,2.24
2004-09-01,2.24
2004-10-01,2.24
2004-11-01,2.3
2004-12-01,2.31
2005-01-01,2.31
2005-02-01,2.29
2005-03-01,2.23
2005-04-01,2.26
2005-05-01,2.34
2005-06-01,2.2
2005-07-01,2.32
2005-08-01,2.28
2005-09-01,2.33
2005-10-01,2.32
2005-11-01,2.42
2005-12-01,2.47
2006-01-01,2.44
2006-02-01,2.49
2006-03-01,2.58
2006-04-01,2.68
2006-05-01,2.8
2006-06-01,3.01
2006-07-01,3.08
2006-08-01,3.22
2006-09-01,3.21
2006-10-01,3.28
2006-11-01,3.16
2006-12-01,3.11
2007-01-01,3.15
2007-02-01,3.17
2007-03-01,3.11
2007-04-01,2.95
2007-05-01,2.77
2007-06-01,2.64
2007-07-01,2.53
2007-08-01,2.46
2007-09-01,2.47
2007-10-01,2.5
2007-11-01,2.66
2007-12-01,2.7
2008-01-01,2.74
2008-02-01,2.62
2008-03-01,2.69
2008-04-01,2.73
2008-05-01,2.79
2008-06-01,2.93
2008-07-01,3.0
2008-08-01,3.07
2008-09-01,3.07
2008-10-01,2.92
2008-11-01,2.77
2008-12-01,2.62
2009-01-01,2.55
2009-02-01,2.56
2009-03-01,2.45
2009-04-01,2.37
2009-05-01,2.28
2009-06-01,2.09
2009-07-01,1.91
2009-08-01,1.75
2009-09-01,1.61
2009-10-01,1.51
2009-11-01,1.37
2009-12-01,1.32
2010-01-01,1.16
2010-02-01,1.04
2010-03-01,0.92
2010-04-01,0.87
2010-05-01,0.81
2010-06-01,0.79
2010-07-01,0.76
2010-08-01,0.69
2010-09-01,0.66
2010-10-01,0.67
2010-11-01,0.82
2010-12-01,0.83
2011-01-01,0.94
2011-02-01,1.11
2011-03-01,1.18
2011-04-01,1.23
2011-05-01,1.29
2011-06-01,1.32
2011-07-01,1.42
2011-08-01,1.62
2011-09-01,1.7
2011-10-01,1.84
2011-11-01,1.88
2011-12-01,2.04
2012-01-01,2.11
2012-02-01,2.02
2012-03-01,2.11
2012-04-01,2.18
2012-05-01,2.21
2012-06-01,2.29
2012-07-01,2.28
2012-08-01,2.17
2012-09-01,2.21
2012-10-01,2.2
2012-11-01,2.18
2012-12-01,2.09
2013-01-01,2.06
2013-02-01,2.15
2013-03-01,2.09
2013-04-01,1.93
2013-05-01,1.93
2013-06-01,1.89
2013-07-01,1.87
2013-08-01,1.9
2013-09-01,1.88
2013-10-01,1.87
2013-11-01,1.89
2013-12-01,1.86
2014-01-01,1.83
2014-02-01,1.79
2014-03-01,1.83
2014-04-01,2.04
2014-05-01,2.13
2014-06-01,2.15
