"DATE","TIME PERIOD","Lending for house purchase vis-a-vis euro area households reported by MFIs excl. ESCB in Germany (stocks) (BSI.M.DE.N.A.A22.A.1.U2.2250.Z01.E)","Lending for house purchase vis-a-vis euro area households reported by MFIs excl. ESCB in Spain (stocks) (BSI.M.ES.N.A.A22.A.1.U2.2250.Z01.E)","Lending for house purchase vis-a-vis euro area households reported by MFIs excl. ESCB in France (stocks) (BSI.M.FR.N.A.A22.A.1.U2.2250.Z01.E)","Lending for house purchase vis-a-vis euro area households reported by MFIs excl. ESCB in the euro area (stocks) (BSI.M.U2.N.A.A22.A.1.U2.2250.Z01.E)","Lending for house purchase vis-a-vis domestic households reported by MFIs excl. ESCB in the euro area (stocks) (BSI.M.U2.N.A.A22.F.1.U6.2250.EUR.E)","HICP - Actual rentals for housing (ICP.M.U2.N.041000.4.INX)"
"1996-01-31","1996Jan","","","","","","71.07"
"1996-02-29","1996Feb","","","","","","71.25"
"1996-03-31","1996Mar","","","","","","71.38"
"1996-04-30","1996Apr","","","","","","71.56"
"1996-05-31","1996May","","","","","","71.68"
"1996-06-30","1996Jun","","","","","","71.79"
"1996-07-31","1996Jul","","","","","","72.20"
"1996-08-31","1996Aug","","","","","","72.33"
"1996-09-30","1996Sep","","","","","","72.51"
"1996-10-31","1996Oct","","","","","","72.72"
"1996-11-30","1996Nov","","","","","","72.83"
"1996-12-31","1996Dec","","","","","","72.92"
"1997-01-31","1997Jan","","","","","","73.27"
"1997-02-28","1997Feb","","","","","","73.44"
"1997-03-31","1997Mar","","","","","","73.57"
"1997-04-30","1997Apr","","","","","","73.70"
"1997-05-31","1997May","","","","","","73.81"
"1997-06-30","1997Jun","","","","","","73.87"
"1997-07-31","1997Jul","","","","","","74.28"
"1997-08-31","1997Aug","","","","","","74.40"
"1997-09-30","1997Sep","","","","1385876.05","","74.45"
"1997-10-31","1997Oct","","","","1388570.94","","74.65"
"1997-11-30","1997Nov","","","","1397989.20","","74.73"
"1997-12-31","1997Dec","","","","1418471.07","","74.81"
"1998-01-31","1998Jan","","","","1422736.07","","74.92"
"1998-02-28","1998Feb","","","","1429646.91","","75.06"
"1998-03-31","1998Mar","","","","1438777.89","","75.10"
"1998-04-30","1998Apr","","","","1453428.61","","75.35"
"1998-05-31","1998May","","","","1460991.73","","75.41"
"1998-06-30","1998Jun","","","","1474901.96","","75.49"
"1998-07-31","1998Jul","","","","1486268.95","","75.80"
"1998-08-31","1998Aug","","","","1493906.51","","75.89"
"1998-09-30","1998Sep","","","","1509794.84","","75.98"
"1998-10-31","1998Oct","","","","1518958.70","","76.14"
"1998-11-30","1998Nov","","","","1526281.74","","76.18"
"1998-12-31","1998Dec","","","","1543012.47","","76.24"
"1999-01-31","1999Jan","","","","1538966.13","","76.35"
"1999-02-28","1999Feb","","","","1538821.87","","76.42"
"1999-03-31","1999Mar","","","","1548519.03","","76.49"
"1999-04-30","1999Apr","","","","1560265.09","","76.66"
"1999-05-31","1999May","","","","1576630.21","","76.73"
"1999-06-30","1999Jun","","","","1601336.86","","76.80"
"1999-07-31","1999Jul","","","","1620041.10","","77.07"
"1999-08-31","1999Aug","","","","1629923.83","","77.15"
"1999-09-30","1999Sep","","","","1650880.55","","77.20"
"1999-10-31","1999Oct","","","","1669244.36","","77.29"
"1999-11-30","1999Nov","","","","1687185.86","","77.39"
"1999-12-31","1999Dec","","","","1706533.70","","77.43"
"2000-01-31","2000Jan","","","","1712780.61","","77.33"
"2000-02-29","2000Feb","","","","1721042.43","","77.46"
"2000-03-31","2000Mar","","","","1737085.00","","77.52"
"2000-04-30","2000Apr","","","","1750267.52","","77.62"
"2000-05-31","2000May","","","","1761989.45","","77.70"
"2000-06-30","2000Jun","","","","1779151.00","","77.75"
"2000-07-31","2000Jul","","","","1787498.70","","78.02"
