"DATE","TIME PERIOD","HICP - Actual rentals for housing (ICP.M.U2.N.041000.4.INX)"
"1996-01-31","1996Jan","71.07"
"1996-02-29","1996Feb","71.25"
"1996-03-31","1996Mar","71.38"
"1996-04-30","1996Apr","71.56"
"1996-05-31","1996May","71.68"
"1996-06-30","1996Jun","71.79"
"1996-07-31","1996Jul","72.20"
"1996-08-31","1996Aug","72.33"
"1996-09-30","1996Sep","72.51"
"1996-10-31","1996Oct","72.72"
"1996-11-30","1996Nov","72.83"
"1996-12-31","1996Dec","72.92"
"1997-01-31","1997Jan","73.27"
"1997-02-28","1997Feb","73.44"
"1997-03-31","1997Mar","73.57"
"1997-04-30","1997Apr","73.70"
"1997-05-31","1997May","73.81"
"1997-06-30","1997Jun","73.87"
"1997-07-31","1997Jul","74.28"
"1997-08-31","1997Aug","74.40"
"1997-09-30","1997Sep","74.45"
"1997-10-31","1997Oct","74.65"
"1997-11-30","1997Nov","74.73"
"1997-12-31","1997Dec","74.81"
"1998-01-31","1998Jan","74.92"
"1998-02-28","1998Feb","75.06"
"1998-03-31","1998Mar","75.10"
"1998-04-30","1998Apr","75.35"
"1998-05-31","1998May","75.41"
"1998-06-30","1998Jun","75.49"
"1998-07-31","1998Jul","75.80"
"1998-08-31","1998Aug","75.89"
"1998-09-30","1998Sep","75.98"
"1998-10-31","1998Oct","76.14"
"1998-11-30","1998Nov","76.18"
"1998-12-31","1998Dec","76.24"
"1999-01-31","1999Jan","76.35"
"1999-02-28","1999Feb","76.42"
"1999-03-31","1999Mar","76.49"
"1999-04-30","1999Apr","76.66"
"1999-05-31","1999May","76.73"
"1999-06-30","1999Jun","76.80"
"1999-07-31","1999Jul","77.07"
"1999-08-31","1999Aug","77.15"
"1999-09-30","1999Sep","77.20"
"1999-10-31","1999Oct","77.29"
"1999-11-30","1999Nov","77.39"
"1999-12-31","1999Dec","77.43"
"2000-01-31","2000Jan","77.33"
"2000-02-29","2000Feb","77.46"
"2000-03-31","2000Mar","77.52"
"2000-04-30","2000Apr","77.62"
"2000-05-31","2000May","77.70"
"2000-06-30","2000Jun","77.75"
"2000-07-31","2000Jul","78.02"
"2000-08-31","2000Aug","78.05"
"2000-09-30","2000Sep","78.13"
"2000-10-31","2000Oct","78.22"
"2000-11-30","2000Nov","78.29"
"2000-12-31","2000Dec","78.35"
"2001-01-31","2001Jan","78.35"
"2001-02-28","2001Feb","78.48"
"2001-03-31","2001Mar","78.55"
"2001-04-30","2001Apr","78.64"
"2001-05-31","2001May","78.73"
"2001-06-30","2001Jun","78.81"
"2001-07-31","2001Jul","79.09"
"2001-08-31","2001Aug","79.20"
"2001-09-30","2001Sep","79.27"
"2001-10-31","2001Oct","79.40"
"2001-11-30","2001Nov","79.48"
"2001-12-31","2001Dec","79.55"
"2002-01-31","2002Jan","79.75"
"2002-02-28","2002Feb","79.95"
"2002-03-31","2002Mar","80.08"
"2002-04-30","2002Apr","80.26"
"2002-05-31","2002May","80.35"
"2002-06-30","2002Jun","80.42"
"2002-07-31","2002Jul","80.71"
"2002-08-31","2002Aug","80.83"
"2002-09-30","2002Sep","80.94"
"2002-10-31","2002Oct","81.10"
"2002-11-30","2002Nov","81.20"
"2002-12-31","2002Dec","81.29"
"2003-01-31","2003Jan","81.45"
"2003-02-28","2003Feb","81.57"
"2003-03-31","2003Mar","81.69"
"2003-04-30","2003Apr","81.91"
"2003-05-31","2003May","82.00"
"2003-06-30","2003Jun","82.06"
"2003-07-31","2003Jul","82.30"
"2003-08-31","2003Aug","82.38"
"2003-09-30","2003Sep","82.46"
"2003-10-31","2003Oct","82.58"
"2003-11-30","2003Nov","82.68"
"2003-12-31","2003Dec","82.76"
"2004-01-31","2004Jan","82.90"
"2004-02-29","2004Feb","83.02"
"2004-03-31","2004Mar","83.14"
"2004-04-30","2004Apr","83.32"
