,value,Unemployment Rate,Inflation Rate,Number of Car Sales,Electricity Price CPI in US Cities
2008-01,1012.0,5.0,2.74,15.705,178.944
2008-02,1065.0,4.9,2.62,15.491,179.047
2008-03,947.0,5.1,2.69,15.114,180.178
2008-04,1032.0,5.0,2.73,14.605,182.577
2008-05,975.0,5.4,2.79,14.697,184.512
2008-06,1066.0,5.6,2.93,14.377,186.139
2008-07,965.0,5.8,3.0,13.006,189.917
2008-08,895.0,6.1,3.07,14.119,192.476
2008-09,817.0,6.1,3.07,12.961,191.3
2008-10,791.0,6.5,2.92,10.933,192.676
2008-11,625.0,6.8,2.77,10.526,193.117
2008-12,550.0,7.3,2.62,10.383,193.965
2009-01,466.0,7.8,2.55,9.786,194.538
2009-02,583.0,8.3,2.56,9.223,195.16
2009-03,510.0,8.7,2.45,9.748,194.917
2009-04,458.0,9.0,2.37,9.379,193.972
2009-05,532.0,9.4,2.28,10.176,192.86
2009-06,582.0,9.5,2.09,10.149,192.218
2009-07,581.0,9.5,1.91,11.566,190.553
2009-08,598.0,9.6,1.75,14.754,190.533
2009-09,590.0,9.8,1.61,9.535,190.915
2009-10,529.0,10.0,1.51,10.576,191.728
2009-11,574.0,9.9,1.37,11.041,192.834
2009-12,557.0,9.9,1.32,11.284,192.778
2010-01,591.0,9.8,1.16,10.893,191.083
2010-02,575.0,9.8,1.04,10.315,190.035
2010-03,626.0,9.9,0.92,11.772,193.547
2010-04,672.0,9.9,0.87,11.454,194.839
2010-05,593.0,9.6,0.81,12.03,193.61
2010-06,549.0,9.4,0.79,11.598,192.905
2010-07,546.0,9.4,0.76,11.948,193.589
2010-08,598.0,9.5,0.69,12.014,194.073
2010-09,610.0,9.5,0.66,11.922,193.348
2010-10,519.0,9.4,0.67,12.414,192.971
2010-11,555.0,9.8,0.82,12.3,193.354
2010-12,529.0,9.3,0.83,12.605,194.078
2011-01,596.0,9.1,0.94,12.806,193.374
2011-02,479.0,9.0,1.11,13.081,193.756
2011-03,549.0,9.0,1.18,13.259,195.272
2011-04,523.0,9.1,1.23,13.326,195.768
2011-05,560.0,9.0,1.29,12.28,196.595
2011-06,629.0,9.1,1.32,11.886,195.901
2011-07,604.0,9.0,1.42,12.72,197.761
2011-08,571.0,9.0,1.62,12.604,197.959
2011-09,658.0,9.0,1.7,13.356,198.932
2011-10,628.0,8.8,1.84,13.73,198.892
2011-11,685.0,8.6,1.88,13.743,198.6
2011-12,657.0,8.5,2.04,13.798,198.213
2012-01,699.0,8.3,2.11,14.395,197.833
2012-02,698.0,8.3,2.02,14.975,197.289
2012-03,654.0,8.2,2.11,14.594,196.514
2012-04,717.0,8.2,2.18,14.769,196.761
2012-05,708.0,8.2,2.21,14.496,196.748
2012-06,760.0,8.2,2.29,14.467,196.602
2012-07,746.0,8.2,2.28,14.38,195.257
2012-08,750.0,8.1,2.17,14.444,195.876
2012-09,872.0,7.8,2.21,15.099,196.087
2012-10,894.0,7.8,2.2,14.83,196.589
2012-11,861.0,7.7,2.18,15.456,197.273
2012-12,954.0,7.9,2.09,15.462,197.322
2013-01,890.0,8.0,2.06,15.813,198.349
2013-02,917.0,7.7,2.15,15.861,198.641
2013-03,1036.0,7.5,2.09,15.721,198.289
2013-04,853.0,7.6,1.93,15.811,198.831
2013-05,914.0,7.5,1.93,15.884,200.164
2013-06,836.0,7.5,1.89,16.149,200.462
2013-07,896.0,7.3,1.87,16.021,201.333
2013-08,891.0,7.2,1.9,15.827,201.22
2013-09,873.0,7.2,1.88,15.857,202.581
2013-10,889.0,7.2,1.87,15.727,202.603
2013-11,1091.0,6.9,1.89,16.079,203.072
2013-12,999.0,6.7,1.86,15.835,203.729
2014-01,880.0,6.6,1.83,15.614,206.278
2014-02,907.0,6.7,1.79,15.993,205.716
2014-03,946.0,6.7,1.83,16.985,208.713
2014-04,1072.0,6.2,2.04,16.695,202.92
2014-05,1001.0,6.3,2.13,17.137,207.422
2014-06,893.0,6.1,2.15,17.516,208.955
2014-07,1093.0,6.2,2.1,17.277,209.72
2014-08,956.0,6.1,1.95,17.239,209.764
2014-09,1017.0,5.9,1.948365,16.959,208.835
