Date,Close Price
2017-12-29,250.24
2018-01-02,248.62
2018-01-03,251.36
2018-01-04,250.94
2018-01-05,252.82
2018-01-08,254.85
2018-01-09,254.01
2018-01-10,249.25
2018-01-11,244.9
2018-01-12,246.34
2018-01-15,245.12
2018-01-16,248.17
2018-01-17,249.18
2018-01-18,247.76
2018-01-19,249.12
2018-01-22,248.25
2018-01-23,249.9
2018-01-24,247.95
2018-01-25,244.73
2018-01-26,246.7
2018-01-29,244.61
2018-01-30,244.85
2018-01-31,247.16
2018-02-01,242.12
2018-02-02,238.52
2018-02-05,233.76
2018-02-06,228.92
2018-02-07,234.23
2018-02-08,228.31
2018-02-09,228.15
2018-02-12,229.59
2018-02-13,227.52
2018-02-14,229.18
2018-02-15,227.88
2018-02-16,232.45
2018-02-19,230.59
2018-02-20,232.06
2018-02-21,232.56
2018-02-22,232.9
2018-02-23,236.16
2018-02-26,235.74
2018-02-27,232.45
2018-02-28,232.56
2018-03-01,231.19
2018-03-02,229.39
2018-03-05,232.55
2018-03-06,231.0
2018-03-07,234.78
2018-03-08,238.53
2018-03-09,235.55
2018-03-12,235.85
2018-03-13,234.41
2018-03-14,235.4
2018-03-15,237.1
2018-03-16,236.31
2018-03-19,235.62
2018-03-20,237.17
2018-03-21,235.98
2018-03-22,236.27
2018-03-23,234.29
2018-03-26,232.73
2018-03-27,234.46
2018-03-28,236.85
2018-03-29,238.98
2018-03-29,238.98
2018-03-29,238.98
2018-04-03,238.49
2018-04-04,238.46
2018-04-05,240.58
2018-04-06,240.62
2018-04-09,241.01
2018-04-10,240.1
2018-04-11,239.17
2018-04-12,239.03
2018-04-13,242.23
2018-04-16,241.04
2018-04-17,244.12
2018-04-18,243.75
2018-04-19,242.19
2018-04-20,242.35
2018-04-23,241.66
2018-04-24,241.9
2018-04-25,241.54
2018-04-26,244.39
2018-04-27,246.05
2018-04-30,248.65
2018-05-01,248.65
2018-05-02,248.19
2018-05-03,247.15
2018-05-04,247.48
2018-05-07,249.53
2018-05-08,248.96
2018-05-09,248.39
2018-05-10,246.8
2018-05-11,246.55
2018-05-14,246.78
2018-05-15,244.92
2018-05-16,243.02
2018-05-17,243.34
2018-05-18,243.83
2018-05-21,243.44
2018-05-22,243.48
2018-05-23,242.51
2018-05-24,240.62
2018-05-25,243.36
2018-05-28,242.36
2018-05-29,240.67
2018-05-30,244.07
2018-05-31,244.92
2018-06-01,242.95
2018-06-04,245.83
2018-06-05,247.16
2018-06-06,247.27
2018-06-07,245.8
2018-06-08,246.76
2018-06-11,245.97
2018-06-12,245.18
2018-06-13,245.81
2018-06-14,247.78
2018-06-15,249.29
2018-06-18,247.14
2018-06-19,244.8
2018-06-20,246.59
2018-06-21,245.42
2018-06-22,247.13
2018-06-25,245.18
