Date,Close Price
2017-12-29,424.2
2018-01-02,422.83
2018-01-03,425.53
2018-01-04,434.77
2018-01-05,437.98
2018-01-08,441.07
2018-01-09,443.63
2018-01-10,446.67
2018-01-11,446.38
2018-01-12,444.99
2018-01-15,446.89
2018-01-16,446.7
2018-01-17,445.69
2018-01-18,445.98
2018-01-19,449.08
2018-01-22,450.79
2018-01-23,456.33
2018-01-24,460.51
2018-01-25,458.95
2018-01-26,461.74
2018-01-29,461.24
2018-01-30,458.51
2018-01-31,458.15
2018-02-01,460.7
2018-02-02,454.7
2018-02-05,451.81
2018-02-06,438.5
2018-02-07,454.12
2018-02-08,442.67
2018-02-09,438.31
2018-02-12,443.7
2018-02-13,441.36
2018-02-14,446.62
2018-02-15,447.36
2018-02-16,452.03
2018-02-19,451.17
2018-02-20,451.48
2018-02-21,458.03
2018-02-22,458.56
2018-02-23,457.17
2018-02-26,458.85
2018-02-27,459.61
2018-02-28,460.05
2018-03-01,452.95
2018-03-02,441.31
2018-03-05,447.83
2018-03-06,448.84
2018-03-07,455.44
2018-03-08,459.38
2018-03-09,460.57
2018-03-12,463.9
2018-03-13,459.94
2018-03-14,459.03
2018-03-15,461.39
2018-03-16,461.35
2018-03-19,457.33
2018-03-20,463.07
2018-03-21,463.07
2018-03-22,455.42
2018-03-23,446.46
2018-03-26,442.96
2018-03-27,452.78
2018-03-28,452.47
2018-03-29,453.18
2018-03-29,453.18
2018-03-29,453.18
2018-04-03,451.5
2018-04-04,447.77
2018-04-05,459.15
2018-04-06,457.17
2018-04-09,462.31
2018-04-10,463.78
2018-04-11,455.1
2018-04-12,453.61
2018-04-13,453.57
2018-04-16,453.54
2018-04-17,457.7
2018-04-18,460.51
2018-04-19,462.0
2018-04-20,462.32
2018-04-23,463.9
2018-04-24,465.3
2018-04-25,458.21
2018-04-26,464.96
2018-04-27,466.01
2018-04-30,465.38
2018-05-01,465.38
2018-05-02,475.69
2018-05-03,471.3
2018-05-04,476.09
2018-05-07,478.13
2018-05-08,476.03
2018-05-09,474.4
2018-05-10,475.03
2018-05-11,475.95
2018-05-14,470.54
2018-05-15,473.58
2018-05-16,470.03
2018-05-17,468.93
2018-05-18,464.75
2018-05-21,463.68
2018-05-22,462.31
2018-05-23,454.78
2018-05-24,453.64
2018-05-25,455.27
2018-05-28,453.83
2018-05-29,448.09
2018-05-30,450.46
2018-05-31,452.69
2018-06-01,458.1
2018-06-04,461.1
2018-06-05,461.96
2018-06-06,463.58
2018-06-07,461.25
2018-06-08,458.46
2018-06-11,459.67
2018-06-12,461.14
2018-06-13,462.32
2018-06-14,465.28
2018-06-15,461.73
2018-06-18,456.93
2018-06-19,455.12
2018-06-20,454.98
2018-06-21,450.93
2018-06-22,450.66
2018-06-25,444.74
2018-06-26,447.59
2018-06-27,449.41
2018-06-28,442.53
2018-06-29,447.4
2018-07-02,444.3
2018-07-03,449.95
2018-07-04,449.53
2018-07-05,450.72
2018-07-06,454.4
2018-07-09,457.09
2018-07-10,459.73
2018-07-11,456.77
2018-07-12,457.91
2018-07-13,458.11
2018-07-16,458.73
2018-07-17,460.15
2018-07-18,462.48
