,Global Supply Chain Pressure Index,Industrial Production, New Orders,PPI,Industrial Production (Manufacturing Only),Global Price of Industrial Materials
2008-01,-0.366525377259299,102.1493,478676.0,181.0,106.2058,143.41033555538
2008-02,0.45991054830301,101.7756,473714.0,182.7,105.4437,150.358966081354
2008-03,0.1563770390416669,101.4508,473829.0,187.9,105.0141,157.212076774098
2008-04,0.1441137035836474,100.7554,477888.0,190.9,103.9354,154.919758298812
2008-05,-0.1075648323346224,100.1336,477706.0,196.6,103.3508,149.207488632354
2008-06,0.2794953708932952,99.8728,485010.0,200.5,102.6186,145.72457499522
2008-07,1.0055423698712926,99.4194,477725.0,205.5,101.4769,145.47428491615
2008-08,0.2867081548750496,97.8491,463929.0,199.0,100.1638,136.863142146556
2008-09,-0.522437728412524,93.5576,452545.0,196.9,96.5956,130.656273340629
2008-10,-0.9615876889730834,94.4985,419715.0,186.4,96.0624,107.520491410893
2008-11,-1.5125310012941526,93.2617,386733.0,176.8,93.6504,97.5115453828623
2008-12,-0.6898680396657457,90.6266,365490.0,170.9,90.4374,92.5687830700196
2009-01,-0.3904970263185312,88.3712,343559.0,171.2,87.4764,96.146009789515
2009-02,-0.4189525090905749,87.843,343150.0,169.3,87.4964,94.404635216806
2009-03,0.2045114025141165,86.4689,333431.0,168.1,85.9802,90.7056117647243
2009-04,0.8599170050465734,85.7903,334449.0,169.1,85.4365,95.5067294704433
2009-05,0.3486474290845901,84.9436,339817.0,170.8,84.5396,100.932780129565
2009-06,-0.4884455612877176,84.6746,345129.0,174.1,84.332,109.062725871323
2009-07,-0.7255715816774433,85.6853,348909.0,172.5,85.7961,116.127360195631
2009-08,-1.1089470657494178,86.6393,355776.0,175.0,86.8162,131.729647149322
2009-09,-0.484541404674487,87.3821,359189.0,174.1,87.7208,123.894668972581
2009-10,-0.4518209579428315,87.5809,366143.0,175.2,87.7415,129.305046469104
2009-11,-0.7874780863537362,87.9388,369445.0,177.4,88.671,136.262474886994
2009-12,-0.6117842783891306,88.2404,371392.0,178.1,88.536,143.280080177277
2010-01,-0.3223632732928472,89.1897,393694.0,181.9,89.5484,155.128898386002
2010-02,-0.1558574737348496,89.5046,394215.0,181.0,89.5698,152.094455899026
2010-03,0.3594598927140005,90.1356,400659.0,183.3,90.7779,164.883682331724
2010-04,0.282450941984213,90.4607,400842.0,184.4,91.5998,184.493923776492
2010-05,0.4307935847824516,91.7014,404370.0,184.8,92.8159,169.126904616813
2010-06,-0.036638139034335,91.9033,400624.0,183.5,92.8028,157.223940426324
2010-07,-0.0467979186922804,92.2549,402326.0,184.1,93.3195,151.662194920529
2010-08,0.3043164214280808,92.5936,408354.0,184.9,93.5079,165.382511976771
2010-09,0.3738005757988698,92.8533,422049.0,184.9,93.6052,168.865312500186
2010-10,0.676014280772595,92.6033,417830.0,186.6,93.658,179.476253641332
2010-11,0.4551486094971306,92.6686,426427.0,187.7,93.7729,187.393182641615
2010-12,0.7030575486459704,93.5916,429764.0,189.7,94.2792,197.819158568197
2011-01,0.7734862469687631,93.3889,445734.0,192.7,94.3733,209.88201144493
2011-02,0.3634389863022563,93.0045,438975.0,195.8,94.5521,221.141627268373
2011-03,0.7322506579554995,93.9684,463133.0,199.2,95.1905,210.746607668773
2011-04,1.6089484531228435,93.6571,454441.0,203.1,94.6415,215.483818648906
2011-05,0.9359187566672044,93.7723,458536.0,204.1,94.6336,204.207234454358
2011-06,0.2050847230775843,94.0493,454746.0,203.9,94.7651,200.921930406424
2011-07,0.2929965523737817,94.4958,459477.0,204.6,95.2968,202.71077982817
2011-08,-0.0891143859140659,95.0974,468947.0,203.2,95.7347,196.139352370202
2011-09,-0.5357035346089192,95.0244,457843.0,203.7,95.9916,190.239010990775
2011-10,-0.3618523273705253,95.6891,463126.0,201.1,96.525,171.285338793302
2011-11,0.147795412680942,95.6778,471598.0,201.4,96.3246,162.997507966424
2011-12,-0.0305323750271455,96.1809,478391.0,199.8,96.9673,161.594131081403
2012-01,0.3914471588140728,96.7595,481515.0,200.7,97.8623,168.921106623543
2012-02,0.026317712008364,97.0662,486936.0,201.6,98.2798,173.149844780355
2012-03,-0.3458183472217977,96.5609,480147.0,204.2,97.7678,172.829077160829
2012-04,-0.3050181121451672,97.251,474178.0,203.7,98.2858,171.845500889035
2012-05,-0.6541846353502946,97.4595,473108.0,201.9,98.0067,163.735468140703
2012-06,-0.6904304367269172,97.4768,462435.0,199.8,98.3717,156.893221376869
2012-07,-0.6715643373307213,97.6714,472663.0,200.1,98.1887,154.055070058146
