,Skew,VVIX,VIX,MOVE,Oil Vol,EqVol
2008-01,110.93999999999998,81.20904761904761,25.816190476190474,148.7,37.23,0.47989
2008-02,112.894,70.9475,25.456,144.7,29.77,0.4632
2008-03,111.79249999999999,72.267,27.103500000000004,152.2,36.45,0.23716
2008-04,112.56727272727272,66.855,21.562727272727273,141.9,39.72,0.14045
2008-05,116.35,73.77047619047619,18.303333333333335,115.2,38.8,0.18976
2008-06,113.34761904761906,82.79190476190476,22.11047619047619,130.5,43.1,0.0443
2008-07,112.2218181818182,74.32454545454546,24.321818181818184,128.5,46.45,0.22541
2008-08,111.63904761904762,73.29428571428572,20.695714285714285,118.3,46.83,0.18307
2008-09,111.4242857142857,79.36142857142856,30.23857142857143,102.4,46.69,0.18676
2008-10,116.26347826086956,113.75739130434783,61.17739130434782,200.5,57.99,0.36627
2008-11,118.77263157894735,109.01210526315789,62.66894736842105,204.6,84.07,0.30058
2008-12,115.75,84.19318181818181,52.405,213.3,85.31,0.17817
2009-01,119.7875,95.606,44.683,183.1,87.67,0.17876
2009-02,119.97157894736843,92.06368421052632,45.57052631578947,163.4,77.89,0.1925
2009-03,114.72909090909091,79.50863636363637,44.79545454545455,164.0,76.61,0.17958
2009-04,112.62571428571428,70.31380952380952,38.063809523809525,112.6,65.06,0.27625
2009-05,117.002,78.995,31.977999999999998,129.2,50.2,0.11837
2009-06,119.57636363636362,83.7009090909091,29.140454545454546,190.3,42.46,0.0
2009-07,114.99636363636364,79.645,26.162727272727274,161.6,43.01,0.10949
2009-08,118.34428571428572,76.41761904761904,25.337142857142858,141.1,47.92,0.10952
2009-09,118.9,72.49142857142857,24.92666666666667,135.0,46.53,0.20979
2009-10,119.06136363636364,73.90636363636364,24.252272727272725,112.6,45.59,0.31943
2009-11,119.604,79.1615,23.788999999999998,113.7,41.78,0.11493
2009-12,122.36636363636363,77.65454545454546,21.239545454545453,87.5,40.23,0.20215
2010-01,121.70894736842104,78.41631578947369,20.643157894736845,106.4,35.44,0.35236
2010-02,119.50736842105262,82.65736842105264,22.54,85.3,32.45,0.05547
2010-03,120.7495652173913,75.76260869565218,17.767391304347825,79.4,34.29,0.05365
2010-04,126.40428571428572,84.94,17.424285714285716,89.8,29.24,0.05695
2010-05,125.0165,119.727,31.9295,83.6,30.18,0.55079
2010-06,121.02863636363637,100.72909090909091,29.916363636363634,110.3,46.06,0.3409
2010-07,118.58142857142857,94.05666666666667,25.565238095238094,93.8,41.22,0.28986
2010-08,119.06863636363637,88.89818181818181,24.74590909090909,77.6,31.62,0.31893
2010-09,120.91095238095238,83.74238095238096,22.517619047619046,110.1,33.25,0.15589
2010-10,117.99619047619048,84.13142857142857,20.37333333333333,86.5,30.46,0.09925
2010-11,119.76,83.2515,20.095714285714287,98.7,32.83,0.51183
2010-12,122.4031818181818,84.4809090909091,17.56954545454545,110.1,31.17,0.43904
2011-01,125.88399999999999,82.41749999999999,17.3155,105.9,28.21,0.34358
2011-02,128.85222222222222,85.21842105263158,17.43,97.2,33.38,0.21823
2011-03,122.81652173913044,87.65086956521739,20.723478260869566,97.5,41.85,0.11747
2011-04,127.33099999999999,84.6945,16.244,87.5,33.91,0.22166
2011-05,124.4847619047619,89.92190476190477,16.91142857142857,76.3,31.82,0.23767
2011-06,119.68,91.15409090909091,19.153181818181817,72.9,34.77,0.11851
2011-07,122.2225,89.709,19.2275,90.5,30.57,0.33523
2011-08,120.81136363636364,109.81652173913044,35.02913043478261,84.1,34.29,1.36789
2011-09,118.82045454545455,97.88904761904762,36.53,98.8,42.77,0.38065
2011-10,120.73949999999999,97.1242857142857,32.829047619047614,105.7,58.65,0.48082
2011-11,121.175,105.01380952380953,31.94190476190476,116.0,46.63,0.18169
2011-12,117.39238095238095,91.88142857142857,25.047619047619047,100.8,40.89,0.13511
2012-01,122.69149999999999,89.4915,20.228,90.7,40.07,0.60438
2012-02,126.487,98.685,18.4205,72.7,32.18,0.21354
2012-03,125.92590909090909,101.59272727272727,16.167272727272728,77.4,33.2,0.48967
2012-04,119.803,101.5845,17.823,75.6,28.46,0.11767
2012-05,118.50318181818183,102.02681818181819,21.001818181818184,67.0,25.12,0.1337
2012-06,118.97047619047619,102.03380952380952,21.13095238095238,80.6,41.63,0.41068
2012-07,117.27857142857142,95.43571428571428,17.565238095238094,71.6,36.38,0.58809
2012-08,120.40782608695653,92.45173913043477,15.689565217391305,74.1,33.98,0.30882
2012-09,123.41105263157894,90.0242105263158,15.284736842105264,67.1,33.61,0.0
2012-10,122.28809523809525,90.3,16.276190476190475,59.4,32.87,0.1119
2012-11,115.94047619047619,87.37857142857143,16.701904761904764,72.0,31.29,0.54412
2012-12,118.66400000000002,85.98150000000001,17.307,51.019573,28.39,0.40792
2013-01,121.1052380952381,76.70761904761905,13.505238095238095,61.1,27.8,0.72831
2013-02,125.08578947368422,78.2321052631579,14.072631578947368,65.0,22.4,0.19654
2013-03,125.364,84.9045,13.0315,55.0,23.68,0.21899
2013-04,120.11272727272727,87.79045454545455,13.967272727272727,56.2,19.2,0.25229
2013-05,118.27272727272727,83.19047619047619,13.493636363636364,49.0,26.68,0.0994
2013-06,116.8285,91.743,17.2715,79.2,24.79,0.24405
2013-07,115.86954545454546,77.14136363636364,13.974545454545455,101.3,22.18,0.41934
2013-08,117.81590909090909,82.09772727272727,14.21,91.4,22.28,0.05156
2013-09,119.05799999999999,79.46900000000001,14.692000000000002,105.8,29.41,0.4001
2013-10,127.85565217391304,83.43478260869566,15.407826086956522,87.4,22.57,1.0034
2013-11,129.741,68.727,12.924000000000001,69.6,21.29,0.39647
2013-12,132.06857142857143,72.21571428571428,14.192380952380953,73.1,20.28,0.1708
2014-01,131.5004761904762,78.03095238095237,14.24095238095238,73.4,20.24,0.34287
2014-02,129.6357894736842,83.93368421052632,15.47,66.8,21.65,0.26646
2014-03,128.55190476190478,81.67095238095237,14.836666666666666,57.8,20.9,0.11911
2014-04,125.4757894736842,71.10333333333334,14.19809523809524,61.5,19.61,0.30609
2014-05,124.55199999999999,65.84904761904761,12.475238095238096,58.84,18.44,0.11696
2014-06,129.84285714285713,72.77238095238096,11.541428571428572,59.7,15.52,0.54557
2014-07,135.94772727272726,78.51227272727273,12.296363636363635,53.25,16.24,0.17867
2014-08,130.73333333333335,85.41904761904762,13.491904761904761,52.2603,19.39,0.05561
2014-09,132.99380952380952,85.01238095238095,13.466666666666667,61.3464,18.34,0.0
2014-10,125.34478260869564,104.82173913043479,18.058695652173913,64.3,22.38,0.12185
2014-11,129.51894736842107,82.73789473684211,13.413157894736841,67.4482,31.84,0.12866
2014-12,132.2859090909091,103.49772727272726,16.292272727272728,67.3,37.49,0.06081
2015-01,127.601,106.297,19.1195,70.0,54.25,0.74402
2015-02,129.4036842105263,93.74789473684211,15.90421052631579,88.1,57.84,0.12186
2015-03,124.67545454545456,85.53636363636363,14.812727272727273,90.2,54.92,0.11623
2015-04,122.15285714285714,81.14380952380952,13.494761904761905,85.6,50.9,0.0
2015-05,123.474,80.975,13.3385,78.9,35.62,0.29142
2015-06,121.27999999999999,87.91045454545454,14.339545454545457,83.549527,35.3,0.11662
2015-07,122.8409090909091,91.63227272727272,14.352727272727272,90.3,34.11,0.21427
2015-08,123.3104761904762,104.40285714285714,19.42809523809524,74.7,40.91,1.23444
2015-09,132.59285714285713,115.20619047619047,24.377142857142857,88.7,57.51,0.29327
2015-10,132.85090909090908,94.56227272727273,16.789545454545454,81.5,44.61,0.13184
2015-11,135.635,91.6365,16.21,73.2,41.88,0.21094
2015-12,135.48272727272726,104.8190909090909,18.025454545454547,71.0,49.28,0.22347
2016-01,135.22842105263157,106.58631578947367,23.717894736842105,68.8,49.79,0.50688
2016-02,121.30350000000001,93.82050000000001,22.517,73.4583,66.63,0.9174
2016-03,126.535,85.26363636363637,15.84909090909091,84.2161,56.84,0.34453
2016-04,124.32238095238095,87.47380952380952,14.300476190476191,66.997,47.76,0.29223
2016-05,124.69999999999999,86.95571428571428,14.852857142857141,64.6808,45.15,0.29125
2016-06,136.39954545454546,102.83727272727273,17.774545454545457,68.7501,40.0,0.38359
2016-07,127.3835,88.848,13.1585,74.3476,36.18,0.44788
2016-08,132.28347826086957,87.55260869565218,12.399565217391304,63.6696,44.22,0.30714
2016-09,127.05000000000001,95.01523809523809,14.21952380952381,70.2452,41.22,0.0
2016-10,122.73904761904762,93.53095238095239,14.585238095238097,60.4308,38.04,0.29737
2016-11,127.54285714285714,96.22714285714285,15.236190476190476,67.764,40.08,0.11478
2016-12,125.33857142857144,91.03,12.472380952380954,86.6292,40.45,0.69831
2017-01,131.3555,85.337,11.6085,76.7316,32.88,0.41486
2017-02,134.80894736842106,85.28947368421052,11.530526315789475,70.8378,30.65,0.44212
2017-03,140.00565217391303,81.83304347826088,11.89782608695652,69.539,24.67,0.6651
2017-04,138.1921052631579,90.75105263157894,13.136315789473684,61.228,26.89,0.35497
2017-05,128.5481818181818,84.45863636363636,10.862272727272726,59.3993,29.42,0.38684
2017-06,130.3409090909091,87.1590909090909,10.513636363636364,53.9973,31.19,0.0
2017-07,134.7705,85.203,10.2645,55.2549,30.26,0.2208
2017-08,136.44347826086957,100.29565217391306,11.975652173913044,49.9721,30.54,0.47176
2017-09,137.214,94.1975,10.437999999999999,49.4378,28.97,0.17242
2017-10,140.50363636363636,95.77272727272727,10.125454545454545,54.4569,27.72,0.08946
2017-11,130.9509523809524,94.27571428571429,10.54047619047619,49.9351,25.65,0.61453
2017-12,133.568,95.122,10.2645,50.1704,23.73,0.81821
