,China EPU
2005-01,48.80532803
2005-02,39.65326665
2005-03,41.16379089
2005-04,79.47127508
2005-05,23.71642907
2005-06,46.79182074
2005-07,61.57892682
2005-08,59.42799789
2005-09,69.96823336
2005-10,52.49449423
2005-11,35.51594974
2005-12,64.14776984
2006-01,97.78352513
2006-02,63.49165087
2006-03,55.14808161
2006-04,59.35218542
2006-05,37.87595456
2006-06,46.96744424
2006-07,55.85743267
2006-08,59.3136178
2006-09,24.8763386
2006-10,70.7632217
2006-11,59.04700638
2006-12,64.14934971
2007-01,28.99723042
2007-02,39.75543733
2007-03,60.24590986
2007-04,41.06160056
2007-05,37.01333131
2007-06,44.43644407
2007-07,58.83501566
2007-08,50.13804935
2007-09,59.03321823
2007-10,55.08271211
2007-11,46.67106496
2007-12,84.05054526
2008-01,82.04292545
2008-02,54.38575826
2008-03,135.9465055
2008-04,91.60267924
2008-05,67.59962873
2008-06,62.94436205
2008-07,126.0443442
2008-08,128.4167412
2008-09,103.9330504
2008-10,150.5302522
2008-11,126.0783957
2008-12,125.1415112
2009-01,133.947781
2009-02,102.8741879
2009-03,116.0514077
2009-04,81.10388061
2009-05,57.25819516
2009-06,179.8466198
2009-07,134.7848897
2009-08,121.9350516
2009-09,190.3161026
2009-10,121.2544527
2009-11,123.0599435
2009-12,103.5806473
2010-01,119.1620388
2010-02,106.0494584
2010-03,143.9223773
2010-04,95.04216108
2010-05,106.9251537
2010-06,138.4905103
2010-07,127.5013123
2010-08,95.15978271
2010-09,82.11461538
2010-10,97.89968256
2010-11,93.28746339
2010-12,125.7659377
2011-01,155.0462553
2011-02,59.00743678
2011-03,120.7701324
2011-04,135.1717412
2011-05,74.12288335
2011-06,102.6547133
2011-07,99.84159509
2011-08,140.2647613
2011-09,142.514988
2011-10,157.7215381
2011-11,161.8502214
2011-12,159.6143965
2012-01,120.4490894
2012-02,139.152505
2012-03,136.7797916
2012-04,126.3162952
2012-05,133.1500448
2012-06,139.038172
2012-07,120.4032902
2012-08,78.76684521
2012-09,120.4692178
2012-10,113.1046342
2012-11,122.3191181
2012-12,142.077437
2013-01,130.1575789
2013-02,84.2713502
2013-03,90.5134379
2013-04,119.6711113
2013-05,71.52192778
2013-06,102.7161109
2013-07,76.2399961
2013-08,100.9112249
2013-09,100.9327663
2013-10,153.1258459
2013-11,120.5846365
2013-12,124.1559747
2014-01,103.5485547
2014-02,70.57914407
2014-03,99.97414417
2014-04,129.5463889
2014-05,77.43149688
2014-06,105.8055156
2014-07,94.60066506
2014-08,77.59931977
2014-09,107.9098285
2014-10,99.81389864
2014-11,120.1338512
2014-12,58.89923617
2015-01,98.03493372
2015-02,95.11193973
2015-03,116.265651
2015-04,63.93907057
2015-05,68.25076576
2015-06,95.53624936
2015-07,133.6395202
2015-08,60.20590772
2015-09,96.43061547
2015-10,87.33976499
2015-11,96.07801009
2015-12,94.53806507
2016-01,127.4782714
2016-02,108.0552358
2016-03,155.2279389
2016-04,165.2380053
2016-05,117.5464314
2016-06,131.4570154
2016-07,112.3994755
2016-08,116.325771
2016-09,147.5645526
2016-10,106.809263
2016-11,133.0970927
2016-12,130.5673617
2017-01,306.037496
2017-02,176.3995805
2017-03,349.0531329
2017-04,174.1927712
2017-05,130.7553519
2017-06,227.6597283
2017-07,228.2414925
2017-08,164.6848328
2017-09,206.3844492
2017-10,142.533602
2017-11,206.0377588
2017-12,167.6842327
2018-01,265.0796087
2018-02,149.602152
2018-03,254.1363255
2018-04,241.739357
2018-05,210.7990925
2018-06,203.0892821
2018-07,395.6720601
2018-08,269.4765344
2018-09,314.0877032
2018-10,343.3703494
2018-11,438.2358972
2018-12,248.4691029
2019-01,288.099468498562
2019-02,239.986444362618
2019-03,411.150064266454
2019-04,319.414764482013
2019-05,365.101499996138
2019-06,649.072535816154
2019-07,375.902337503833
2019-08,395.985799059666
2019-09,347.394796595017
2019-10,234.095232475743
2019-11,396.179000284422
2019-12,337.921465033862
2020-01,250.321903500956
2020-02,195.706169373674
2020-03,219.402508980348
2020-04,328.805400300115
2020-05,501.33444442373
2020-06,421.641110933879
2020-07,324.662566170534
2020-08,451.631087851069
2020-09,493.402039705619
2020-10,396.79674987595
2020-11,661.82804828749
2020-12,439.123635430217
2021-01,378.35705309334
2021-02,237.408613576867
2021-03,302.30058172503
2021-04,289.630033571675
2021-05,216.860559066636
2021-06,219.762804790051
2021-07,227.924511338185
2021-08,294.827804953211
2021-09,274.950023143039
2021-10,248.473635337268
2021-11,329.069390994896
2021-12,344.003352178407
2022-01,319.071530807706
2022-02,167.081875584505
2022-03,359.005178984309
2022-04,337.153789726457
2022-05,386.750242902272
2022-06,328.094950109791
2022-07,359.977442421623
2022-08,260.880966957428
2022-09,242.556936393941
2022-10,259.049214802676
2022-11,448.588845798041
2022-12,310.496979941266
2023-01,275.41359579382
2023-02,364.287677422576
2023-03,516.976889834461
2023-04,392.605046550195
2023-05,233.991581001473
2023-06,290.407627065338
2023-07,233.748247068568
2023-08,227.150058523315
2023-09,249.484819266559
2023-10,160.979522290178
2023-11,229.345970653544
2023-12,312.794116000289
2024-01,356.97471648219
2024-02,170.818001770421
2024-03,242.846612100357
2024-04,166.740435130865
2024-05,206.280442270518
2024-06,124.295466936886
2024-07,278.561630309805
2024-08,207.982325897929
2024-09,223.656415028356
2024-10,228.078182581377
2024-11,233.826349569436
2024-12,364.407874729867
2025-01,256.9
2025-02,241.6
2025-03,426.836801735043
2025-04,524.835928224473
