Date,.CESICNY,.CESIEUR,.CESIG10,.CESIGL,.CESIUSD
2005-01,36.9,24.9,3.8,3.9,-17.2
2005-02,94.2,59.5,13.8,22.1,-20.0
2005-03,87.4,-4.6,-4.1,8.8,-7.8
2005-04,53.9,-93.5,-29.9,-19.9,6.3
2005-05,3.8,-103.9,-21.0,-27.7,17.2
2005-06,25.3,-44.5,-11.5,-13.0,-7.0
2005-07,55.7,65.7,37.5,30.4,25.0
2005-08,30.4,116.7,43.9,33.1,7.4
2005-09,31.0,159.3,50.8,33.2,2.3
2005-10,31.0,121.6,38.9,30.2,17.4
2005-11,29.6,54.1,42.0,39.9,73.5
2005-12,2.9,69.3,32.6,29.4,43.4
2006-01,-13.8,83.6,6.7,5.7,-23.0
2006-02,23.0,84.5,-4.4,-3.0,-55.4
2006-03,-55.0,90.9,14.6,3.6,-25.9
2006-04,98.7,112.2,48.6,40.9,37.2
2006-05,84.8,77.2,44.9,42.4,52.4
2006-06,162.3,67.9,45.7,49.0,43.8
2006-07,139.9,-6.0,8.5,26.1,-2.2
2006-08,67.3,-40.4,-11.5,3.1,-7.6
2006-09,15.3,-42.1,-37.2,-16.8,-39.2
2006-10,-21.7,33.5,-21.4,-9.0,-52.6
2006-11,-22.1,45.5,-10.4,-2.8,-54.9
2006-12,-2.6,42.0,26.7,18.3,22.0
2007-01,-46.0,30.5,47.8,29.0,73.1
2007-02,-5.6,26.6,24.8,15.5,25.5
2007-03,61.7,43.6,22.8,19.6,4.8
2007-04,127.3,129.9,33.3,30.1,-26.8
2007-05,108.8,106.0,33.6,31.4,3.1
2007-06,107.0,-3.1,9.2,14.0,40.5
2007-07,123.2,-61.1,10.6,25.9,66.5
2007-08,109.0,-8.2,22.0,31.6,59.1
2007-09,68.4,-20.4,-8.0,6.1,-14.0
2007-10,25.8,-4.2,-13.3,-5.3,-36.6
2007-11,38.1,0.2,-20.1,-9.9,-39.9
2007-12,45.4,18.1,12.4,20.4,24.6
