,Default Spread (BofA High Yield OAS)
2005-01,3.06
2005-01,2.97
2005-01,3.04
2005-01,3.09
2005-01,3.07
2005-01,3.1
2005-01,3.19
2005-01,3.2
2005-01,3.24
2005-01,3.22
2005-01,3.21
2005-01,3.24
2005-01,3.24
2005-01,3.33
2005-01,3.37
2005-01,3.37
2005-01,3.29
2005-01,3.27
2005-01,3.23
2005-01,3.27
2005-01,3.29
2005-02,3.26
2005-02,3.2
2005-02,3.15
2005-02,3.19
2005-02,3.17
2005-02,3.14
2005-02,3.22
2005-02,3.16
2005-02,3.12
2005-02,3.11
2005-02,3.06
2005-02,2.99
2005-02,2.99
2005-02,2.93
2005-02,2.93
2005-02,2.92
2005-02,2.93
2005-02,2.88
2005-02,2.85
2005-02,2.83
2005-03,2.81
2005-03,2.84
2005-03,2.83
2005-03,2.86
2005-03,2.82
2005-03,2.76
2005-03,2.71
2005-03,2.78
2005-03,2.73
2005-03,2.77
2005-03,2.77
2005-03,2.89
2005-03,3.0
2005-03,2.98
2005-03,3.08
2005-03,3.08
2005-03,3.19
2005-03,3.18
2005-03,
2005-03,3.19
2005-03,3.28
2005-03,3.38
2005-03,3.52
2005-04,3.55
2005-04,3.59
2005-04,3.53
2005-04,3.48
2005-04,3.41
2005-04,3.39
2005-04,3.47
2005-04,3.58
2005-04,3.61
2005-04,3.75
2005-04,3.89
2005-04,3.98
2005-04,4.0
2005-04,3.94
2005-04,3.82
2005-04,3.86
2005-04,3.88
2005-04,3.92
2005-04,4.04
2005-04,4.16
2005-04,4.15
2005-04,4.19
2005-05,4.17
2005-05,4.13
2005-05,4.12
2005-05,4.13
2005-05,4.07
2005-05,4.05
2005-05,4.13
2005-05,4.23
2005-05,4.28
2005-05,4.39
2005-05,4.49
2005-05,4.57
2005-05,4.55
2005-05,4.4
2005-05,4.33
2005-05,4.29
2005-05,4.28
2005-05,4.16
2005-05,4.07
2005-05,4.02
2005-05,4.02
2005-05,4.13
2005-06,4.13
2005-06,4.0
2005-06,3.9
2005-06,3.99
2005-06,3.99
2005-06,3.98
2005-06,4.01
2005-06,3.91
2005-06,3.88
2005-06,3.83
2005-06,3.78
2005-06,3.83
2005-06,3.81
2005-06,3.81
2005-06,3.82
2005-06,3.9
2005-06,3.88
2005-06,3.93
2005-06,3.96
2005-06,3.86
2005-06,3.81
2005-06,3.85
2005-07,3.75
2005-07,3.75
2005-07,3.71
2005-07,3.75
2005-07,3.78
2005-07,3.67
2005-07,3.61
2005-07,3.54
2005-07,3.51
2005-07,3.46
2005-07,3.43
2005-07,3.4
2005-07,3.43
2005-07,3.43
2005-07,3.36
2005-07,3.39
2005-07,3.36
2005-07,3.35
2005-07,3.31
2005-07,3.33
2005-07,3.25
2005-07,3.3
2005-08,3.29
2005-08,3.29
2005-08,3.32
2005-08,3.31
2005-08,3.29
2005-08,3.31
2005-08,3.33
2005-08,3.32
2005-08,3.37
2005-08,3.42
2005-08,3.37
2005-08,3.41
2005-08,3.37
2005-08,3.41
2005-08,3.39
2005-08,3.39
2005-08,3.4
2005-08,3.38
2005-08,3.38
2005-08,3.34
2005-08,3.37
2005-08,3.48
2005-08,3.66
2005-09,3.7
2005-09,3.7
2005-09,3.7
2005-09,3.64
2005-09,3.61
2005-09,3.59
2005-09,3.59
2005-09,3.55
2005-09,3.58
2005-09,3.57
2005-09,3.55
2005-09,3.54
2005-09,3.61
2005-09,3.65
2005-09,3.75
2005-09,3.81
2005-09,3.71
2005-09,3.65
2005-09,3.66
2005-09,3.69
2005-09,3.67
2005-09,3.54
2005-10,3.47
2005-10,3.48
2005-10,3.51
2005-10,3.55
2005-10,3.59
2005-10,3.59
2005-10,3.66
2005-10,3.72
2005-10,3.77
2005-10,3.72
2005-10,3.61
2005-10,3.56
2005-10,3.6
2005-10,3.58
2005-10,3.59
2005-10,3.54
2005-10,3.49
2005-10,3.49
2005-10,3.57
2005-10,3.58
2005-10,3.61
2005-11,3.57
2005-11,3.54
2005-11,3.48
2005-11,3.48
2005-11,3.49
2005-11,3.55
2005-11,3.5
2005-11,3.57
2005-11,3.56
2005-11,3.58
2005-11,3.62
2005-11,3.72
2005-11,3.78
2005-11,3.69
2005-11,3.71
2005-11,3.74
2005-11,3.69
2005-11,3.69
2005-11,3.72
2005-11,3.71
2005-11,3.61
2005-11,3.67
2005-12,3.62
2005-12,3.63
2005-12,3.62
2005-12,3.68
2005-12,3.66
2005-12,3.7
2005-12,3.6
2005-12,3.59
2005-12,3.6
2005-12,3.66
2005-12,3.64
2005-12,3.65
2005-12,3.66
2005-12,3.65
2005-12,3.61
2005-12,3.66
2005-12,3.71
2005-12,
2005-12,3.73
2005-12,3.69
2005-12,3.68
2005-12,3.65
2005-12,3.71
2006-01,
2006-01,3.73
2006-01,3.69
2006-01,3.64
2006-01,3.56
2006-01,3.51
2006-01,3.5
2006-01,3.47
2006-01,3.53
2006-01,3.62
2006-01,3.6
2006-01,3.64
2006-01,3.64
2006-01,3.58
2006-01,3.6
2006-01,3.59
2006-01,3.54
2006-01,3.44
2006-01,3.42
2006-01,3.4
2006-01,3.34
2006-01,3.42
2006-02,3.35
2006-02,3.35
2006-02,3.38
2006-02,3.38
2006-02,3.39
2006-02,3.38
2006-02,3.38
2006-02,3.35
2006-02,3.37
2006-02,3.36
2006-02,3.32
2006-02,3.29
2006-02,3.3
2006-02,3.3
2006-02,3.29
2006-02,3.31
2006-02,3.27
2006-02,3.28
2006-02,3.28
2006-02,3.37
2006-03,3.33
2006-03,3.32
2006-03,3.29
2006-03,3.26
2006-03,3.3
2006-03,3.31
2006-03,3.32
2006-03,3.3
2006-03,3.27
2006-03,3.34
2006-03,3.29
2006-03,3.34
2006-03,3.31
2006-03,3.3
2006-03,3.21
2006-03,3.2
2006-03,3.18
2006-03,3.23
2006-03,3.19
2006-03,3.12
2006-03,3.14
2006-03,3.11
2006-03,3.13
2006-04,3.09
2006-04,3.1
2006-04,3.13
2006-04,3.12
2006-04,3.06
2006-04,3.1
2006-04,3.11
2006-04,3.06
2006-04,3.05
2006-04,
2006-04,3.08
2006-04,3.11
2006-04,3.07
2006-04,3.04
2006-04,3.04
2006-04,3.06
2006-04,2.98
2006-04,2.97
2006-04,3.0
2006-04,3.0
2006-04,3.04
2006-05,2.96
2006-05,2.97
2006-05,2.94
2006-05,2.93
2006-05,2.96
2006-05,2.94
2006-05,2.92
2006-05,2.9
2006-05,2.88
2006-05,2.88
2006-05,2.92
2006-05,2.99
2006-05,3.03
2006-05,3.09
2006-05,3.08
2006-05,3.15
2006-05,3.12
2006-05,3.18
2006-05,3.13
2006-05,3.12
2006-05,3.12
2006-05,3.1
2006-05,3.12
2006-06,3.13
2006-06,3.22
2006-06,3.19
2006-06,3.24
2006-06,3.22
2006-06,3.26
2006-06,3.27
2006-06,3.25
2006-06,3.32
2006-06,3.32
2006-06,3.29
2006-06,3.26
2006-06,3.25
2006-06,3.28
2006-06,3.34
2006-06,3.32
2006-06,3.31
2006-06,3.34
2006-06,3.36
2006-06,3.33
2006-06,3.33
2006-06,3.35
2006-07,3.33
2006-07,3.33
2006-07,3.27
2006-07,3.31
2006-07,3.33
2006-07,3.3
2006-07,3.33
2006-07,3.32
2006-07,3.39
2006-07,3.44
2006-07,3.42
2006-07,3.37
2006-07,3.42
2006-07,3.43
2006-07,3.41
2006-07,3.41
2006-07,3.38
2006-07,3.38
2006-07,3.36
2006-07,3.4
2006-07,3.45
2006-08,3.44
2006-08,3.42
2006-08,3.42
2006-08,3.44
2006-08,3.42
2006-08,3.41
2006-08,3.41
2006-08,3.42
2006-08,3.39
2006-08,3.36
2006-08,3.39
2006-08,3.42
2006-08,3.38
2006-08,3.41
2006-08,3.43
2006-08,3.43
2006-08,3.43
2006-08,3.43
2006-08,3.44
2006-08,3.41
2006-08,3.41
2006-08,3.42
2006-08,3.49
2006-09,3.49
2006-09,3.49
2006-09,3.43
2006-09,3.4
2006-09,3.41
2006-09,3.42
2006-09,3.39
2006-09,3.4
2006-09,3.38
2006-09,3.35
2006-09,3.33
2006-09,3.33
2006-09,3.4
2006-09,3.39
2006-09,3.48
2006-09,3.53
2006-09,3.55
2006-09,3.5
2006-09,3.46
2006-09,3.44
2006-09,3.42
2006-09,3.44
2006-10,3.44
2006-10,3.43
2006-10,3.45
2006-10,3.39
2006-10,3.31
2006-10,3.31
2006-10,3.27
2006-10,3.23
2006-10,3.22
2006-10,3.19
2006-10,3.18
2006-10,3.19
2006-10,3.18
2006-10,3.17
2006-10,3.17
2006-10,3.14
2006-10,3.15
2006-10,3.19
2006-10,3.21
2006-10,3.23
2006-10,3.21
2006-10,3.29
2006-11,3.3
2006-11,3.24
2006-11,3.12
2006-11,3.13
2006-11,3.14
2006-11,3.15
2006-11,3.13
2006-11,3.15
2006-11,3.12
2006-11,3.13
2006-11,3.05
2006-11,2.99
2006-11,3.06
