,Defaut Spread (BofA EU High Yield)
2005-01,2.77
2005-01,2.76
2005-01,2.8
2005-01,2.9
2005-01,2.91
2005-01,2.93
2005-01,2.93
2005-01,2.93
2005-01,2.96
2005-01,2.96
2005-01,2.94
2005-01,2.98
2005-01,2.95
2005-01,2.91
2005-01,2.93
2005-01,2.95
2005-01,2.93
2005-01,2.83
2005-01,2.8
2005-01,2.84
2005-01,2.85
2005-02,2.83
2005-02,2.79
2005-02,2.78
2005-02,2.8
2005-02,2.76
2005-02,2.69
2005-02,2.68
2005-02,2.68
2005-02,2.64
2005-02,2.5
2005-02,2.45
2005-02,2.4
2005-02,2.43
2005-02,2.39
2005-02,2.35
2005-02,2.42
2005-02,2.48
2005-02,2.42
2005-02,2.43
2005-02,2.43
2005-03,2.37
2005-03,2.35
2005-03,2.35
2005-03,2.39
2005-03,2.37
2005-03,2.38
2005-03,2.34
2005-03,2.41
2005-03,2.42
2005-03,2.42
2005-03,2.5
2005-03,2.66
2005-03,2.71
2005-03,2.74
2005-03,2.84
2005-03,2.97
2005-03,2.94
2005-03,2.9
2005-03,
2005-03,2.9
2005-03,2.92
2005-03,3.02
2005-03,3.29
2005-04,3.38
2005-04,3.48
2005-04,3.45
2005-04,3.4
2005-04,3.31
2005-04,3.25
2005-04,3.31
2005-04,3.3
2005-04,3.35
2005-04,3.48
2005-04,3.63
2005-04,3.87
2005-04,3.93
2005-04,3.82
2005-04,3.74
2005-04,3.69
2005-04,3.71
2005-04,3.77
2005-04,3.81
2005-04,3.78
2005-04,3.89
2005-04,3.98
2005-05,3.98
2005-05,3.96
2005-05,4.01
2005-05,4.03
2005-05,4.04
2005-05,4.06
2005-05,4.19
2005-05,4.32
2005-05,4.3
2005-05,4.38
2005-05,4.55
2005-05,4.67
2005-05,4.72
2005-05,4.54
2005-05,4.46
2005-05,4.4
2005-05,4.36
2005-05,4.28
2005-05,4.13
2005-05,4.07
2005-05,4.07
2005-05,4.4
2005-06,4.45
2005-06,4.22
2005-06,4.09
2005-06,4.14
2005-06,4.15
2005-06,4.09
2005-06,4.11
2005-06,4.04
2005-06,4.0
2005-06,3.93
2005-06,3.79
2005-06,3.82
2005-06,3.85
2005-06,3.86
2005-06,3.88
2005-06,3.92
2005-06,3.96
2005-06,4.04
2005-06,4.08
2005-06,3.99
2005-06,3.93
2005-06,3.92
2005-07,3.87
2005-07,3.79
2005-07,3.72
2005-07,3.72
2005-07,3.83
2005-07,3.8
2005-07,3.68
2005-07,3.62
2005-07,3.56
2005-07,3.49
2005-07,3.44
2005-07,3.43
2005-07,3.41
2005-07,3.41
2005-07,3.41
2005-07,3.43
2005-07,3.45
2005-07,3.46
2005-07,3.48
2005-07,3.45
2005-07,3.3
2005-07,3.38
2005-08,3.35
2005-08,3.32
2005-08,3.31
2005-08,3.29
2005-08,3.27
2005-08,3.42
2005-08,3.39
2005-08,3.39
2005-08,3.37
2005-08,3.4
2005-08,3.39
2005-08,3.42
2005-08,3.42
2005-08,3.4
2005-08,3.35
2005-08,3.33
2005-08,3.28
2005-08,3.29
2005-08,3.32
2005-08,3.3
2005-08,3.29
2005-08,3.31
2005-08,3.41
2005-09,3.53
2005-09,3.51
2005-09,3.54
2005-09,3.49
2005-09,3.44
2005-09,3.44
2005-09,3.41
2005-09,3.3
2005-09,3.33
2005-09,3.31
2005-09,3.28
2005-09,3.27
2005-09,3.31
2005-09,3.35
2005-09,3.42
2005-09,3.48
2005-09,3.41
2005-09,3.34
2005-09,3.31
2005-09,3.31
2005-09,3.27
2005-09,3.33
2005-10,3.25
2005-10,3.24
2005-10,3.19
2005-10,3.27
2005-10,3.28
2005-10,3.38
2005-10,3.36
2005-10,3.45
2005-10,3.57
2005-10,3.56
2005-10,3.31
2005-10,3.16
2005-10,3.27
2005-10,3.21
2005-10,3.23
2005-10,3.17
2005-10,3.1
2005-10,3.1
2005-10,3.19
2005-10,3.25
2005-10,3.35
2005-11,3.28
2005-11,3.27
2005-11,3.2
2005-11,3.17
2005-11,3.18
2005-11,3.2
2005-11,3.2
2005-11,3.28
2005-11,3.31
2005-11,3.36
2005-11,3.44
2005-11,3.55
2005-11,3.71
2005-11,3.45
2005-11,3.52
2005-11,3.55
2005-11,3.55
2005-11,3.59
2005-11,3.6
2005-11,3.59
2005-11,3.55
2005-11,3.65
2005-12,3.68
2005-12,3.72
2005-12,3.73
2005-12,3.82
2005-12,3.78
2005-12,3.71
2005-12,3.53
2005-12,3.47
2005-12,3.54
2005-12,3.56
2005-12,3.57
2005-12,3.54
2005-12,3.54
2005-12,3.58
2005-12,3.52
2005-12,3.54
2005-12,3.57
2005-12,
2005-12,3.59
2005-12,3.62
2005-12,3.59
2005-12,3.61
2005-12,3.99
2006-01,
2006-01,3.96
2006-01,3.91
2006-01,3.8
2006-01,3.74
2006-01,3.55
2006-01,3.49
2006-01,3.47
2006-01,3.52
2006-01,3.57
2006-01,3.62
2006-01,3.64
2006-01,3.66
2006-01,3.57
2006-01,3.53
2006-01,3.52
2006-01,3.46
2006-01,3.41
2006-01,3.4
2006-01,3.37
2006-01,3.25
2006-01,3.28
2006-02,3.21
2006-02,3.17
2006-02,3.26
2006-02,3.33
2006-02,3.32
2006-02,3.47
2006-02,3.44
2006-02,3.48
2006-02,3.44
2006-02,3.49
2006-02,3.44
2006-02,3.36
2006-02,3.34
2006-02,3.36
2006-02,3.33
2006-02,3.31
2006-02,3.24
2006-02,3.25
2006-02,3.34
2006-02,3.35
2006-03,3.32
2006-03,3.26
2006-03,3.27
2006-03,3.27
2006-03,3.22
2006-03,3.21
2006-03,3.21
2006-03,3.17
2006-03,3.1
2006-03,3.15
2006-03,3.07
2006-03,3.07
2006-03,3.08
2006-03,3.05
2006-03,3.02
2006-03,3.02
2006-03,2.98
2006-03,3.01
2006-03,2.99
2006-03,2.92
2006-03,2.95
2006-03,2.91
2006-03,2.94
2006-04,2.81
2006-04,2.84
2006-04,2.86
2006-04,2.94
2006-04,2.98
2006-04,2.99
2006-04,2.98
2006-04,2.96
2006-04,2.9
2006-04,
2006-04,2.89
2006-04,2.9
2006-04,2.86
2006-04,2.83
2006-04,2.81
2006-04,2.85
2006-04,2.78
2006-04,2.76
2006-04,2.75
2006-04,2.72
2006-04,2.79
2006-05,2.78
2006-05,2.77
2006-05,2.76
2006-05,2.76
2006-05,2.83
2006-05,2.8
2006-05,2.79
2006-05,2.79
2006-05,2.73
2006-05,2.75
2006-05,2.83
2006-05,2.85
2006-05,2.8
2006-05,2.94
2006-05,2.96
2006-05,3.04
2006-05,3.07
2006-05,3.1
2006-05,3.07
2006-05,3.04
2006-05,3.03
2006-05,2.93
2006-05,3.03
2006-06,3.0
2006-06,3.02
2006-06,2.94
2006-06,2.92
2006-06,2.93
2006-06,3.01
2006-06,3.01
2006-06,3.03
2006-06,3.0
2006-06,3.02
2006-06,2.98
2006-06,3.0
2006-06,2.99
2006-06,2.99
2006-06,3.01
2006-06,3.06
2006-06,3.12
2006-06,3.14
2006-06,3.19
2006-06,3.2
2006-06,3.2
2006-06,3.14
2006-07,3.08
2006-07,3.0
2006-07,2.95
2006-07,2.98
2006-07,3.01
2006-07,2.99
2006-07,3.0
2006-07,2.97
2006-07,3.02
2006-07,3.1
2006-07,3.07
2006-07,3.04
2006-07,3.04
2006-07,3.04
2006-07,3.06
2006-07,3.05
2006-07,3.03
2006-07,2.99
2006-07,3.0
2006-07,3.01
2006-07,3.02
2006-08,3.02
2006-08,3.02
2006-08,2.98
2006-08,2.97
2006-08,2.93
2006-08,2.91
2006-08,2.88
2006-08,2.89
2006-08,2.84
2006-08,2.81
2006-08,2.78
2006-08,2.79
2006-08,2.77
2006-08,2.77
2006-08,2.81
2006-08,2.87
2006-08,2.85
2006-08,2.87
2006-08,2.88
2006-08,2.87
2006-08,2.83
2006-08,2.79
2006-08,2.89
2006-09,2.89
2006-09,2.85
2006-09,2.82
2006-09,2.79
2006-09,2.82
2006-09,2.82
2006-09,2.78
2006-09,2.76
2006-09,2.8
2006-09,2.78
2006-09,2.78
2006-09,2.75
2006-09,2.81
2006-09,2.83
2006-09,2.84
2006-09,2.92
2006-09,2.95
2006-09,2.92
2006-09,2.89
2006-09,2.86
2006-09,2.83
2006-09,2.87
2006-10,2.89
2006-10,2.84
2006-10,2.85
2006-10,2.82
2006-10,2.78
2006-10,2.78
2006-10,2.71
2006-10,2.71
2006-10,2.71
2006-10,2.68
2006-10,2.59
2006-10,2.61
2006-10,2.59
2006-10,2.57
2006-10,2.55
2006-10,2.51
2006-10,2.51
2006-10,2.5
2006-10,2.48
2006-10,2.49
2006-10,2.49
2006-10,2.53
2006-11,2.59
2006-11,2.55
2006-11,2.49
2006-11,2.45
2006-11,2.46
2006-11,2.44
2006-11,2.46
2006-11,2.48
2006-11,2.46
2006-11,2.47
2006-11,2.41
2006-11,2.41
2006-11,2.4
2006-11,2.41
2006-11,2.4
2006-11,2.43
2006-11,2.45
2006-11,2.48
2006-11,2.45
2006-11,2.5
2006-11,2.46
2006-11,2.52
2006-12,2.53
2006-12,2.52
2006-12,2.49
2006-12,2.46
2006-12,2.39
2006-12,2.37
2006-12,2.34
2006-12,2.34
2006-12,2.33
2006-12,2.3
2006-12,2.29
2006-12,2.27
2006-12,2.26
2006-12,2.26
2006-12,2.26
2006-12,2.24
2006-12,
2006-12,2.23
2006-12,2.2
2006-12,2.18
2006-12,2.18
2006-12,2.33
2007-01,
2007-01,2.35
2007-01,2.33
2007-01,2.34
2007-01,2.31
2007-01,2.32
2007-01,2.29
2007-01,2.28
2007-01,2.29
2007-01,2.24
2007-01,2.23
2007-01,2.22
2007-01,2.2
2007-01,2.16
2007-01,2.16
2007-01,2.15
2007-01,2.15
2007-01,2.12
2007-01,2.07
2007-01,2.08
2007-01,2.07
2007-01,2.09
2007-01,2.08
2007-02,2.08
2007-02,2.11
2007-02,2.12
2007-02,2.08
2007-02,2.09
2007-02,2.07
2007-02,2.03
2007-02,2.02
2007-02,2.03
2007-02,2.03
2007-02,2.04
2007-02,2.01
2007-02,1.98
2007-02,1.98
2007-02,1.98
2007-02,1.93
2007-02,1.98
2007-02,2.0
2007-02,2.08
2007-02,2.22
2007-03,2.21
2007-03,2.24
2007-03,2.36
2007-03,2.41
2007-03,2.39
2007-03,2.33
2007-03,2.29
2007-03,2.3
2007-03,2.34
2007-03,2.4
2007-03,2.36
2007-03,2.38
2007-03,2.33
2007-03,2.36
2007-03,2.32
2007-03,2.3
2007-03,2.26
2007-03,2.24
2007-03,2.22
2007-03,2.22
2007-03,2.19
2007-03,2.18
2007-03,2.18
2007-04,2.17
2007-04,2.15
2007-04,2.17
2007-04,2.16
2007-04,
2007-04,2.15
2007-04,2.11
2007-04,2.1
2007-04,2.07
2007-04,2.03
2007-04,2.03
2007-04,2.04
2007-04,2.03
2007-04,2.01
2007-04,1.98
2007-04,1.98
2007-04,2.01
2007-04,1.99
2007-04,1.96
2007-04,1.97
2007-04,2.05
2007-05,2.05
2007-05,2.0
2007-05,1.99
2007-05,1.99
2007-05,1.97
2007-05,2.01
2007-05,2.0
2007-05,1.98
2007-05,1.99
2007-05,1.93
2007-05,1.89
2007-05,1.89
2007-05,1.88
2007-05,1.89
2007-05,1.85
2007-05,1.82
2007-05,1.8
2007-05,1.83
2007-05,1.8
2007-05,
2007-05,1.79
2007-05,1.78
2007-05,1.87
2007-06,1.83
2007-06,1.84
2007-06,1.82
2007-06,1.87
2007-06,1.88
2007-06,1.92
2007-06,1.94
2007-06,1.92
2007-06,1.97
2007-06,1.96
2007-06,1.95
2007-06,1.93
2007-06,1.97
2007-06,1.94
2007-06,1.99
2007-06,1.99
2007-06,2.04
2007-06,2.09
2007-06,2.18
2007-06,2.17
2007-06,2.19
2007-06,2.26
2007-07,2.37
2007-07,2.33
2007-07,2.3
2007-07,2.25
2007-07,2.24
2007-07,2.26
2007-07,2.39
2007-07,2.46
2007-07,2.47
2007-07,2.45
2007-07,2.46
2007-07,2.48
2007-07,2.54
2007-07,2.55
2007-07,2.7
2007-07,2.76
2007-07,2.83
2007-07,2.88
2007-07,3.06
2007-07,3.48
2007-07,3.63
2007-07,3.5
2007-08,3.6
2007-08,3.52
2007-08,3.53
2007-08,3.57
2007-08,3.46
2007-08,3.28
2007-08,3.35
2007-08,3.44
2007-08,3.41
2007-08,3.46
2007-08,3.58
2007-08,3.76
2007-08,3.85
2007-08,3.87
2007-08,3.95
2007-08,3.96
2007-08,3.9
2007-08,3.9
2007-08,3.92
2007-08,3.92
2007-08,3.96
2007-08,4.0
2007-08,4.1
2007-09,4.06
2007-09,4.06
2007-09,4.12
2007-09,4.13
2007-09,4.22
2007-09,4.28
2007-09,4.26
2007-09,4.24
2007-09,4.21
2007-09,4.19
2007-09,4.18
2007-09,4.11
2007-09,3.87
2007-09,3.82
2007-09,3.76
2007-09,3.67
2007-09,3.71
2007-09,3.58
2007-09,3.6
2007-09,3.64
2007-09,3.68
2007-10,3.69
2007-10,3.71
2007-10,3.68
2007-10,3.72
2007-10,3.61
2007-10,3.58
2007-10,3.52
2007-10,3.42
2007-10,3.33
2007-10,3.29
2007-10,3.24
2007-10,3.28
2007-10,3.32
2007-10,3.46
2007-10,3.59
2007-10,3.72
2007-10,3.71
2007-10,3.74
2007-10,3.72
2007-10,3.7
2007-10,3.69
2007-10,3.72
2007-10,3.7
2007-11,3.76
2007-11,3.82
2007-11,3.96
2007-11,3.92
2007-11,3.99
2007-11,4.09
2007-11,4.3
2007-11,4.34
2007-11,4.38
2007-11,4.34
2007-11,4.42
2007-11,4.55
2007-11,4.7
2007-11,4.78
2007-11,5.11
2007-11,5.16
2007-11,5.14
2007-11,5.11
2007-11,5.14
2007-11,4.97
2007-11,4.94
2007-11,4.94
2007-12,4.99
2007-12,4.99
2007-12,5.02
2007-12,5.02
2007-12,4.94
2007-12,4.88
2007-12,4.86
2007-12,4.8
2007-12,4.82
2007-12,4.79
2007-12,4.76
2007-12,4.79
2007-12,4.81
2007-12,4.87
2007-12,4.84
2007-12,4.84
2007-12,
2007-12,4.84
2007-12,4.81
2007-12,4.85
2007-12,4.91
2008-01,
2008-01,5.01
2008-01,5.07
2008-01,5.18
2008-01,5.23
2008-01,5.25
2008-01,5.65
2008-01,5.71
2008-01,5.76
2008-01,5.9
2008-01,5.95
2008-01,6.01
2008-01,6.09
2008-01,6.18
2008-01,6.39
2008-01,6.6
2008-01,6.68
2008-01,6.5
2008-01,6.44
2008-01,6.46
2008-01,6.37
2008-01,6.35
2008-01,6.63
2008-02,6.57
2008-02,6.54
2008-02,6.74
2008-02,6.81
2008-02,6.91
2008-02,6.98
2008-02,7.17
2008-02,7.24
2008-02,7.2
2008-02,7.01
2008-02,7.11
2008-02,7.07
2008-02,7.12
2008-02,7.16
2008-02,7.11
2008-02,7.1
2008-02,6.96
2008-02,6.89
2008-02,6.91
2008-02,7.03
2008-02,7.35
2008-03,7.44
2008-03,7.57
2008-03,7.46
2008-03,7.48
2008-03,7.65
2008-03,7.75
2008-03,7.68
2008-03,7.7
2008-03,7.93
2008-03,7.94
2008-03,8.11
2008-03,7.96
2008-03,7.91
2008-03,7.9
2008-03,
2008-03,7.91
2008-03,7.64
