,EU EPU
2005-01,58.94662
2005-02,74.97708
2005-03,81.45479
2005-04,89.07868
2005-05,99.44091
2005-06,99.41497
2005-07,85.08384
2005-08,82.83349
2005-09,160.47384
2005-10,71.51886
2005-11,95.44765
2005-12,61.47662
2006-01,83.96113
2006-02,60.63415
2006-03,79.82994
2006-04,89.04357
2006-05,82.44514
2006-06,89.85152
2006-07,82.00437
2006-08,58.86663
2006-09,76.82971
2006-10,71.2218
2006-11,73.8451
2006-12,74.91799
2007-01,62.33881
2007-02,58.51786
2007-03,71.11645
2007-04,65.16531
2007-05,54.99328
2007-06,60.84606
2007-07,47.69235
2007-08,94.66285
2007-09,166.73321
2007-10,96.88045
2007-11,97.73733
2007-12,98.01473
2008-01,160.25905
2008-02,128.78454
2008-03,139.87072
2008-04,96.74758
2008-05,76.82344
2008-06,106.42784
2008-07,87.93302
2008-08,92.29638
2008-09,156.0435
2008-10,216.59178
2008-11,156.77446
2008-12,136.78456
2009-01,159.99384
2009-02,139.69696
2009-03,133.46071
2009-04,119.99919
2009-05,122.96011
2009-06,113.23892
2009-07,95.94823
2009-08,91.37744
2009-09,104.3236
2009-10,105.04014
2009-11,133.00749
2009-12,115.26261
2010-01,142.00355
2010-02,136.73906
2010-03,137.8383
2010-04,152.78447
2010-05,203.30524
2010-06,171.40265
2010-07,186.55523
2010-08,172.81606
2010-09,161.69015
2010-10,186.14112
2010-11,172.68817
2010-12,183.07599
2011-01,143.03174
2011-02,122.44579
2011-03,154.40152
2011-04,145.50861
2011-05,134.21508
2011-06,168.29589
2011-07,183.40234
2011-08,230.29894
2011-09,280.05813
2011-10,241.75185
2011-11,304.60022
2011-12,228.87159
2012-01,216.73445
2012-02,193.44436
2012-03,177.49269
2012-04,216.99586
2012-05,234.75578
2012-06,244.50211
2012-07,206.98157
2012-08,150.67718
2012-09,209.91195
2012-10,219.08266
2012-11,233.5614
2012-12,215.66849
2013-01,239.81543
2013-02,194.1661
2013-03,245.34693
2013-04,205.62408
2013-05,139.13821
2013-06,177.53464
2013-07,166.71268
2013-08,146.03975
2013-09,179.70527
2013-10,210.52538
2013-11,156.70507
2013-12,157.99862
2014-01,154.50244
2014-02,148.43662
2014-03,156.84341
2014-04,116.48549
2014-05,146.29191
2014-06,111.7961
2014-07,119.93393
2014-08,133.31537
2014-09,190.21558
2014-10,150.03065
2014-11,152.42489
2014-12,176.02395
2015-01,168.98523
2015-02,155.09365
2015-03,131.74544
2015-04,147.32096
2015-05,165.58477
2015-06,193.94799
2015-07,184.48753
2015-08,143.71116
2015-09,194.46083
2015-10,164.83114
2015-11,164.40215
2015-12,147.41888
2016-01,209.74029
2016-02,227.79281
2016-03,227.75331
2016-04,207.01125
2016-05,198.46472
2016-06,433.2775
2016-07,424.37718
2016-08,213.36659
2016-09,232.698
2016-10,241.63064
2016-11,392.83106
2016-12,288.42847
2017-01,320.02379
2017-02,237.06756
2017-03,267.06935
2017-04,249.2189
2017-05,197.58968
2017-06,274.39018
2017-07,181.41523
2017-08,149.70865
2017-09,205.76641
2017-10,227.23362
2017-11,229.71336
2017-12,173.39307
2018-01,196.43604
2018-02,135.16371
2018-03,175.57617
2018-04,150.18455
2018-05,224.51606
2018-06,233.21189
2018-07,208.2721
2018-08,166.83116
2018-09,204.80449
2018-10,246.06097
2018-11,231.17001
2018-12,275.70745
2019-01,247.67711
2019-02,230.15161
2019-03,229.38424
2019-04,214.20435
2019-05,196.30671
2019-06,205.54046
2019-07,229.73694
2019-08,277.04245
2019-09,245.14056
2019-10,250.56589
2019-11,222.59568
2019-12,235.98632
2020-01,199.22176
2020-02,204.83529
2020-03,361.36888
2020-04,297.89851
2020-05,282.24844
2020-06,247.64984
2020-07,248.82286
2020-08,213.09036
2020-09,278.59221
2020-10,311.5825
2020-11,328.15252
2020-12,208.95865
2021-01,231.37864
2021-02,185.27867
2021-03,217.46619
2021-04,179.65824
2021-05,141.38606
2021-06,152.61494
2021-07,197.37942
2021-08,187.20578
2021-09,206.72854
2021-10,198.51042
2021-11,246.60827
2021-12,298.15951
2022-01,264.63419
2022-02,220.46791
2022-03,392.01202
2022-04,334.669
2022-05,328.47521
2022-06,332.62825
2022-07,403.90579
2022-08,327.91541
2022-09,396.80379
2022-10,418.61884
2022-11,357.08668
2022-12,279.6471
2023-01,281.77821
2023-02,272.40225
2023-03,324.77326
2023-04,244.23158
2023-05,265.50803
2023-06,247.21465
2023-07,263.57203
2023-08,287.96256
2023-09,319.51199
2023-10,314.2169
2023-11,315.77124
2023-12,281.71082
2024-01,323.41011
2024-02,276.98234
2024-03,231.31778
2024-04,268.1715
2024-05,290.83528
2024-06,327.50626
2024-07,361.85379
2024-08,263.42825
2024-09,345.05096
2024-10,392.07715
2024-11,479.98873
2024-12,484.41531
2025-01,479.90402
2025-02,396.80715
2025-03,574.95605
2025-04,711.68332
