,Electricity Price CPI in US Cities
2005-01,144.9
2005-02,145.3
2005-03,146.1
2005-04,146.7
2005-05,148.6
2005-06,150.2
2005-07,150.7
2005-08,152.0
2005-09,152.9
2005-10,154.2
2005-11,159.7
2005-12,158.6
2006-01,166.3
2006-02,167.3
2006-03,167.8
2006-04,167.9
2006-05,167.6
2006-06,169.9
2006-07,170.3
2006-08,170.5
2006-09,171.1
2006-10,170.6
2006-11,170.0
2006-12,170.4
2007-01,172.885
2007-02,173.218
2007-03,173.827
2007-04,174.075
2007-05,174.317
2007-06,176.073
2007-07,175.816
2007-08,176.017
2007-09,176.98
2007-10,178.648
2007-11,178.845
2007-12,179.029
2008-01,178.944
2008-02,179.047
2008-03,180.178
2008-04,182.577
2008-05,184.512
2008-06,186.139
2008-07,189.917
2008-08,192.476
2008-09,191.3
2008-10,192.676
2008-11,193.117
2008-12,193.965
2009-01,194.538
2009-02,195.16
2009-03,194.917
2009-04,193.972
2009-05,192.86
2009-06,192.218
2009-07,190.553
2009-08,190.533
2009-09,190.915
2009-10,191.728
2009-11,192.834
2009-12,192.778
2010-01,191.083
2010-02,190.035
2010-03,193.547
2010-04,194.839
2010-05,193.61
2010-06,192.905
2010-07,193.589
2010-08,194.073
2010-09,193.348
2010-10,192.971
2010-11,193.354
2010-12,194.078
2011-01,193.374
2011-02,193.756
2011-03,195.272
2011-04,195.768
2011-05,196.595
2011-06,195.901
2011-07,197.761
2011-08,197.959
2011-09,198.932
2011-10,198.892
2011-11,198.6
2011-12,198.213
2012-01,197.833
2012-02,197.289
2012-03,196.514
2012-04,196.761
2012-05,196.748
2012-06,196.602
2012-07,195.257
2012-08,195.876
2012-09,196.087
2012-10,196.589
2012-11,197.273
2012-12,197.322
2013-01,198.349
2013-02,198.641
2013-03,198.289
2013-04,198.831
2013-05,200.164
2013-06,200.462
2013-07,201.333
2013-08,201.22
2013-09,202.581
2013-10,202.603
2013-11,203.072
2013-12,203.729
2014-01,206.278
2014-02,205.716
2014-03,208.713
2014-04,202.92
2014-05,207.422
2014-06,208.955
2014-07,209.72
2014-08,209.764
2014-09,208.835
2014-10,209.188
2014-11,208.605
2014-12,210.158
2015-01,210.956
2015-02,211.775
2015-03,210.178
2015-04,210.345
2015-05,208.447
2015-06,209.41
2015-07,208.761
2015-08,208.619
2015-09,208.449
2015-10,208.015
2015-11,207.902
2015-12,207.269
2016-01,206.088
2016-02,205.294
2016-03,205.707
2016-04,205.655
2016-05,206.053
2016-06,206.255
2016-07,207.015
2016-08,207.546
2016-09,209.026
2016-10,208.519
2016-11,208.136
2016-12,208.253
2017-01,208.295
2017-02,209.049
2017-03,208.767
2017-04,210.37
2017-05,211.342
2017-06,212.198
2017-07,212.955
2017-08,212.935
2017-09,213.083
2017-10,212.221
2017-11,212.79
2017-12,213.172
2018-01,213.085
2018-02,213.217
2018-03,213.155
2018-04,212.516
2018-05,213.255
2018-06,212.666
2018-07,211.849
2018-08,212.475
2018-09,211.321
2018-10,213.229
2018-11,213.474
2018-12,215.382
2019-01,213.26
2019-02,212.819
2019-03,213.384
2019-04,213.25
2019-05,213.023
2019-06,212.802
2019-07,213.643
2019-08,213.247
2019-09,213.783
2019-10,213.744
2019-11,213.952
2019-12,213.571
2020-01,213.531
2020-02,213.846
2020-03,213.452
2020-04,213.621
2020-05,213.017
2020-06,213.67
2020-07,214.058
2020-08,213.671
2020-09,215.381
2020-10,216.297
2020-11,217.463
2020-12,217.938
2021-01,216.253
2021-02,218.566
2021-03,218.315
2021-04,221.06
2021-05,222.132
2021-06,222.204
2021-07,223.118
2021-08,225.298
2021-09,226.771
2021-10,230.41
2021-11,231.52
2021-12,231.784
2022-01,238.667
2022-02,237.871
2022-03,242.119
2022-04,245.245
2022-05,248.892
2022-06,252.908
2022-07,257.585
2022-08,261.259
2022-09,262.139
2022-10,262.987
2022-11,263.424
2022-12,264.984
2023-01,266.436
2023-02,268.143
2023-03,266.241
2023-04,265.746
2023-05,263.74
2023-06,266.708
2023-07,265.743
2023-08,267.085
2023-09,269.181
2023-10,269.276
2023-11,272.421
2023-12,273.758
2024-01,276.142
2024-02,277.359
2024-03,279.087
2024-04,279.204
2024-05,279.348
2024-06,278.522
2024-07,278.961
2024-08,277.809
2024-09,279.313
2024-10,281.516
2024-11,280.88
2024-12,281.432
2025-01,281.323
2025-02,284.195
2025-03,286.861
2025-04,289.296
