,Equity Vol
2006-01,17.61133
2006-02,12.64287
2006-03,13.72491
2006-04,14.35939
2006-05,17.61267
2006-06,17.37663
2006-07,18.61206
2006-08,17.9247
2006-09,13.80059
2006-10,14.63558
2006-11,12.12798
2006-12,15.56565
2007-01,14.47927
2007-02,15.24215
2007-03,26.01788
2007-04,18.74861
2007-05,16.40508
2007-06,18.91876
2007-07,25.21186
2007-08,40.30518
2007-09,25.32384
2007-10,22.74775
2007-11,23.46795
2007-12,26.12662
2008-01,34.55238
2008-02,23.82917
2008-03,28.79169
2008-04,22.19162
2008-05,18.92874
2008-06,18.24961
2008-07,27.89475
2008-08,18.81
2008-09,55.96577
2008-10,69.835
2008-11,36.67022
2008-12,29.51727
2009-01,31.16341
2009-02,33.23752
2009-03,34.05968
2009-04,24.75241
2009-05,24.97516
2009-06,22.38257
2009-07,20.36552
2009-08,19.76807
2009-09,18.56616
2009-10,19.05928
2009-11,19.36492
2009-12,14.9086
2010-01,22.08107
2010-02,18.19538
2010-03,17.00726
2010-04,20.616
2010-05,26.76836
2010-06,21.07875
2010-07,21.91355
2010-08,16.90346
2010-09,17.19933
2010-10,17.02104
2010-11,17.11786
2010-12,14.10408
2011-01,18.03816
2011-02,13.25772
2011-03,18.44328
2011-04,16.56908
2011-05,14.9139
2011-06,18.84275
2011-07,25.27623
2011-08,60.87111
2011-09,28.10431
2011-10,29.69039
2011-11,22.28761
2011-12,23.17159
2012-01,21.87844
2012-02,18.29328
2012-03,16.09793
2012-04,15.3554
2012-05,22.26058
2012-06,22.65574
2012-07,19.92154
2012-08,16.61462
2012-09,16.11155
2012-10,17.12059
2012-11,15.50737
2012-12,16.36797
2013-01,17.5705
2013-02,18.75028
2013-03,17.91352
2013-04,15.79309
2013-05,15.00913
2013-06,16.88806
2013-07,15.04382
2013-08,13.40493
2013-09,19.14769
2013-10,19.51058
2013-11,15.26405
2013-12,15.08701
2014-01,15.25769
2014-02,11.61769
2014-03,15.18678
2014-04,18.05928
2014-05,13.74222
2014-06,11.83893
2014-07,14.05539
2014-08,14.34688
2014-09,11.18619
2014-10,21.93322
2014-11,13.89496
2014-12,14.29144
2015-01,23.3353
2015-02,14.0752
2015-03,12.37864
2015-04,14.47198
2015-05,11.77351
2015-06,14.92698
2015-07,23.85563
2015-08,31.47818
2015-09,24.70809
2015-10,19.64487
2015-11,13.42958
2015-12,16.98362
2016-01,28.63895
2016-02,24.87165
2016-03,17.74323
2016-04,13.29629
2016-05,14.46531
2016-06,20.13828
2016-07,16.57158
2016-08,14.33332
2016-09,13.76362
2016-10,13.28242
2016-11,18.36427
2016-12,12.27027
2017-01,17.73544
2017-02,15.69529
2017-03,14.34725
2017-04,17.03866
2017-05,11.79869
2017-06,12.22703
2017-07,14.35185
2017-08,16.15784
2017-09,9.56958
2017-10,12.16597
2017-11,15.36321
2017-12,18.27329
2018-01,17.5373
2018-02,26.62854
2018-03,17.59871
2018-04,17.05771
2018-05,15.94637
2018-06,12.34865
2018-07,12.57674
2018-08,14.98447
2018-09,18.33542
2018-10,24.36698
2018-11,22.66091
2018-12,39.39303
2019-01,38.00638
2019-02,16.67877
2019-03,20.77096
2019-04,18.8068
2019-05,19.52662
2019-06,19.79016
2019-07,21.44975
2019-08,30.882
2019-09,16.24333
2019-10,13.9248
2019-11,18.75229
2019-12,21.40826
2020-01,15.69044
2020-02,24.44355
2020-03,63.36377
2020-04,38.31768
2020-05,35.74074
2020-06,37.04935
2020-07,28.31019
2020-08,29.67155
2020-09,20.93
2020-10,30.43484
2020-11,20.4961
2020-12,22.38783
2021-01,26.75866
2021-02,24.27369
2021-03,29.48034
2021-04,24.67586
2021-05,19.78528
2021-06,21.95214
2021-07,16.62349
2021-08,19.64108
2021-09,23.48017
2021-10,19.68397
2021-11,14.1354
2021-12,16.6986
2022-01,20.49747
2022-02,23.02603
2022-03,23.04955
2022-04,20.31038
2022-05,27.86238
2022-06,17.10111
2022-07,24.53555
2022-08,14.14119
2022-09,16.86149
2022-10,20.86594
2022-11,17.70746
2022-12,21.67966
2023-01,20.09025
2023-02,18.82643
2023-03,31.19244
2023-04,21.04334
2023-05,23.96896
2023-06,18.83227
2023-07,18.10604
2023-08,17.2802
2023-09,19.57297
2023-10,16.60968
2023-11,18.76668
2023-12,17.59012
2024-01,19.299
2024-02,17.11678
2024-03,21.21655
2024-04,17.94969
2024-05,14.81403
2024-06,18.09947
2024-07,20.32156
2024-08,19.70249
2024-09,22.12714
2024-10,20.09386
2024-11,19.47914
2024-12,19.51117
2025-01,20.34641
2025-02,27.965
2025-03,46.7215
2025-04,70.06139
