,Global Price of Industrial Materials
2005-01,78.6715277500662
2005-02,80.3230280095489
2005-03,83.798931485118
2005-04,82.5414139052479
2005-05,82.1709035432048
2005-06,82.6326191601224
2005-07,82.0160840769316
2005-08,84.6051335667438
2005-09,84.4861994696677
2005-10,85.0318448114305
2005-11,86.5609676181931
2005-12,91.0837807212974
2006-01,97.4516783809344
2006-02,100.453461102838
2006-03,101.330022381284
2006-04,112.497830662979
2006-05,126.442703303208
2006-06,120.11277383037
2006-07,127.64066623301
2006-08,131.067193247678
2006-09,129.968788468453
2006-10,134.423933076193
2006-11,133.00601615176
2006-12,136.499889768232
2007-01,135.400392187449
2007-02,140.074782775597
2007-03,148.166216269137
2007-04,160.815908857072
2007-05,163.70640525843
2007-06,153.704654515986
2007-07,148.822231529602
2007-08,136.252789054403
2007-09,137.137863101915
2007-10,140.709622098999
2007-11,136.81802401872
2007-12,129.429880728423
2008-01,143.41033555538
2008-02,150.358966081354
2008-03,157.212076774098
2008-04,154.919758298812
2008-05,149.207488632354
2008-06,145.72457499522
2008-07,145.47428491615
2008-08,136.863142146556
2008-09,130.656273340629
2008-10,107.520491410893
2008-11,97.5115453828623
2008-12,92.5687830700196
2009-01,96.146009789515
2009-02,94.404635216806
2009-03,90.7056117647243
2009-04,95.5067294704433
2009-05,100.932780129565
2009-06,109.062725871323
2009-07,116.127360195631
2009-08,131.729647149322
2009-09,123.894668972581
2009-10,129.305046469104
2009-11,136.262474886994
2009-12,143.280080177277
2010-01,155.128898386002
2010-02,152.094455899026
2010-03,164.883682331724
2010-04,184.493923776492
2010-05,169.126904616813
2010-06,157.223940426324
2010-07,151.662194920529
2010-08,165.382511976771
2010-09,168.865312500186
2010-10,179.476253641332
2010-11,187.393182641615
2010-12,197.819158568197
2011-01,209.88201144493
2011-02,221.141627268373
2011-03,210.746607668773
2011-04,215.483818648906
2011-05,204.207234454358
2011-06,200.921930406424
2011-07,202.71077982817
2011-08,196.139352370202
2011-09,190.239010990775
2011-10,171.285338793302
2011-11,162.997507966424
2011-12,161.594131081403
2012-01,168.921106623543
2012-02,173.149844780355
2012-03,172.829077160829
2012-04,171.845500889035
2012-05,163.735468140703
2012-06,156.893221376869
2012-07,154.055070058146
2012-08,144.466822445973
2012-09,147.269644418981
2012-10,151.474720284681
2012-11,151.256589718595
2012-12,158.306373481619
2013-01,167.283564032932
2013-02,168.57620874993
2013-03,158.684694383232
2013-04,154.350051416704
2013-05,150.069002459291
2013-06,144.399621516456
2013-07,145.451959565117
2013-08,151.021791698332
2013-09,149.087722487012
2013-10,149.031618225345
2013-11,149.062623668071
2013-12,150.677955380624
2014-01,147.761670880661
2014-02,144.655584450916
2014-03,140.37798013987
2014-04,143.115010627612
2014-05,139.734965643977
2014-06,137.306039949467
2014-07,139.555280627442
2014-08,137.403320597396
2014-09,131.515845390579
2014-10,126.38126526972
2014-11,124.990273364211
2014-12,119.991246963052
2015-01,115.697668842451
2015-02,112.891399394369
2015-03,110.187288360566
2015-04,109.1158385144
2015-05,113.919763448569
2015-06,109.608099735038
2015-07,101.657983801542
2015-08,99.7476655821902
2015-09,99.0701576522461
2015-10,97.2231205628528
2015-11,91.3894553801734
2015-12,88.2261910875964
2016-01,87.69734500136
2016-02,90.7802691829466
2016-03,96.4950271591969
2016-04,99.4180003986731
2016-05,97.2700401254546
2016-06,96.5872469019922
2016-07,101.034395019491
2016-08,102.049510249592
2016-09,100.417160830607
2016-10,100.985127863852
2016-11,111.625685608193
2016-12,115.64019165864
2017-01,118.095529920012
2017-02,123.823324126656
2017-03,121.662587120933
2017-04,114.362008342332
2017-05,110.76418792573
2017-06,108.029989040889
2017-07,113.135027330434
2017-08,120.197591495869
2017-09,119.53789950656
2017-10,117.554224335882
2017-11,118.95163174931
2017-12,122.792675368007
2018-01,128.992640674555
2018-02,129.888974773753
2018-03,126.270136438202
2018-04,127.053560401306
2018-05,127.439139256367
2018-06,128.303024958392
2018-07,121.78516583277
2018-08,119.696995035147
2018-09,118.941434445523
2018-10,120.709945147868
2018-11,118.870608651563
2018-12,117.689200113639
2019-01,119.026982290673
2019-02,125.902473237905
2019-03,127.503562865107
2019-04,129.876877691959
2019-05,129.519811915857
2019-06,131.151171026412
2019-07,134.639942837556
2019-08,123.072170832065
2019-09,124.102781561898
2019-10,122.11499681078
2019-11,120.027965448948
2019-12,122.025514613995
2020-01,124.224880828286
2020-02,118.052267985668
2020-03,114.215240149305
2020-04,109.154270056508
2020-05,112.751805417612
2020-06,121.010810407194
2020-07,126.621811967564
2020-08,133.927853406037
2020-09,136.382435766423
2020-10,137.479713839185
2020-11,144.115146097434
2020-12,159.457455528489
2021-01,167.034844866546
2021-02,169.518326039283
2021-03,174.679193775559
2021-04,181.523516336264
2021-05,197.475524500872
2021-06,203.478019267803
2021-07,202.825804274124
2021-08,183.26794930855
2021-09,167.772330054417
2021-10,172.759692527772
2021-11,161.655572155113
2021-12,168.848213618839
2022-01,183.356759575036
2022-02,190.208948445827
2022-03,204.923478093202
2022-04,203.529781194804
2022-05,187.213206221033
2022-06,180.418761895206
2022-07,157.434324786243
2022-08,158.510228198573
2022-09,150.15153354033
2022-10,145.460864856105
2022-11,150.976629540113
2022-12,161.980245569686
2023-01,171.621298303435
2023-02,179.165019948678
2023-03,174.347288968733
2023-04,168.360790884796
2023-05,156.684029081181
2023-06,156.434363612042
2023-07,157.406576075846
2023-08,154.700611117253
2023-09,159.823048578463
2023-10,157.575786480573
2023-11,163.055231081463
2023-12,165.395344079582
2024-01,165.603160779782
2024-02,162.53236860672
2024-03,160.339227439803
2024-04,165.741900771549
2024-05,172.448905249564
2024-06,163.909385041211
2024-07,159.90893788703
2024-08,155.945114080953
2024-09,158.075589294409
2024-10,164.115051801427
2024-11,159.837390562857
2024-12,160.137740685665
2025-01,159.053716257678
2025-02,163.237746731793
2025-03,164.153521323167
2025-04,155.487720828352
