date,Housing Starts
2003-01,1850.0
2003-02,1622.0
2003-03,1780.0
2003-04,1630.0
2003-05,1732.0
2003-06,1803.0
2003-07,1872.0
2003-08,1820.0
2003-09,1888.0
2003-10,1960.0
2003-11,2070.0
2003-12,2088.0
2004-01,1903.0
2004-02,1855.0
2004-03,2007.0
2004-04,1969.0
2004-05,1967.0
2004-06,1802.0
2004-07,1978.0
2004-08,2000.0
2004-09,1898.0
2004-10,2027.0
2004-11,1771.0
2004-12,2004.0
2005-01,2159.0
2005-02,2195.0
2005-03,1837.0
2005-04,2038.0
2005-05,2009.0
2005-06,2004.0
2005-07,2042.0
2005-08,2009.0
2005-09,2108.0
2005-10,2014.0
2005-11,2123.0
2005-12,1933.0
2006-01,2276.0
2006-02,2120.0
2006-03,1960.0
2006-04,1849.0
2006-05,1957.0
2006-06,1850.0
2006-07,1795.0
2006-08,1665.0
2006-09,1772.0
2006-10,1486.0
2006-11,1588.0
2006-12,1642.0
2007-01,1408.0
2007-02,1525.0
2007-03,1518.0
2007-04,1528.0
2007-05,1474.0
2007-06,1467.0
2007-07,1381.0
2007-08,1331.0
2007-09,1191.0
2007-10,1229.0
2007-11,1187.0
2007-12,1006.0
2008-01,1012.0
2008-02,1065.0
2008-03,947.0
2008-04,1032.0
2008-05,975.0
2008-06,1066.0
2008-07,965.0
2008-08,895.0
2008-09,817.0
2008-10,791.0
2008-11,625.0
2008-12,550.0
2009-01,466.0
2009-02,583.0
2009-03,510.0
2009-04,458.0
2009-05,532.0
2009-06,582.0
2009-07,581.0
2009-08,598.0
2009-09,590.0
2009-10,529.0
2009-11,574.0
2009-12,557.0
2010-01,591.0
2010-02,575.0
2010-03,626.0
2010-04,672.0
2010-05,593.0
2010-06,549.0
2010-07,546.0
2010-08,598.0
2010-09,610.0
2010-10,519.0
2010-11,555.0
2010-12,529.0
2011-01,596.0
2011-02,479.0
2011-03,549.0
2011-04,523.0
2011-05,560.0
2011-06,629.0
2011-07,604.0
2011-08,571.0
2011-09,658.0
2011-10,628.0
2011-11,685.0
2011-12,657.0
2012-01,699.0
2012-02,698.0
2012-03,654.0
2012-04,717.0
2012-05,708.0
2012-06,760.0
2012-07,746.0
2012-08,750.0
2012-09,872.0
2012-10,894.0
2012-11,861.0
2012-12,954.0
2013-01,890.0
2013-02,917.0
2013-03,1036.0
2013-04,853.0
2013-05,914.0
2013-06,836.0
2013-07,896.0
2013-08,891.0
2013-09,873.0
2013-10,889.0
2013-11,1091.0
2013-12,999.0
2014-01,880.0
2014-02,907.0
2014-03,946.0
2014-04,1072.0
2014-05,1001.0
2014-06,893.0
2014-07,1093.0
2014-08,956.0
2014-09,1017.0
2014-10,1009.0
2014-11,1028.0
2014-12,1089.0
2015-01,1065.0
2015-02,897.0
2015-03,926.0
2015-04,1135.0
2015-05,1036.0
2015-06,1174.0
2015-07,1206.0
2015-08,1126.0
2015-09,1206.0
2015-10,1060.0
2015-11,1173.0
2015-12,1149.0
2016-01,1099.0
2016-02,1178.0
2016-03,1089.0
2016-04,1172.0
2016-05,1164.0
2016-06,1189.0
2016-07,1211.0
2016-08,1142.0
2016-09,1047.0
2016-10,1323.0
2016-11,1090.0
2016-12,1226.0
2017-01,1246.0
2017-02,1288.0
2017-03,1215.0
2017-04,1172.0
2017-05,1092.0
2017-06,1215.0
2017-07,1155.0
2017-08,1180.0
2017-09,1127.0
2017-10,1290.0
2017-11,1297.0
2017-12,1192.0
2018-01,1326.0
2018-02,1236.0
2018-03,1319.0
2018-04,1287.0
2018-05,1350.0
2018-06,1173.0
2018-07,1168.0
2018-08,1282.0
2018-09,1201.0
2018-10,1228.0
2018-11,1256.0
2018-12,1078.0
2019-01,1230.0
2019-02,1162.0
2019-03,1139.0
2019-04,1235.0
2019-05,1269.0
2019-06,1253.0
2019-07,1191.0
2019-08,1364.0
2019-09,1256.0
2019-10,1314.0
2019-11,1365.0
2019-12,1608.0
2020-01,1567.0
2020-02,1599.0
2020-03,1216.0
2020-04,891.0
2020-05,974.0
2020-06,1186.0
2020-07,1496.0
2020-08,1416.0
2020-09,1415.0
2020-10,1530.0
2020-11,1547.0
2020-12,1669.0
2021-01,1580.0
2021-02,1421.0
2021-03,1739.0
2021-04,1569.0
2021-05,1572.0
2021-06,1643.0
2021-07,1534.0
2021-08,1615.0
2021-09,1555.0
2021-10,1520.0
2021-11,1679.0
2021-12,1702.0
2022-01,1638.0
2022-02,1769.0
2022-03,1793.0
2022-04,1724.0
2022-05,1549.0
2022-06,1559.0
2022-07,1446.0
2022-08,1575.0
2022-09,1439.0
2022-10,1425.0
2022-11,1427.0
2022-12,1382.0
2023-01,1309.0
2023-02,1450.0
2023-03,1420.0
2023-04,1401.0
2023-05,1631.0
2023-06,1434.0
2023-07,1452.0
2023-08,1283.0
2023-09,1358.0
2023-10,1372.0
2023-11,1560.0
2023-12,1460.0
2024-01,1331.0
2024-02,1521.0
2024-03,1321.0
2024-04,1360.0
2024-05,1277.0
2024-06,1353.0
2024-07,1238.0
2024-08,1356.0
2024-09,1354.0
2024-10,1311.0
2024-11,1289.0
2024-12,1499.0
2025-01,1366.0
2025-02,1501.0
2025-03,1324.0
2025-04,1361.0
