,Industrial Production (Manufacturing Only)
2005-01,97.9271
2005-02,98.8304
2005-03,98.3466
2005-04,98.7663
2005-05,99.0189
2005-06,99.2871
2005-07,98.9358
2005-08,99.4776
2005-09,98.3331
2005-10,99.8225
2005-11,100.7585
2005-12,100.8668
2006-01,101.6594
2006-02,101.3716
2006-03,101.3092
2006-04,101.667
2006-05,101.4504
2006-06,101.8145
2006-07,101.5259
2006-08,102.3362
2006-09,102.4424
2006-10,101.9681
2006-11,102.1078
2006-12,103.6726
2007-01,103.2991
2007-02,103.6719
2007-03,104.5848
2007-04,105.2553
2007-05,105.215
2007-06,105.6409
2007-07,105.6645
2007-08,105.4234
2007-09,105.7879
2007-10,105.6476
2007-11,106.2595
2007-12,106.443
2008-01,106.2058
2008-02,105.4437
2008-03,105.0141
2008-04,103.9354
2008-05,103.3508
2008-06,102.6186
2008-07,101.4769
2008-08,100.1638
2008-09,96.5956
2008-10,96.0624
2008-11,93.6504
2008-12,90.4374
2009-01,87.4764
2009-02,87.4964
2009-03,85.9802
2009-04,85.4365
2009-05,84.5396
2009-06,84.332
2009-07,85.7961
2009-08,86.8162
2009-09,87.7208
2009-10,87.7415
2009-11,88.671
2009-12,88.536
2010-01,89.5484
2010-02,89.5698
2010-03,90.7779
2010-04,91.5998
2010-05,92.8159
2010-06,92.8028
2010-07,93.3195
2010-08,93.5079
2010-09,93.6052
2010-10,93.658
2010-11,93.7729
2010-12,94.2792
2011-01,94.3733
2011-02,94.5521
2011-03,95.1905
2011-04,94.6415
2011-05,94.6336
2011-06,94.7651
2011-07,95.2968
2011-08,95.7347
2011-09,95.9916
2011-10,96.525
2011-11,96.3246
2011-12,96.9673
2012-01,97.8623
2012-02,98.2798
2012-03,97.7678
2012-04,98.2858
2012-05,98.0067
2012-06,98.3717
2012-07,98.1887
2012-08,98.072
2012-09,97.8986
2012-10,97.727
2012-11,98.322
2012-12,99.0788
2013-01,98.8291
2013-02,99.2924
2013-03,99.23
2013-04,98.9011
2013-05,99.198
2013-06,99.4291
2013-07,98.5558
2013-08,99.4032
2013-09,99.4641
2013-10,99.6389
2013-11,99.6647
2013-12,99.494
2014-01,98.3918
2014-02,99.3286
2014-03,100.2242
2014-04,100.2122
2014-05,100.5068
2014-06,100.8203
2014-07,101.2857
2014-08,100.7341
2014-09,100.7977
2014-10,100.7226
2014-11,101.4292
2014-12,101.2601
2015-01,100.6598
2015-02,99.9051
2015-03,100.2242
2015-04,100.2004
2015-05,100.2124
2015-06,99.8246
2015-07,100.5337
2015-08,100.2452
2015-09,100.015
2015-10,99.861
2015-11,99.6074
2015-12,99.3454
2016-01,99.7457
2016-02,99.4054
2016-03,99.3351
2016-04,99.1995
2016-05,99.1249
2016-06,99.3916
2016-07,99.4263
2016-08,99.0728
2016-09,99.2908
2016-10,99.4335
2016-11,99.3623
2016-12,99.4132
2017-01,99.6076
2017-02,99.5076
2017-03,99.1704
2017-04,100.3399
2017-05,100.147
2017-06,100.1764
2017-07,99.7881
2017-08,99.5608
2017-09,99.6241
2017-10,100.6954
2017-11,100.7956
2017-12,100.587
2018-01,100.2477
2018-02,101.1191
2018-03,101.0662
2018-04,101.8102
2018-05,100.9597
2018-06,101.7171
2018-07,101.7427
2018-08,101.9949
2018-09,102.0195
2018-10,101.551
2018-11,101.2909
2018-12,101.6681
2019-01,100.7387
2019-02,100.1944
2019-03,99.9879
2019-04,99.3169
2019-05,99.3884
2019-06,99.818
2019-07,99.0943
2019-08,99.8016
2019-09,99.0494
2019-10,98.1959
2019-11,99.0889
2019-12,99.1762
2020-01,98.8309
2020-02,99.0603
2020-03,94.5462
2020-04,79.9564
2020-05,83.5072
2020-06,90.0799
2020-07,93.2606
2020-08,94.5815
2020-09,94.5228
2020-10,95.3386
2020-11,95.9419
2020-12,96.6674
2021-01,97.6118
2021-02,93.5661
2021-03,96.5339
2021-04,96.603
2021-05,97.7028
2021-06,97.798
2021-07,98.6215
2021-08,98.2652
2021-09,97.3096
2021-10,98.7064
2021-11,99.6303
2021-12,99.7196
2022-01,99.0901
2022-02,99.9974
2022-03,100.925
2022-04,100.9186
2022-05,100.7136
2022-06,100.3815
2022-07,100.5031
2022-08,100.744
2022-09,100.9433
2022-10,101.0181
2022-11,100.3051
2022-12,98.441
2023-01,100.2508
2023-02,100.2323
2023-03,99.6408
2023-04,100.3856
2023-05,100.2887
2023-06,99.6499
2023-07,99.9367
2023-08,99.9923
2023-09,100.1002
2023-10,99.3166
2023-11,99.8694
2023-12,99.8251
2024-01,98.4489
2024-02,99.8476
2024-03,100.0599
2024-04,99.3696
2024-05,100.0424
2024-06,99.9935
2024-07,99.3588
2024-08,99.927
2024-09,99.6108
2024-10,98.9959
2024-11,99.1847
2024-12,99.6459
2025-01,99.5753
2025-02,100.6704
2025-03,101.0684
2025-04,100.6672
