Date,MOVE
2005-01,83.9
2005-01,83.3
2005-01,93.2
2005-01,92.4
2005-01,92.38
2005-01,79.01
2005-01,77.85
2005-01,76.95
2005-01,75.77
2005-01,76.61
2005-01,76.61
2005-01,76.53
2005-01,75.96
2005-01,74.46
2005-01,76.3
2005-01,76.95
2005-01,77.32
2005-01,78.19
2005-01,80.21
2005-01,78.62
2005-01,79.29
2005-02,75.96
2005-02,83.9
2005-02,83.78
2005-02,75.51
2005-02,72.24
2005-02,72.84
2005-02,77.1
2005-02,80.4
2005-02,81.95
2005-02,84.66
2005-02,84.12
2005-02,84.1
2005-02,74.24
2005-02,78.46
2005-02,78.46
2005-02,83.99
2005-02,81.69
2005-02,82.94
2005-02,80.7
2005-02,90.05
2005-03,89.23
2005-03,101.41
2005-03,99.44
2005-03,83.0
2005-03,76.3
2005-03,81.93
2005-03,92.1
2005-03,91.14
2005-03,93.7
2005-03,93.2
2005-03,92.0
2005-03,90.77
2005-03,92.12
2005-03,90.1
2005-03,91.3
2005-03,90.7
2005-03,89.0
2005-03,88.37
2005-03,88.37
2005-03,88.91
2005-03,89.59
2005-03,91.0
2005-03,87.7
2005-04,75.16
2005-04,75.11
2005-04,73.64
2005-04,81.15
2005-04,79.28
2005-04,81.4
2005-04,78.2
2005-04,75.94
2005-04,75.59
2005-04,74.42
2005-04,83.84
2005-04,83.84
2005-04,84.11
2005-04,84.0
2005-04,85.81
2005-04,84.18
2005-04,78.55
2005-04,79.2
2005-04,79.12
2005-04,78.25
2005-04,82.53
2005-05,82.3
2005-05,81.5
2005-05,86.9
2005-05,82.98
2005-05,78.4
2005-05,78.7
2005-05,78.9
2005-05,83.0
2005-05,82.17
2005-05,87.1
2005-05,88.5
2005-05,84.7
2005-05,81.22
2005-05,77.19
2005-05,76.6
2005-05,73.86
2005-05,73.82
2005-05,74.06
2005-05,72.6
2005-05,73.75
2005-05,73.75
2005-05,75.0
2005-06,79.13
2005-06,80.76
2005-06,78.9
2005-06,78.44
2005-06,77.86
2005-06,82.96
2005-06,80.86
2005-06,82.53
2005-06,80.53
2005-06,80.17
2005-06,75.24
2005-06,73.4
2005-06,72.4
2005-06,72.2
2005-06,73.5
2005-06,77.18
2005-06,76.51
2005-06,76.0
2005-06,74.5
2005-06,75.7
2005-06,76.79
2005-06,75.6
2005-07,78.85
2005-07,78.85
2005-07,78.35
2005-07,86.29
2005-07,87.85
2005-07,80.12
2005-07,82.93
2005-07,81.08
2005-07,81.49
2005-07,76.47
2005-07,77.5
2005-07,76.62
2005-07,77.42
2005-07,74.16
2005-07,78.5
2005-07,75.54
2005-07,75.77
2005-07,74.07
2005-07,73.78
2005-07,72.51
2005-07,74.8
2005-08,76.52
2005-08,76.8
2005-08,78.19
2005-08,77.6
2005-08,75.97
2005-08,75.19
2005-08,72.63
2005-08,72.97
2005-08,72.25
2005-08,74.01
2005-08,73.53
2005-08,73.85
2005-08,73.3
2005-08,72.42
2005-08,73.3
2005-08,71.7
2005-08,71.36
2005-08,71.5
2005-08,72.16
2005-08,73.63
2005-08,72.22
2005-08,75.0
2005-08,78.2
2005-09,85.07
2005-09,80.66
2005-09,80.66
2005-09,76.58
2005-09,80.3
2005-09,80.33
2005-09,79.91
2005-09,78.21
2005-09,78.89
2005-09,77.94
2005-09,79.5
2005-09,82.5
2005-09,82.4
2005-09,77.53
2005-09,77.3
2005-09,77.92
2005-09,78.17
2005-09,78.14
2005-09,75.9
2005-09,75.46
2005-09,75.96
2005-09,76.71
2005-10,80.3
2005-10,77.87
2005-10,81.65
2005-10,80.28
2005-10,77.48
2005-10,77.48
2005-10,77.54
2005-10,77.6
2005-10,80.0
2005-10,80.7
2005-10,81.1
2005-10,80.1
2005-10,80.09
2005-10,79.1
2005-10,78.4
2005-10,78.0
2005-10,77.02
2005-10,82.1
2005-10,80.7
2005-10,80.2
2005-10,80.08
2005-11,77.96
2005-11,82.5
2005-11,83.4
2005-11,76.5
2005-11,76.5
2005-11,78.2
2005-11,80.5
2005-11,79.88
2005-11,79.88
2005-11,80.9
2005-11,80.3
2005-11,79.09
2005-11,78.83
2005-11,76.51
2005-11,73.1
2005-11,73.1
2005-11,73.31
2005-11,73.31
2005-11,72.06
2005-11,72.13
2005-11,73.99
2005-11,73.5
2005-12,73.5
2005-12,69.39
2005-12,67.7
2005-12,67.3
2005-12,71.44
2005-12,70.6
2005-12,71.89
2005-12,72.2
2005-12,68.36
2005-12,70.92
2005-12,71.2
2005-12,70.27
2005-12,67.7
2005-12,66.31
2005-12,66.4
2005-12,66.5
2005-12,67.89
2005-12,67.89
2005-12,68.43
2005-12,70.26
2005-12,71.23
2005-12,72.09
2005-12,72.09
2006-01,73.29
2006-01,74.69
2006-01,72.86
2006-01,69.12
2006-01,64.9
2006-01,65.51
2006-01,64.5
2006-01,64.9
2006-01,64.9
2006-01,64.9
2006-01,63.5
2006-01,66.55
2006-01,66.24
2006-01,66.2
2006-01,67.72
2006-01,67.5
2006-01,72.2
2006-01,74.91
2006-01,73.7
2006-01,75.65
2006-01,73.7
2006-02,72.8
2006-02,72.14
2006-02,68.74
2006-02,67.3
2006-02,68.04
2006-02,70.0
2006-02,71.4
2006-02,72.4
2006-02,71.14
2006-02,71.4
2006-02,67.0
2006-02,62.5
2006-02,62.53
2006-02,62.53
2006-02,60.4
2006-02,57.5
2006-02,57.8
2006-02,55.24
2006-02,56.22
2006-02,56.86
2006-03,58.31
2006-03,62.66
2006-03,63.11
2006-03,66.31
2006-03,68.5
2006-03,69.5
2006-03,66.6
2006-03,62.5
2006-03,63.2
2006-03,64.4
2006-03,63.36
2006-03,65.43
2006-03,64.51
2006-03,63.2
2006-03,64.6
2006-03,63.2
2006-03,64.21
2006-03,65.7
2006-03,64.0
2006-03,62.5
2006-03,65.97
2006-03,69.9
2006-03,68.6
2006-04,68.6
2006-04,67.0
2006-04,68.3
2006-04,68.6
2006-04,70.8
2006-04,67.77
2006-04,69.8
2006-04,69.4
2006-04,71.7
2006-04,71.7
2006-04,69.7
2006-04,68.83
2006-04,67.95
2006-04,66.5
2006-04,66.0
2006-04,64.4
2006-04,67.1
2006-04,66.8
2006-04,65.1
2006-04,63.0
2006-05,63.9
2006-05,66.1
2006-05,70.6
2006-05,69.1
2006-05,65.6
2006-05,64.5
2006-05,65.1
2006-05,63.2
2006-05,63.8
2006-05,65.8
2006-05,65.8
2006-05,64.4
2006-05,65.2
2006-05,65.2
2006-05,68.8
2006-05,71.1
2006-05,68.3
2006-05,71.9
2006-05,68.7
2006-05,67.1
2006-05,67.1
2006-05,66.0
2006-05,67.1
2006-06,66.5
2006-06,65.5
2006-06,64.3
2006-06,64.0
2006-06,66.4
2006-06,67.1
2006-06,66.1
2006-06,64.3
2006-06,64.6
2006-06,64.3
2006-06,64.2
2006-06,65.4
2006-06,66.3
2006-06,66.8
2006-06,67.0
2006-06,69.3
2006-06,70.7
2006-06,69.0
2006-06,67.5
2006-06,67.2
2006-06,65.1
2006-06,65.5
2006-07,65.5
2006-07,65.5
2006-07,67.6
2006-07,66.9
2006-07,64.0
2006-07,65.0
2006-07,64.3
2006-07,64.9
2006-07,68.0
2006-07,68.9
2006-07,69.5
2006-07,69.8
2006-07,66.1
