Date,.CESIUSD,.MOVE
2004-09-01,-105.0,105.44
2004-09-02,-104.4,106.86
2004-09-03,-110.5,89.29
2004-09-06,-108.4,
2004-09-07,-107.6,84.95
2004-09-08,-106.7,100.51
2004-09-09,-105.6,98.73
2004-09-10,-97.7,96.58
2004-09-13,-96.1,91.73
2004-09-14,-95.8,92.22
2004-09-15,-97.5,91.98
2004-09-16,-106.4,91.08
2004-09-17,,93.66
2004-09-20,-104.6,92.23
2004-09-21,-102.5,88.24
2004-09-22,-100.3,91.6
2004-09-23,-99.4,98.19
2004-09-24,-98.8,95.63
2004-09-27,-92.5,93.39
2004-09-28,-94.9,92.34
2004-09-29,-86.3,92.56
2004-09-30,-81.3,92.89
2004-10-01,-81.4,93.08
2004-10-04,-78.6,90.76
2004-10-05,-82.8,87.42
2004-10-06,-82.4,96.29
2004-10-07,-82.1,100.6
2004-10-08,-87.2,91.38
2004-10-11,-85.7,
2004-10-12,-85.2,92.54
2004-10-13,-83.8,91.83
2004-10-14,-95.0,91.22
2004-10-15,-96.7,90.59
2004-10-18,-93.4,86.88
2004-10-19,-90.7,85.85
2004-10-20,-90.0,92.1
2004-10-21,-83.5,86.54
2004-10-22,,85.84
2004-10-25,-80.5,88.42
2004-10-26,-80.6,91.91
2004-10-27,-76.0,95.42
2004-10-28,-74.6,97.27
2004-10-29,-69.8,96.45
2004-11-01,-70.0,96.79
2004-11-02,-66.6,98.52
2004-11-03,-58.1,105.38
2004-11-04,-56.2,102.81
2004-11-05,-39.1,92.68
2004-11-08,-30.1,91.2
2004-11-09,-25.1,89.04
2004-11-10,-6.6,86.77
2004-11-11,-5.8,
2004-11-12,2.7,85.93
2004-11-15,5.2,86.72
2004-11-16,5.8,86.83
2004-11-17,14.6,86.21
2004-11-18,13.8,86.0
2004-11-19,14.5,87.6
2004-11-22,17.9,86.04
2004-11-23,18.4,85.68
2004-11-24,17.1,83.2
2004-11-25,,
2004-11-26,19.1,84.9
2004-11-29,23.9,90.65
2004-11-30,23.2,89.56
2004-12-01,26.6,88.23
2004-12-02,26.5,91.23
2004-12-03,23.1,78.12
2004-12-06,22.6,72.33
2004-12-07,22.3,66.76
2004-12-08,21.5,82.02
2004-12-09,21.9,83.02
2004-12-10,23.8,82.98
2004-12-13,30.1,82.22
2004-12-14,21.0,80.23
2004-12-15,23.6,82.3
2004-12-16,23.5,86.3
2004-12-17,23.3,86.43
2004-12-20,,81.64
2004-12-21,22.5,80.55
2004-12-22,24.4,81.08
2004-12-23,22.7,80.67
2004-12-27,21.4,82.63
2004-12-28,,85.8
2004-12-29,,85.1
2004-12-30,19.4,86.6
2004-12-31,19.8,
2005-01-03,22.0,83.9
2005-01-04,,83.3
2005-01-05,27.6,93.2
2005-01-06,27.7,92.4
2005-01-07,26.0,92.38
2005-01-10,27.5,79.01
2005-01-11,29.1,77.85
2005-01-12,0.4,76.95
2005-01-13,-2.2,75.77
2005-01-14,1.6,76.61
2005-01-17,-1.0,
2005-01-18,5.1,76.53
2005-01-19,3.9,75.96
2005-01-20,-3.0,74.46
2005-01-21,-4.6,76.3
2005-01-25,-3.3,77.32
2005-01-26,-4.3,78.19
2005-01-27,-5.0,80.21
2005-01-28,-13.2,78.62
2005-01-31,-17.2,79.29
2005-02-01,-20.9,
2005-02-02,-23.7,
2005-02-03,-29.1,83.78
2005-02-04,-32.7,75.51
2005-02-07,-37.2,72.24
2005-02-08,-37.9,72.84
2005-02-09,,77.1
2005-02-10,-36.4,80.4
2005-02-11,-36.6,81.95
2005-02-14,-38.2,84.66
2005-02-15,-32.9,84.12
2005-02-16,-30.5,84.1
2005-02-17,-26.5,74.24
2005-02-18,-27.1,78.46
2005-02-21,-26.0,
2005-02-22,-24.1,83.99
2005-02-23,-23.9,81.69
2005-02-24,-24.7,82.94
2005-02-25,-22.5,80.7
2005-02-28,-20.0,90.05
2005-03-01,-25.0,89.23
2005-03-02,-24.3,101.41
2005-03-03,-24.5,99.44
2005-03-04,-23.8,83.0
2005-03-07,-23.2,
2005-03-08,-23.1,81.93
2005-03-09,-23.0,
2005-03-10,-22.6,91.14
2005-03-11,,93.7
2005-03-14,-27.3,
2005-03-15,-22.2,92.0
2005-03-16,-19.5,90.77
2005-03-17,-24.0,92.12
2005-03-18,-25.2,90.1
2005-03-21,-24.6,91.3
2005-03-22,,90.7
2005-03-23,-20.5,89.0
2005-03-24,,88.37
2005-03-25,-16.8,
2005-03-28,-15.4,88.91
2005-03-29,-15.7,89.59
2005-03-30,-19.2,91.0
2005-03-31,-7.8,87.7
2005-04-01,-7.7,75.16
2005-04-04,-6.9,75.11
2005-04-05,-5.9,73.64
2005-04-06,-4.7,81.15
2005-04-07,-3.5,79.28
2005-04-08,,81.4
2005-04-11,6.4,78.2
2005-04-12,-2.8,75.94
2005-04-13,-11.5,75.59
2005-04-14,,74.42
2005-04-15,-10.0,83.84
2005-04-18,-9.8,
2005-04-19,-14.1,84.11
2005-04-20,-7.5,84.0
2005-04-21,0.9,85.81
2005-04-22,1.0,84.18
2005-04-25,1.5,78.55
2005-04-26,12.3,79.2
2005-04-27,10.4,79.12
2005-04-28,2.8,78.25
2005-04-29,6.3,82.53
2005-05-02,2.2,
2005-05-03,3.0,81.5
2005-05-04,4.6,86.9
2005-05-05,4.4,
2005-05-06,,78.4
2005-05-09,13.1,78.7
2005-05-10,12.4,78.9
2005-05-11,42.1,
2005-05-12,53.4,82.17
2005-05-13,50.8,87.1
2005-05-16,32.4,88.5
