gvkeyx,capx,cogs,epspx,ni,sale,datadate,tic
128898,9.85480000,156.28540000,17.27500000,17.16860000,239.84500000,2010-12-31,IND.I
128898,12.79400000,175.49780000,20.40300000,20.70510000,260.00500000,2011-12-31,IND.I
128898,14.75560000,185.51620000,20.71000000,21.07410000,272.98400000,2012-12-31,IND.I
128898,14.96620000,189.26990000,25.65900000,25.00860000,280.32400000,2013-12-31,IND.I
128898,15.99200000,198.05070000,25.71300000,25.90220000,295.23800000,2014-12-31,IND.I
128898,17.63830000,203.12230000,23.11700000,23.66510000,300.31700000,2015-12-31,IND.I
128898,18.32870000,219.04160000,25.21900000,25.65370000,314.79600000,2016-12-31,IND.I
128898,19.14900000,237.66970000,26.45600000,26.82810000,339.34100000,2017-12-31,IND.I
128898,20.53410000,258.62000000,27.18800000,27.63010000,370.93900000,2018-12-31,IND.I
128898,20.88390000,264.70620000,29.70700000,30.03610000,376.07700000,2019-12-31,IND.I
128898,15.26380000,239.76400000,11.47400000,12.03780000,322.98700000,2020-12-31,IND.I
128898,15.99980000,269.35940000,31.84000000,31.78110000,371.22400000,2021-12-31,IND.I
128898,22.64510000,312.18720000,36.78300000,38.49000000,433.60800000,2022-12-31,IND.I
128898,22.97690000,313.88290000,38.00200000,41.00120000,444.81300000,2023-12-31,IND.I
128898,21.41370000,315.09610000,43.10100000,44.21260000,446.36500000,2024-12-31,IND.I
