,Number of Car Sales
2005-01,16.889
2005-02,16.886
2005-03,17.413
2005-04,17.756
2005-05,17.414
2005-06,18.482
2005-07,21.135
2005-08,17.418
2005-09,16.927
2005-10,15.336
2005-11,16.524
2005-12,17.174
2006-01,18.081
2006-02,17.071
2006-03,16.96
2006-04,17.127
2006-05,16.729
2006-06,16.9
2006-07,17.662
2006-08,16.458
2006-09,16.974
2006-10,16.865
2006-11,16.657
2006-12,17.107
2007-01,16.896
2007-02,17.169
2007-03,16.438
2007-04,16.615
2007-05,16.661
2007-06,16.179
2007-07,15.837
2007-08,16.379
2007-09,16.532
2007-10,16.455
2007-11,16.354
2007-12,16.03
2008-01,15.705
2008-02,15.491
2008-03,15.114
2008-04,14.605
2008-05,14.697
2008-06,14.377
2008-07,13.006
2008-08,14.119
2008-09,12.961
2008-10,10.933
2008-11,10.526
2008-12,10.383
2009-01,9.786
2009-02,9.223
2009-03,9.748
2009-04,9.379
2009-05,10.176
2009-06,10.149
2009-07,11.566
2009-08,14.754
2009-09,9.535
2009-10,10.576
2009-11,11.041
2009-12,11.284
2010-01,10.893
2010-02,10.315
2010-03,11.772
2010-04,11.454
2010-05,12.03
2010-06,11.598
2010-07,11.948
2010-08,12.014
2010-09,11.922
2010-10,12.414
2010-11,12.3
2010-12,12.605
2011-01,12.806
2011-02,13.081
2011-03,13.259
2011-04,13.326
2011-05,12.28
2011-06,11.886
2011-07,12.72
2011-08,12.604
2011-09,13.356
2011-10,13.73
2011-11,13.743
2011-12,13.798
2012-01,14.395
2012-02,14.975
2012-03,14.594
2012-04,14.769
2012-05,14.496
2012-06,14.467
2012-07,14.38
2012-08,14.444
2012-09,15.099
2012-10,14.83
2012-11,15.456
2012-12,15.462
2013-01,15.813
2013-02,15.861
2013-03,15.721
2013-04,15.811
2013-05,15.884
2013-06,16.149
2013-07,16.021
2013-08,15.827
2013-09,15.857
2013-10,15.727
2013-11,16.079
2013-12,15.835
2014-01,15.614
2014-02,15.993
2014-03,16.985
2014-04,16.695
2014-05,17.137
2014-06,17.516
2014-07,17.277
2014-08,17.239
2014-09,16.959
2014-10,16.756
2014-11,16.949
2014-12,17.178
2015-01,16.91
2015-02,16.891
2015-03,17.896
2015-04,17.693
2015-05,17.929
2015-06,17.889
2015-07,18.318
2015-08,18.391
2015-09,18.281
2015-10,18.27
2015-11,18.314
2015-12,17.503
2016-01,18.054
2016-02,18.096
2016-03,17.291
2016-04,17.669
2016-05,17.695
2016-06,17.735
2016-07,18.109
2016-08,17.927
2016-09,17.956
2016-10,17.954
2016-11,17.792
2016-12,18.277
2017-01,17.652
2017-02,17.699
2017-03,17.061
2017-04,17.166
2017-05,17.081
2017-06,17.13
2017-07,17.237
2017-08,17.051
2017-09,18.313
2017-10,18.482
2017-11,18.003
2017-12,17.887
2018-01,17.176
2018-02,17.447
2018-03,17.662
2018-04,17.584
2018-05,17.829
2018-06,17.743
2018-07,17.629
2018-08,17.564
2018-09,17.776
2018-10,17.991
2018-11,18.061
2018-12,18.077
2019-01,16.97
2019-02,16.962
2019-03,17.842
2019-04,16.968
2019-05,17.967
2019-06,17.781
2019-07,17.682
2019-08,17.882
2019-09,17.72
2019-10,17.049
2019-11,17.549
2019-12,17.491
2020-01,16.893
2020-02,17.088
2020-03,11.836
2020-04,8.944
2020-05,12.508
2020-06,13.47
2020-07,15.225
2020-08,15.932
2020-09,16.739
2020-10,16.613
2020-11,16.352
2020-12,16.972
2021-01,16.697
2021-02,16.124
2021-03,18.496
2021-04,18.697
2021-05,17.466
2021-06,15.903
2021-07,15.207
2021-08,13.765
2021-09,12.722
2021-10,13.181
2021-11,13.484
2021-12,13.166
2022-01,14.866
2022-02,14.168
2022-03,14.253
2022-04,14.681
2022-05,13.286
2022-06,13.669
2022-07,13.867
2022-08,14.064
2022-09,14.136
2022-10,15.091
2022-11,14.733
2022-12,13.935
2023-01,15.665
2023-02,15.434
2023-03,15.668
2023-04,16.446
2023-05,15.948
2023-06,16.428
2023-07,16.302
2023-08,15.909
2023-09,16.193
2023-10,15.805
2023-11,15.939
2023-12,16.385
2024-01,15.536
2024-02,16.177
2024-03,16.136
2024-04,16.529
2024-05,16.309
2024-06,15.433
2024-07,16.347
2024-08,15.638
2024-09,16.275
2024-10,16.581
2024-11,17.15
2024-12,17.323
2025-01,16.026
2025-02,16.397
2025-03,18.281
2025-04,17.778
