Date,Oil Vol
2007-05,27.09
2007-05,26.41
2007-05,27.23
2007-05,27.89
2007-05,27.07
2007-05,24.86
2007-05,24.71
2007-05,24.67
2007-05,26.03
2007-05,26.35
2007-05,26.63
2007-05,25.81
2007-05,25.81
2007-05,27.83
2007-05,28.61
2007-05,28.44
2007-06,27.39
2007-06,27.36
2007-06,26.7
2007-06,25.94
2007-06,26.11
2007-06,26.51
2007-06,25.99
2007-06,25.81
2007-06,26.07
2007-06,26.35
2007-06,26.41
2007-06,27.15
2007-06,26.72
2007-06,27.14
2007-06,28.0
2007-06,28.16
2007-06,28.01
2007-06,27.79
2007-06,28.06
2007-06,27.95
2007-06,27.44
2007-07,27.52
2007-07,27.45
2007-07,27.45
2007-07,27.33
2007-07,27.4
2007-07,28.25
2007-07,27.37
2007-07,27.69
2007-07,27.35
2007-07,27.06
2007-07,28.0
2007-07,27.46
2007-07,27.91
2007-07,27.4
2007-07,26.69
2007-07,27.09
2007-07,27.42
2007-07,26.84
2007-07,27.79
2007-07,27.25
2007-07,30.16
2007-07,30.69
2007-08,29.73
2007-08,29.68
2007-08,29.32
2007-08,32.49
2007-08,29.48
2007-08,27.07
2007-08,29.73
2007-08,30.87
2007-08,30.82
2007-08,30.23
2007-08,31.14
2007-08,37.02
2007-08,35.46
2007-08,34.16
2007-08,34.33
2007-08,31.93
2007-08,29.85
2007-08,28.67
2007-08,28.98
2007-08,28.81
2007-08,28.88
2007-08,28.99
2007-08,28.86
2007-08,28.86
2007-09,29.49
2007-09,30.29
2007-09,31.11
2007-09,31.39
2007-09,30.82
2007-09,31.3
2007-09,30.25
2007-09,30.37
2007-09,29.37
2007-09,29.72
2007-09,29.77
2007-09,28.93
2007-09,30.57
2007-09,30.3
2007-09,29.19
2007-09,28.79
2007-09,28.4
2007-09,27.77
2007-09,29.32
2007-10,30.53
2007-10,30.74
2007-10,30.62
2007-10,30.12
2007-10,29.57
2007-10,31.07
2007-10,30.59
2007-10,30.24
2007-10,29.2
2007-10,28.61
2007-10,28.4
2007-10,29.8
2007-10,31.66
2007-10,32.04
2007-10,32.39
2007-10,32.27
2007-10,32.15
2007-10,31.34
2007-10,31.11
2007-10,32.74
2007-10,32.61
2007-10,34.65
2007-10,37.46
2007-11,39.71
2007-11,39.99
2007-11,40.14
2007-11,41.2
2007-11,41.37
2007-11,40.84
2007-11,37.06
2007-11,39.65
2007-11,38.69
2007-11,35.8
2007-11,34.56
2007-11,32.72
2007-11,31.45
2007-11,33.94
2007-11,34.38
2007-11,34.38
2007-11,36.08
2007-11,35.95
2007-11,34.34
2007-11,34.94
2007-11,36.47
2007-11,37.26
2007-12,38.51
2007-12,37.36
2007-12,36.0
2007-12,34.42
2007-12,35.01
2007-12,35.94
2007-12,35.22
2007-12,34.58
2007-12,35.41
2007-12,34.44
2007-12,33.44
2007-12,31.79
2007-12,31.42
2007-12,29.17
2007-12,26.91
2007-12,27.48
2007-12,27.48
2007-12,27.46
2007-12,32.07
2007-12,33.48
2007-12,36.35
2007-12,36.35
2008-01,37.23
2008-01,36.47
2008-01,34.5
2008-01,35.18
2008-01,34.61
2008-01,33.93
2008-01,33.48
2008-01,32.12
2008-01,32.73
2008-01,33.6
2008-01,33.56
2008-01,32.12
2008-01,31.46
2008-01,31.46
2008-01,37.14
2008-01,32.96
2008-01,32.96
2008-01,31.96
2008-01,33.18
2008-01,32.05
2008-01,30.64
2008-01,30.24
2008-02,29.77
2008-02,30.59
