Date,Instrument,Price1
2005-01-03,.RVOL,7.92
2005-01-04,.RVOL,8.76
2005-01-05,.RVOL,8.77
2005-01-06,.RVOL,7.97
2005-01-07,.RVOL,7.89
2005-01-10,.RVOL,7.69
2005-01-11,.RVOL,7.89
2005-01-12,.RVOL,7.34
2005-01-13,.RVOL,7.85
2005-01-14,.RVOL,8.1
2005-01-14,.RVOL,8.1
2005-01-18,.RVOL,8.71
2005-01-19,.RVOL,9.15
2005-01-20,.RVOL,9.52
2005-01-21,.RVOL,9.23
2005-01-24,.RVOL,9.21
2005-01-25,.RVOL,9.3
2005-01-26,.RVOL,9.33
2005-01-27,.RVOL,9.07
2005-01-28,.RVOL,9.11
2005-01-31,.RVOL,9.52
2005-02-01,.RVOL,9.82
2005-02-02,.RVOL,9.43
2005-02-03,.RVOL,8.7
2005-02-04,.RVOL,9.47
2005-02-07,.RVOL,9.47
2005-02-08,.RVOL,9.46
2005-02-09,.RVOL,9.9
2005-02-10,.RVOL,9.85
2005-02-11,.RVOL,10.09
2005-02-14,.RVOL,9.6
2005-02-15,.RVOL,9.43
2005-02-16,.RVOL,8.81
2005-02-17,.RVOL,8.54
2005-02-18,.RVOL,8.13
2005-02-18,.RVOL,8.13
2005-02-22,.RVOL,9.31
2005-02-23,.RVOL,9.45
2005-02-24,.RVOL,9.67
2005-02-25,.RVOL,10.1
2005-02-28,.RVOL,10.38
2005-03-01,.RVOL,10.58
2005-03-02,.RVOL,10.22
2005-03-03,.RVOL,9.92
2005-03-04,.RVOL,10.44
2005-03-07,.RVOL,10.42
2005-03-08,.RVOL,9.85
2005-03-09,.RVOL,10.44
2005-03-10,.RVOL,10.44
2005-03-11,.RVOL,10.22
2005-03-14,.RVOL,10.26
2005-03-15,.RVOL,10.27
2005-03-16,.RVOL,10.67
2005-03-17,.RVOL,10.64
2005-03-18,.RVOL,10.64
2005-03-21,.RVOL,10.43
2005-03-22,.RVOL,10.96
2005-03-23,.RVOL,9.8
2005-03-24,.RVOL,9.6
2005-03-24,.RVOL,9.6
2005-03-28,.RVOL,9.34
2005-03-29,.RVOL,9.24
2005-03-30,.RVOL,10.08
2005-03-31,.RVOL,9.83
2005-04-01,.RVOL,10.07
2005-04-04,.RVOL,10.11
2005-04-05,.RVOL,9.61
2005-04-06,.RVOL,9.61
2005-04-07,.RVOL,9.7
2005-04-08,.RVOL,9.5
2005-04-11,.RVOL,9.5
2005-04-12,.RVOL,9.4
2005-04-13,.RVOL,10.19
2005-04-14,.RVOL,10.42
2005-04-15,.RVOL,11.48
2005-04-18,.RVOL,11.48
2005-04-19,.RVOL,11.67
2005-04-20,.RVOL,12.39
2005-04-21,.RVOL,13.54
2005-04-22,.RVOL,13.72
2005-04-25,.RVOL,14.05
2005-04-26,.RVOL,14.31
2005-04-27,.RVOL,14.04
2005-04-28,.RVOL,13.81
2005-04-29,.RVOL,14.37
2005-05-02,.RVOL,14.31
2005-05-03,.RVOL,14.28
2005-05-04,.RVOL,14.74
2005-05-05,.RVOL,14.74
2005-05-06,.RVOL,14.62
2005-05-09,.RVOL,14.53
2005-05-10,.RVOL,15.03
2005-05-11,.RVOL,14.99
2005-05-12,.RVOL,14.79
2005-05-13,.RVOL,14.48
2005-05-16,.RVOL,13.82
2005-05-17,.RVOL,13.99
2005-05-18,.RVOL,14.25
2005-05-19,.RVOL,13.63
2005-05-20,.RVOL,12.04
2005-05-23,.RVOL,11.92
2005-05-24,.RVOL,11.54
2005-05-25,.RVOL,11.23
2005-05-26,.RVOL,11.37
2005-05-27,.RVOL,10.67
2005-05-27,.RVOL,10.67
2005-05-31,.RVOL,10.04
2005-06-01,.RVOL,10.2
2005-06-02,.RVOL,10.23
2005-06-03,.RVOL,9.7
2005-06-06,.RVOL,9.67
2005-06-07,.RVOL,9.65
2005-06-08,.RVOL,9.38
2005-06-09,.RVOL,8.7
2005-06-10,.RVOL,8.62
2005-06-13,.RVOL,7.92
2005-06-14,.RVOL,7.81
2005-06-15,.RVOL,6.98
2005-06-16,.RVOL,6.72
2005-06-17,.RVOL,6.04
2005-06-20,.RVOL,5.82
2005-06-21,.RVOL,5.86
