,US EPU
2005-01,73.91848
2005-02,58.95005
2005-03,57.55796
2005-04,74.56597
2005-05,70.50812
2005-06,74.56133
2005-07,68.71645
2005-08,64.39586
2005-09,91.40605
2005-10,76.16369
2005-11,72.21598
2005-12,78.04893
2006-01,79.17535
2006-02,72.69299
2006-03,64.22933
2006-04,79.76153
2006-05,70.83626
2006-06,79.49433
2006-07,80.56231
2006-08,72.76996
2006-09,67.06754
2006-10,63.46447
2006-11,62.51985
2006-12,63.37041
2007-01,79.01967
2007-02,57.20262
2007-03,69.88729
2007-04,62.50171
2007-05,74.68187
2007-06,73.29654
2007-07,59.32398
2007-08,89.10405
2007-09,100.74438
2007-10,89.45453
2007-11,102.44111
2007-12,108.54379
2008-01,144.98473
2008-02,108.10469
2008-03,111.71236
2008-04,102.1969
2008-05,94.28405
2008-06,94.55676
2008-07,109.78898
2008-08,95.87075
2008-09,187.7403
2008-10,189.91729
2008-11,148.84257
2008-12,145.9947
2009-01,171.94621
2009-02,187.11403
2009-03,166.90338
2009-04,131.85612
2009-05,138.80585
2009-06,130.93348
2009-07,126.28215
2009-08,152.55009
2009-09,145.44437
2009-10,138.13055
2009-11,116.16231
2009-12,121.22101
2010-01,149.35928
2010-02,132.79865
2010-03,137.47003
2010-04,137.0774
2010-05,151.10342
2010-06,140.56916
2010-07,180.01446
2010-08,147.30909
2010-09,182.14672
2010-10,163.42489
2010-11,179.13559
2010-12,165.40785
2011-01,142.17046
2011-02,145.5089
2011-03,174.35437
2011-04,157.49588
2011-05,126.19207
2011-06,158.08862
2011-07,197.91636
2011-08,245.12671
2011-09,204.62979
2011-10,159.73957
2011-11,166.33902
2011-12,189.39836
2012-01,178.28653
2012-02,149.63708
2012-03,137.55312
2012-04,136.59669
2012-05,158.56198
2012-06,194.61057
2012-07,184.8797
2012-08,152.35347
2012-09,175.27705
2012-10,165.94452
2012-11,187.49064
2012-12,192.82518
2013-01,157.5333
2013-02,114.65412
2013-03,124.94082
2013-04,118.71049
2013-05,104.30455
2013-06,114.61614
2013-07,94.03991
2013-08,102.77067
2013-09,144.40178
2013-10,171.02225
2013-11,89.90614
2013-12,104.60212
2014-01,93.50074
2014-02,88.98535
2014-03,93.46759
2014-04,91.11802
2014-05,90.39225
2014-06,81.00762
2014-07,76.64489
2014-08,71.26214
2014-09,84.33692
2014-10,100.20666
2014-11,88.56003
2014-12,85.1875
2015-01,117.16063
2015-02,100.31974
2015-03,105.21813
2015-04,109.64379
2015-05,101.01894
2015-06,108.95279
2015-07,98.91843
2015-08,129.69532
2015-09,138.72169
2015-10,102.89402
2015-11,92.10044
2015-12,99.34261
2016-01,119.01519
2016-02,114.62456
2016-03,104.19081
2016-04,84.25134
2016-05,82.04127
2016-06,162.62912
2016-07,121.96465
2016-08,91.8289
2016-09,79.80896
2016-10,92.51785
2016-11,169.37782
2016-12,115.15205
2017-01,134.86953
2017-02,133.33148
2017-03,119.77617
2017-04,121.57059
2017-05,104.17097
2017-06,98.75896
2017-07,110.7536
2017-08,109.17827
2017-09,96.75077
2017-10,102.16057
2017-11,94.48961
2017-12,111.49723
2018-01,123.65156
2018-02,94.00742
2018-03,136.33432
2018-04,108.21374
2018-05,124.93665
2018-06,108.6274
2018-07,133.08625
2018-08,99.13562
2018-09,102.6602
2018-10,111.51257
2018-11,130.22387
2018-12,166.28681
2019-01,201.03201
2019-02,106.90066
2019-03,140.24737
2019-04,98.7367
2019-05,122.53876
2019-06,150.11678
2019-07,149.9729
2019-08,190.46323
2019-09,134.36178
2019-10,118.48822
2019-11,131.75071
2019-12,143.46725
2020-01,131.39109
2020-02,160.51565
2020-03,283.14721
2020-04,268.61639
2020-05,350.45982
2020-06,231.2598
2020-07,305.96355
2020-08,224.42637
2020-09,218.05829
2020-10,249.17362
2020-11,246.7071
2020-12,246.1261
2021-01,207.91242
2021-02,151.93288
2021-03,139.8012
2021-04,124.88952
2021-05,147.01584
2021-06,133.57887
2021-07,152.91092
2021-08,133.81455
2021-09,142.06763
2021-10,121.9515
2021-11,151.28684
2021-12,166.24265
2022-01,139.23758
2022-02,138.05353
2022-03,190.01241
2022-04,154.66196
2022-05,168.00083
2022-06,145.97594
2022-07,186.92141
2022-08,163.23982
2022-09,174.18347
2022-10,177.42313
2022-11,171.73726
2022-12,136.43315
2023-01,139.12464
2023-02,120.13662
2023-03,147.9425
2023-04,127.42137
2023-05,156.19287
2023-06,141.05706
2023-07,113.79255
2023-08,84.49314
2023-09,108.39746
2023-10,117.69793
2023-11,125.4752
2023-12,105.77133
2024-01,121.96395
2024-02,87.23672
2024-03,93.20401
2024-04,106.48626
2024-05,103.8162
2024-06,115.8524
2024-07,116.29613
2024-08,112.31229
2024-09,105.89523
2024-10,95.29997
2024-11,160.52062
2024-12,156.89088
2025-01,167.38864
2025-02,228.62756
2025-03,296.92294
