Date,VIX,VXN NASDAQ
2005-01,14.08,19.5
2005-01,13.98,20.06
2005-01,14.09,20.18
2005-01,13.58,20.13
2005-01,13.49,19.15
2005-01,13.23,19.61
2005-01,13.19,19.67
2005-01,12.56,19.28
2005-01,12.84,19.09
2005-01,12.43,18.57
2005-01,,
2005-01,12.47,18.75
2005-01,13.18,19.24
2005-01,13.83,19.5
2005-01,14.36,19.37
2005-01,14.65,19.87
2005-01,14.06,19.52
2005-01,13.44,18.92
2005-01,13.24,18.58
2005-01,13.24,18.58
2005-01,12.82,18.43
2005-02,12.03,17.76
2005-02,11.66,17.3
2005-02,11.79,17.36
2005-02,11.21,16.92
2005-02,11.73,17.56
2005-02,11.6,17.6
2005-02,12.0,18.24
2005-02,11.51,17.92
2005-02,11.43,17.19
2005-02,11.52,17.68
2005-02,11.27,17.56
2005-02,11.1,17.41
2005-02,11.77,17.53
2005-02,11.18,17.87
2005-02,,
2005-02,13.14,19.0
2005-02,12.39,18.44
2005-02,11.57,17.61
2005-02,11.49,17.34
2005-02,12.08,18.07
2005-03,12.04,17.78
2005-03,12.5,18.2
2005-03,12.93,18.76
2005-03,11.94,18.13
2005-03,12.26,17.73
2005-03,12.4,17.86
2005-03,12.7,17.8
2005-03,12.49,17.88
2005-03,12.8,18.57
2005-03,12.39,18.35
2005-03,13.15,18.68
2005-03,13.49,19.01
2005-03,13.29,18.46
2005-03,13.14,17.88
2005-03,13.61,17.83
2005-03,14.27,18.03
2005-03,14.06,17.68
2005-03,13.42,17.15
2005-03,,
2005-03,13.75,17.74
2005-03,14.49,17.99
2005-03,13.64,17.36
2005-03,14.02,17.65
2005-04,14.09,17.61
2005-04,14.11,18.07
2005-04,13.68,17.67
2005-04,13.15,17.35
2005-04,12.33,16.67
2005-04,12.62,16.96
2005-04,11.98,16.9
2005-04,11.3,16.24
2005-04,13.31,16.07
2005-04,14.53,18.01
2005-04,17.74,21.85
2005-04,16.56,21.38
2005-04,14.96,19.11
2005-04,16.92,20.23
2005-04,14.41,18.52
2005-04,15.38,19.04
2005-04,14.62,18.58
2005-04,14.91,18.68
2005-04,14.87,18.76
2005-04,16.86,20.13
2005-04,15.31,18.54
2005-05,15.12,20.8
2005-05,14.53,20.14
2005-05,13.85,18.32
2005-05,13.98,18.12
2005-05,14.05,17.58
2005-05,13.75,18.37
2005-05,14.91,18.11
2005-05,14.45,17.87
2005-05,16.12,18.81
2005-05,16.32,18.41
2005-05,15.68,18.77
2005-05,14.57,18.28
2005-05,13.63,17.55
2005-05,13.32,16.95
2005-05,13.14,15.88
2005-05,12.95,16.04
2005-05,12.69,15.84
2005-05,12.58,15.62
2005-05,12.24,15.0
2005-05,12.15,15.15
2005-05,,
2005-05,13.29,16.08
2005-06,12.36,15.87
2005-06,11.84,14.95
2005-06,12.15,15.59
2005-06,12.28,15.74
2005-06,12.39,15.61
2005-06,12.7,15.8
2005-06,12.08,15.27
2005-06,11.96,15.87
2005-06,11.65,15.74
2005-06,11.79,15.75
2005-06,11.46,15.45
2005-06,11.15,14.97
2005-06,11.48,14.63
2005-06,11.47,14.7
2005-06,11.08,13.43
2005-06,11.05,14.04
2005-06,12.13,15.07
2005-06,12.18,15.3
2005-06,12.52,15.73
2005-06,11.58,14.84
2005-06,11.77,14.46
2005-06,12.04,14.46
2005-07,11.4,14.27
2005-07,,
2005-07,11.68,14.5
2005-07,12.27,14.77
2005-07,12.49,15.14
2005-07,11.45,13.8
2005-07,11.28,13.57
2005-07,10.95,14.77
2005-07,10.84,14.88
2005-07,10.81,14.21
2005-07,10.33,13.34
2005-07,10.77,13.81
2005-07,10.45,13.06
2005-07,10.23,12.89
2005-07,10.97,13.47
2005-07,10.52,12.95
2005-07,11.1,13.58
2005-07,10.99,13.56
2005-07,10.36,12.76
2005-07,10.52,12.61
2005-07,11.57,13.87
2005-08,12.08,14.38
2005-08,11.75,13.95
2005-08,11.83,13.72
2005-08,12.52,14.94
2005-08,12.48,15.4
2005-08,13.21,15.95
2005-08,12.4,15.25
2005-08,12.38,15.67
2005-08,12.42,15.73
2005-08,12.74,15.63
2005-08,12.26,15.07
2005-08,13.52,16.2
2005-08,13.3,15.57
2005-08,13.42,15.29
2005-08,13.42,16.16
2005-08,13.42,15.94
2005-08,13.34,15.57
2005-08,14.17,15.43
2005-08,13.73,15.35
2005-08,13.72,15.37
2005-08,13.52,15.3
2005-08,13.65,15.36
2005-08,12.6,14.71
2005-09,13.15,15.07
2005-09,13.57,15.67
2005-09,,
2005-09,12.93,14.89
2005-09,12.52,14.9
2005-09,12.93,14.7
2005-09,11.98,14.27
2005-09,11.65,15.16
2005-09,12.39,14.97
2005-09,12.91,15.57
2005-09,12.49,15.76
2005-09,11.22,14.58
2005-09,12.14,14.69
2005-09,12.64,15.17
2005-09,13.79,15.85
2005-09,13.33,15.3
2005-09,12.96,15.16
2005-09,13.04,14.82
2005-09,12.76,14.39
2005-09,12.63,14.35
2005-09,12.24,14.37
2005-09,11.92,13.31
2005-10,12.46,13.97
2005-10,13.2,14.91
2005-10,14.55,15.86
2005-10,14.96,16.79
2005-10,14.59,16.62
2005-10,15.55,17.28
2005-10,15.63,17.15
2005-10,16.22,17.76
2005-10,16.47,17.19
2005-10,14.87,16.23
2005-10,14.67,16.22
2005-10,15.33,16.48
2005-10,13.5,15.57
2005-10,16.11,16.35
2005-10,16.13,15.82
2005-10,14.74,15.23
2005-10,14.53,15.28
2005-10,14.59,15.87
2005-10,16.02,17.7
2005-10,14.25,17.52
2005-10,15.32,17.99
2005-11,14.85,17.39
2005-11,13.48,15.82
2005-11,13.0,15.65
2005-11,13.17,15.18
2005-11,13.1,15.67
2005-11,13.08,15.56
2005-11,12.8,15.87
2005-11,11.9,14.61
2005-11,11.63,14.21
2005-11,12.18,14.68
2005-11,12.23,14.79
2005-11,12.26,13.96
2005-11,11.25,13.28
2005-11,11.12,14.36
2005-11,10.82,14.11
