permno,adate,qdate,public_date,pe_op_basic,pe_exi,roa,rd_sale,TICKER
41355,2017-06-30,2017-09-30,2018-01-31,23.152,25.889,0.147,0.027,PH
41355,2017-06-30,2017-12-31,2018-02-28,19.088,27.842,0.150,0.025,PH
41355,2017-06-30,2017-12-31,2018-03-31,18.292,26.682,0.150,0.025,PH
41355,2017-06-30,2017-12-31,2018-04-30,17.606,25.682,0.150,0.025,PH
41355,2017-06-30,2018-03-31,2018-05-31,17.005,23.189,0.152,0.024,PH
41355,2017-06-30,2018-03-31,2018-06-30,15.507,21.147,0.152,0.024,PH
41355,2017-06-30,2018-03-31,2018-07-31,16.821,22.938,0.152,0.024,PH
41355,2018-06-30,2018-06-30,2018-08-31,16.645,22.427,0.158,0.023,PH
41355,2018-06-30,2018-06-30,2018-09-30,17.434,23.490,0.158,0.023,PH
41355,2018-06-30,2018-06-30,2018-10-31,14.373,19.365,0.158,0.023,PH
41355,2018-06-30,2018-09-30,2018-11-30,15.430,20.192,0.159,0.023,PH
41355,2018-06-30,2018-09-30,2018-12-31,13.376,17.505,0.159,0.023,PH
41355,2018-06-30,2018-09-30,2019-01-31,14.781,19.344,0.159,0.023,PH
41355,2018-06-30,2018-12-31,2019-02-28,15.562,16.825,0.162,0.023,PH
41355,2018-06-30,2018-12-31,2019-03-31,15.161,16.392,0.162,0.023,PH
41355,2018-06-30,2018-12-31,2019-04-30,15.996,17.295,0.162,0.023,PH
41355,2018-06-30,2019-03-31,2019-05-31,13.052,13.962,0.166,0.023,PH
41355,2018-06-30,2019-03-31,2019-06-30,14.568,15.583,0.166,0.023,PH
41355,2018-06-30,2019-03-31,2019-07-31,15.003,16.048,0.166,0.023,PH
41355,2019-06-30,2019-06-30,2019-08-31,13.803,14.440,0.155,0.021,PH
41355,2019-06-30,2019-06-30,2019-09-30,15.038,15.733,0.155,0.021,PH
41355,2019-06-30,2019-06-30,2019-10-31,15.278,15.983,0.155,0.021,PH
41355,2019-06-30,2019-09-30,2019-11-30,16.677,17.639,0.158,0.021,PH
41355,2019-06-30,2019-09-30,2019-12-31,17.267,18.263,0.158,0.021,PH
41355,2019-06-30,2019-09-30,2020-01-31,16.417,17.364,0.158,0.021,PH
41355,2019-06-30,2019-12-31,2020-02-29,15.488,17.664,0.151,0.021,PH
41355,2019-06-30,2019-12-31,2020-03-31,10.874,12.402,0.151,0.021,PH
41355,2019-06-30,2019-12-31,2020-04-30,13.254,15.117,0.151,0.021,PH
41355,2019-06-30,2020-03-31,2020-05-31,15.369,17.644,0.141,0.021,PH
41355,2019-06-30,2020-03-31,2020-06-30,15.651,17.968,0.141,0.021,PH
41355,2019-06-30,2020-03-31,2020-07-31,15.279,17.541,0.141,0.021,PH
41355,2020-06-30,2020-06-30,2020-08-31,18.883,22.175,0.138,0.021,PH
41355,2020-06-30,2020-06-30,2020-09-30,18.546,21.780,0.138,0.021,PH
41355,2020-06-30,2020-06-30,2020-10-31,19.098,22.428,0.138,0.021,PH
