permno,adate,qdate,public_date,bm,invt_act,sale_invcap,rd_sale,staff_sale,PEG_trailing,TICKER
14702,2017-10-31,2017-10-31,2018-01-31,0.156,0.227,0.992,0.122,0.000,0.295,AMAT
14702,2017-10-31,2017-10-31,2018-02-28,0.156,0.227,0.992,0.122,0.000,0.317,AMAT
14702,2017-10-31,2018-01-31,2018-03-31,0.151,0.228,1.105,0.119,0.000,0.473,AMAT
14702,2017-10-31,2018-01-31,2018-04-30,0.151,0.228,1.105,0.119,0.000,0.423,AMAT
14702,2017-10-31,2018-01-31,2018-05-31,0.151,0.228,1.105,0.119,0.000,0.432,AMAT
14702,2017-10-31,2018-04-30,2018-06-30,0.141,0.246,1.203,0.116,0.000,0.307,AMAT
14702,2017-10-31,2018-04-30,2018-07-31,0.141,0.246,1.203,0.116,0.000,0.324,AMAT
14702,2017-10-31,2018-04-30,2018-08-31,0.141,0.246,1.203,0.116,0.000,0.286,AMAT
14702,2017-10-31,2018-07-31,2018-09-30,0.143,0.272,1.278,0.116,0.000,0.243,AMAT
14702,2017-10-31,2018-07-31,2018-10-31,0.143,0.272,1.278,0.116,0.000,0.207,AMAT
14702,2017-10-31,2018-07-31,2018-11-30,0.143,0.272,1.278,0.116,0.000,0.235,AMAT
14702,2018-10-31,2018-10-31,2018-12-31,0.215,0.346,1.420,0.117,0.000,0.209,AMAT
14702,2018-10-31,2018-10-31,2019-01-31,0.215,0.346,1.420,0.117,0.000,0.250,AMAT
14702,2018-10-31,2018-10-31,2019-02-28,0.215,0.346,1.420,0.117,0.000,0.245,AMAT
14702,2018-10-31,2019-01-31,2019-03-31,0.221,0.333,1.296,0.126,0.000,0.215,AMAT
14702,2018-10-31,2019-01-31,2019-04-30,0.221,0.333,1.296,0.126,0.000,0.238,AMAT
14702,2018-10-31,2019-01-31,2019-05-31,0.221,0.333,1.296,0.126,0.000,0.209,AMAT
14702,2018-10-31,2019-04-30,2019-06-30,0.199,0.352,1.186,0.135,0.000,0.261,AMAT
14702,2018-10-31,2019-04-30,2019-07-31,0.199,0.352,1.186,0.135,0.000,0.287,AMAT
14702,2018-10-31,2019-04-30,2019-08-31,0.199,0.352,1.186,0.135,0.000,0.279,AMAT
14702,2018-10-31,2019-07-31,2019-09-30,0.178,0.356,1.111,0.141,0.000,0.416,AMAT
14702,2018-10-31,2019-07-31,2019-10-31,0.178,0.356,1.111,0.141,0.000,0.452,AMAT
14702,2018-10-31,2019-07-31,2019-11-30,0.178,0.356,1.111,0.141,0.000,0.483,AMAT
14702,2019-10-31,2019-10-31,2019-12-31,0.165,0.340,1.130,0.141,0.000,0.665,AMAT
14702,2019-10-31,2019-10-31,2020-01-31,0.165,0.340,1.130,0.141,0.000,0.632,AMAT
14702,2019-10-31,2019-10-31,2020-02-29,0.165,0.340,1.130,0.141,0.000,0.633,AMAT
14702,2019-10-31,2020-01-31,2020-03-31,0.163,0.345,1.126,0.139,0.000,0.820,AMAT
14702,2019-10-31,2020-01-31,2020-04-30,0.163,0.345,1.126,0.139,0.000,0.889,AMAT
14702,2019-10-31,2020-01-31,2020-05-31,0.163,0.345,1.126,0.139,0.000,1.005,AMAT
14702,2019-10-31,2020-04-30,2020-06-30,0.198,0.325,1.117,0.138,0.000,2.001,AMAT
14702,2019-10-31,2020-04-30,2020-07-31,0.198,0.325,1.117,0.138,0.000,2.130,AMAT
14702,2019-10-31,2020-04-30,2020-08-31,0.198,0.325,1.117,0.138,0.000,2.040,AMAT
14702,2019-10-31,2020-07-31,2020-09-30,0.163,0.318,1.141,0.135,0.000,2.322,AMAT
14702,2019-10-31,2020-07-31,2020-10-31,0.163,0.318,1.141,0.135,0.000,2.313,AMAT
14702,2019-10-31,2020-07-31,2020-11-30,0.163,0.318,1.141,0.135,0.000,3.221,AMAT
14702,2020-10-31,2020-10-31,2020-12-31,0.196,0.292,1.060,0.130,0.000,2.402,AMAT
14702,2020-10-31,2020-10-31,2021-01-31,0.196,0.292,1.060,0.130,0.000,2.690,AMAT
14702,2020-10-31,2020-10-31,2021-02-28,0.196,0.292,1.060,0.130,0.000,3.289,AMAT
14702,2020-10-31,2021-01-31,2021-03-31,0.129,0.295,1.138,0.126,0.000,1.662,AMAT
14702,2020-10-31,2021-01-31,2021-04-30,0.129,0.295,1.138,0.126,0.000,1.651,AMAT
14702,2020-10-31,2021-01-31,2021-05-31,0.129,0.295,1.138,0.126,0.000,1.718,AMAT
14702,2020-10-31,2021-04-30,2021-06-30,0.099,0.289,1.199,0.119,0.000,1.498,AMAT
14702,2020-10-31,2021-04-30,2021-07-31,0.099,0.289,1.199,0.119,0.000,1.472,AMAT
14702,2020-10-31,2021-04-30,2021-08-31,0.099,0.289,1.199,0.119,0.000,1.422,AMAT
14702,2020-10-31,2021-07-31,2021-09-30,0.095,0.277,1.260,0.112,0.000,0.848,AMAT
14702,2020-10-31,2021-07-31,2021-10-31,0.095,0.277,1.260,0.112,0.000,0.900,AMAT
14702,2020-10-31,2021-07-31,2021-11-30,0.095,0.277,1.260,0.112,0.000,0.970,AMAT
14702,2021-10-31,2021-10-31,2021-12-31,0.101,0.268,1.286,0.108,0.000,0.830,AMAT
14702,2021-10-31,2021-10-31,2022-01-31,0.101,0.268,1.286,0.108,0.000,0.729,AMAT
14702,2021-10-31,2021-10-31,2022-02-28,0.101,0.268,1.286,0.108,0.000,0.708,AMAT
