"","Estimate","Std..Error","t.value","Pr...t..","c.nm_var..nm_var..nm_var..nm_var..nm_var..nm_var.","model_diagnostics"
"alpha",0.045451,0.014548,3.124296,0.001782,"Utilities ElecPriceCPI",3.96054663020337
"gamma",0.050503,0.02094,2.411864,0.015871,"Utilities ElecPriceCPI",0.979662029220068
"beta",0.893943,0.025512,35.040655,0,"Utilities ElecPriceCPI",2138.12520302165
"m",-0.079182,0.112864,-0.701566,0.48295,"Utilities ElecPriceCPI",9485.937447
"theta",0.281406,0.072376,3.888122,0.000101,"Utilities ElecPriceCPI",9522.662763
"w2",3.623806,0.271193,13.362442,0,"Utilities ElecPriceCPI",-4736.96872338608
"alpha39",0.045905,0.013134,3.495106,0.000474,"Utilities CarSales",0.599177270858945
"gamma39",0.052731,0.019758,2.668825,0.007612,"Utilities CarSales",0.98347408919087
"beta39",0.899157,0.018559,48.448548,0,"Utilities CarSales",2120.41543127646
"m39",0.078051,0.119921,0.650849,0.515144,"Utilities CarSales",9498.852178
"theta39",0.334121,0.128281,2.604599,0.009198,"Utilities CarSales",9535.577494
"w239",3.244167,0.143514,22.60516,0,"Utilities CarSales",-4743.42608886028
"alpha38",0.047243,0.013737,3.439098,0.000584,"Utilities InflRate",1.18885356104257
"gamma38",0.050401,0.019873,2.536105,0.011209,"Utilities InflRate",0.983632664159342
"beta38",0.899324,0.020734,43.374957,0,"Utilities InflRate",2130.83585778929
"m38",0.08301,0.120324,0.689889,0.490264,"Utilities InflRate",9499.261727
"theta38",1.168966,0.322948,3.619679,0.000295,"Utilities InflRate",9535.987043
"w238",3.847604,0.404127,9.520776,0,"Utilities InflRate",-4743.63086360253
"alpha37",0.044673,0.013733,3.252911,0.001142,"Utilities UnempRate",2.4210868360327
"gamma37",0.057312,0.021093,2.717156,0.006585,"Utilities UnempRate",0.981889679732732
"beta37",0.893029,0.023488,38.020606,0,"Utilities UnempRate",2112.1875102878
"m37",0.582229,0.18151,3.207691,0.001338,"Utilities UnempRate",9493.571693
"theta37",-0.085267,0.027688,-3.079539,0.002073,"Utilities UnempRate",9530.297009
"w237",1.001002,0.273665,3.65777,0.000254,"Utilities UnempRate",-4740.78584632104
"alpha36",0.044111,0.014087,3.13125,0.001741,"Utilities EconValue",0.348769306490874
"gamma36",0.051427,0.01898,2.709551,0.006737,"Utilities EconValue",0.983535309025064
"beta36",0.90389,0.019229,47.007287,0,"Utilities EconValue",2134.0019869494
"m36",0.075203,0.158749,0.473724,0.635697,"Utilities EconValue",9499.49523
"theta36",0.003419,0.002837,1.205078,0.228173,"Utilities EconValue",9536.220546
"w236",2.209472,0.030292,72.939772,0,"Utilities EconValue",-4743.74761504372
"alpha35",0.043053,0.019925,2.160764,0.030714,"RealEstate ElecPriceCPI",1.48318891333349
"gamma35",0.104408,0.037263,2.801903,0.00508,"RealEstate ElecPriceCPI",1.26729864597794
"beta35",0.874493,0.045072,19.402326,0,"RealEstate ElecPriceCPI",5045.84656200935
"m35",0.392453,0.202772,1.935436,0.052937,"RealEstate ElecPriceCPI",10454.263303
"theta35",0.237939,0.113233,2.101314,0.035613,"RealEstate ElecPriceCPI",10490.988619
"w235",1.862402,0.912342,2.041342,0.041217,"RealEstate ElecPriceCPI",-5221.1316513527
"alpha34",0.035856,0.015283,2.346242,0.018964,"RealEstate CarSales",0.396484362327038
"gamma34",0.104898,0.028843,3.636881,0.000276,"RealEstate CarSales",1.26590905875755
"beta34",0.886571,0.027256,32.528002,0,"RealEstate CarSales",5056.22657612387
"m34",0.510327,0.153898,3.316002,0.000913,"RealEstate CarSales",10449.954876
"theta34",0.118887,0.059244,2.006727,0.044779,"RealEstate CarSales",10486.680193
"w234",38.286165,0.087386,438.124486,0,"RealEstate CarSales",-5218.97743823275
"alpha33",0.041471,0.016623,2.494837,0.012601,"RealEstate InflRate",0.615374259487127
"gamma33",0.096934,0.030649,3.16273,0.001563,"RealEstate InflRate",1.26774503397606
"beta33",0.885431,0.034767,25.467915,0,"RealEstate InflRate",5067.3038649254
"m33",0.51995,0.057582,9.029782,0,"RealEstate InflRate",10456.117595
"theta33",1.044848,0.231005,4.523056,6e-06,"RealEstate InflRate",10492.842911
"w233",4.412858,0.544626,8.102548,0,"RealEstate InflRate",-5222.05879757248
"alpha32",0.038037,0.040609,0.936671,0.348928,"RealEstate UnempRate",0.869049732643307
"gamma32",0.105705,0.038746,2.728132,0.006369,"RealEstate UnempRate",1.26735579666997
"beta32",0.880858,0.035556,24.773807,0,"RealEstate UnempRate",5063.85447117596
"m32",0.141567,2.555475,0.055398,0.955822,"RealEstate UnempRate",10454.969661
"theta32",0.061565,0.274453,0.224319,0.822509,"RealEstate UnempRate",10491.694977
"w232",12.270007,1.076919,11.393625,0,"RealEstate UnempRate",-5221.48483040149
"alpha31",0.041203,0.017995,2.289664,0.022041,"RealEstate EconValue",0.0456046726252224
"gamma31",0.098272,0.030095,3.265378,0.001093,"RealEstate EconValue",1.26819072002319
"beta31",0.88553,0.03331,26.584768,0,"RealEstate EconValue",5065.67025769024
"m31",0.525872,0.171243,3.070917,0.002134,"RealEstate EconValue",10457.784083
"theta31",0.001265,0.002486,0.509001,0.610752,"RealEstate EconValue",10494.509399
"w231",2.973973,0.14301,20.795499,0,"RealEstate EconValue",-5222.89204165578
"alpha30",0.032173,0.017532,1.835072,0.066495,"SmallCap ElecPriceCPI",2.15303934274257
"gamma30",0.1446,0.10939,1.321876,0.186209,"SmallCap ElecPriceCPI",1.44178949650044
"beta30",0.857391,0.05239,16.365694,0,"SmallCap ElecPriceCPI",3845.71522471715
"m30",0.539219,0.804532,0.670226,0.502713,"SmallCap ElecPriceCPI",11043.932605
"theta30",0.273752,0.11361,2.409573,0.015971,"SmallCap ElecPriceCPI",11080.657921
"w230",1.075308,1.726649,0.622772,0.533434,"SmallCap ElecPriceCPI",-5515.96630263221
"alpha29",0.033037,0.012398,2.66473,0.007705,"SmallCap CarSales",0.101954077187154
"gamma29",0.140592,0.030848,4.557587,5e-06,"SmallCap CarSales",1.44402262675588
"beta29",0.864346,0.02664,32.445122,0,"SmallCap CarSales",3870.38141691719
"m29",0.712657,0.160585,4.437877,9e-06,"SmallCap CarSales",11051.919595
"theta29",-0.265595,0.211334,-1.256753,0.208843,"SmallCap CarSales",11088.644911
"w229",1.001001,0.200368,4.995807,1e-06,"SmallCap CarSales",-5519.95979732541
"alpha28",0.028611,0.011926,2.398977,0.016441,"SmallCap InflRate",0.893789548466114
"gamma28",0.141961,0.034566,4.106899,4e-05,"SmallCap InflRate",1.44328079921479
"beta28",0.870499,0.025571,34.042839,0,"SmallCap InflRate",3879.86720992319
"m28",0.711845,0.221239,3.217532,0.001293,"SmallCap InflRate",11049.671545
"theta28",-1.155985,0.404048,-2.861007,0.004223,"SmallCap InflRate",11086.396861
"w228",4.411606,0.133969,32.929977,0,"SmallCap InflRate",-5518.83577260547
"alpha27",0.03241,0.012273,2.64083,0.00827,"SmallCap UnempRate",0.0296955033041514
"gamma27",0.139757,0.029015,4.816748,1e-06,"SmallCap UnempRate",1.44411191019612
"beta27",0.866109,0.025594,33.840584,0,"SmallCap UnempRate",3869.30423219576
"m27",0.640353,0.131697,4.862331,1e-06,"SmallCap UnempRate",11052.328444
"theta27",0.010886,0.026772,0.406618,0.684288,"SmallCap UnempRate",11089.053761
"w227",2.27708,0.293281,7.764166,0,"SmallCap UnempRate",-5520.16422220526
"alpha26",0.033177,0.013259,2.502276,0.01234,"SmallCap EconValue",0.0913071620702104
"gamma26",0.14195,0.035215,4.030912,5.6e-05,"SmallCap EconValue",1.44399438613186
"beta26",0.862874,0.029237,29.513214,0,"SmallCap EconValue",3866.3450957953
"m26",0.714178,0.209526,3.408546,0.000653,"SmallCap EconValue",11051.743271
"theta26",-0.002823,0.004291,-0.657813,0.510658,"SmallCap EconValue",11088.468587
"w226",1.12459,0.077234,14.560886,0,"SmallCap EconValue",-5519.87163529246
"alpha25",0.02471,0.01375,1.797067,0.072325,"MidCap ElecPriceCPI",2.16710571885571
"gamma25",0.22049,0.037954,5.809401,0,"MidCap ElecPriceCPI",1.15947221599175
"beta25",0.827027,0.02938,28.149596,0,"MidCap ElecPriceCPI",3381.58738200093
"m25",0.376052,0.133411,2.818745,0.004821,"MidCap ElecPriceCPI",10093.985152
"theta25",0.306308,0.098736,3.102286,0.00192,"MidCap ElecPriceCPI",10130.710468
"w225",2.202947,0.09684,22.748207,0,"MidCap ElecPriceCPI",-5040.99257587858
"alpha24",0.026102,0.013063,1.998138,0.045702,"MidCap CarSales",0.0772997688098377
"gamma24",0.215575,0.029077,7.413862,0,"MidCap CarSales",1.16267898113111
"beta24",0.83296,0.024651,33.789548,0,"MidCap CarSales",3401.4510660194
"m24",0.57042,0.169172,3.371841,0.000747,"MidCap CarSales",10105.03724
"theta24",-0.271147,0.311908,-0.869316,0.384674,"MidCap CarSales",10141.762556
"w224",1.001002,0.634911,1.576602,0.114887,"MidCap CarSales",-5046.51861993198
"alpha23",0.023188,0.012719,1.823085,0.068291,"MidCap InflRate",0.179708140299287
"gamma23",0.213956,0.030587,6.995093,0,"MidCap InflRate",1.16251913612609
"beta23",0.838067,0.025895,32.363826,0,"MidCap InflRate",3403.00707590606
"m23",0.562124,0.062228,9.033315,0,"MidCap InflRate",10104.675811
"theta23",-0.581936,0.067663,-8.6005,0,"MidCap InflRate",10141.401127
"w223",5.686903,0.221315,25.696013,0,"MidCap InflRate",-5046.33790546263
"alpha22",0.023732,0.012302,1.929138,0.053714,"MidCap UnempRate",0.46922908243236
"gamma22",0.212915,0.039072,5.449245,0,"MidCap UnempRate",1.16192750567007
"beta22",0.836811,0.026268,31.85615,0,"MidCap UnempRate",3397.38772986621
"m22",0.263486,0.290615,0.906649,0.364593,"MidCap UnempRate",10102.820945
"theta22",0.048683,0.0355,1.371371,0.170259,"MidCap UnempRate",10139.546261
"w222",11.551012,0.107622,107.329313,0,"MidCap UnempRate",-5045.41047268513
"alpha21",0.025744,0.012964,1.985905,0.047044,"MidCap EconValue",0.0921647624460764
