"","Estimate","Std..Error","t.value","Pr...t..","c.nm_var..nm_var..nm_var..nm_var..nm_var..nm_var.","model_diagnostics"
"alpha",0.047121,0.013307,3.54102,0.000399,"Utilities MatPrices",0.212465101610144
"gamma",0.053086,0.019994,2.655078,0.007929,"Utilities MatPrices",0.984252028246292
"beta",0.896867,0.020655,43.420299,0,"Utilities MatPrices",2123.53452484212
"m",0.345364,0.247177,1.397235,0.162343,"Utilities MatPrices",9501.517863
"theta",-0.001744,0.001702,-1.024939,0.305392,"Utilities MatPrices",9538.243179
"w2",37.823236,0.038929,971.592656,0,"Utilities MatPrices",-4744.75893158404
"alpha47",0.044162,0.013248,3.333604,0.000857,"Utilities IndProdMfg",1.97487916185902
"gamma47",0.052311,0.018994,2.754117,0.005885,"Utilities IndProdMfg",0.982514390572312
"beta47",0.905001,0.017932,50.468974,0,"Utilities IndProdMfg",2129.21486500004
"m47",-4.823743,0.023148,-208.389394,0,"Utilities IndProdMfg",9495.756157
"theta47",0.050045,0.001397,35.829268,0,"Utilities IndProdMfg",9532.481474
"w247",68.504773,0.107213,638.959686,0,"Utilities IndProdMfg",-4741.8780786869
"alpha46",0.047344,0.013649,3.468641,0.000523,"Utilities PPI",0.0568112003706854
"gamma46",0.051598,0.020206,2.553597,0.010662,"Utilities PPI",0.984439994333813
"beta46",0.897707,0.020582,43.61555,0,"Utilities PPI",2128.95070292701
"m46",0.083434,0.128406,0.649771,0.51584,"Utilities PPI",9502.093675
"theta46",0.01906,0.078105,0.244031,0.807206,"Utilities PPI",9538.818991
"w246",2.319195,0.181911,12.74904,0,"Utilities PPI",-4745.04683746123
"alpha45",0.046203,0.014132,3.269304,0.001078,"Utilities NewOrders",0.432694372254449
"gamma45",0.056527,0.028041,2.015864,0.043814,"Utilities NewOrders",0.983960326688655
"beta45",0.894092,0.022601,39.55984,0,"Utilities NewOrders",2120.96234154894
"m45",0.117894,0.484985,0.243088,0.807938,"Utilities NewOrders",9500.624452
"theta45",-10.225177,1.79459,-5.697779,0,"Utilities NewOrders",9537.349768
"w245",1.001,2.871479,0.348601,0.727389,"Utilities NewOrders",-4744.3122260748
"alpha44",0.045655,0.012486,3.656442,0.000256,"Utilities IndProd",0.285519060852686
"gamma44",0.053687,0.019828,2.707603,0.006777,"Utilities IndProd",0.98355676331793
"beta44",0.898621,0.018042,49.80683,0,"Utilities IndProd",2115.64733159774
"m44",0.085251,0.023121,3.687125,0.000227,"Utilities IndProd",9499.186184
"theta44",0.046139,0.027711,1.665017,0.095909,"Utilities IndProd",9535.9115
"w244",75.016784,0.955617,78.500908,0,"Utilities IndProd",-4743.59309197274
"alpha43",0.047758,0.014568,3.2782,0.001045,"Utilities GSCPI",1.41026901131829
"gamma43",0.052841,0.021488,2.459091,0.013929,"Utilities GSCPI",0.983561833837016
"beta43",0.890613,0.023899,37.266356,0,"Utilities GSCPI",2119.94963031683
"m43",0.037059,0.123398,0.300317,0.763935,"Utilities GSCPI",9498.92268
"theta43",0.124111,0.096964,1.279967,0.200557,"Utilities GSCPI",9535.647997
"w243",1.001002,0.095098,10.526052,0,"Utilities GSCPI",-4743.46134020556
"alpha42",0.039853,0.020502,1.943911,0.051906,"RealEstate MatPrices",2.18349503505883
"gamma42",0.110308,0.036775,2.999566,0.002704,"RealEstate MatPrices",1.26549252740511
"beta42",0.873756,0.044837,19.487297,0,"RealEstate MatPrices",5044.44099954583
"m42",-0.604878,0.303845,-1.990746,0.046509,"RealEstate MatPrices",10448.631754
"theta42",0.007709,0.002216,3.478226,0.000505,"RealEstate MatPrices",10485.35707
"w242",1.001001,0.259602,3.855908,0.000115,"RealEstate MatPrices",-5218.3158770314
"alpha41",0.033854,0.015663,2.161434,0.030662,"RealEstate IndProdMfg",3.37771959372615
"gamma41",0.122585,0.037298,3.286599,0.001014,"RealEstate IndProdMfg",1.2640259733723
"beta41",0.864479,0.037193,23.243307,0,"RealEstate IndProdMfg",5039.86932741275
"m41",8.844494,0.09843,89.855525,0,"RealEstate IndProdMfg",10443.629467
"theta41",-0.085412,0.001621,-52.680879,0,"RealEstate IndProdMfg",10480.354783
"w241",10.193848,0.095387,106.868808,0,"RealEstate IndProdMfg",-5215.81473362748
"alpha40",0.042315,0.017706,2.38992,0.016852,"RealEstate PPI",0.0993298932158769
"gamma40",0.098248,0.030483,3.223043,0.001268,"RealEstate PPI",1.26829622799846
"beta40",0.883916,0.034725,25.454827,0,"RealEstate PPI",5070.38776831064
"m40",0.546646,0.10798,5.06249,0,"RealEstate PPI",10457.882681
"theta40",-0.028647,0.057784,-0.495764,0.620061,"RealEstate PPI",10494.607998
"w240",3.960479,0.095795,41.343109,0,"RealEstate PPI",-5222.94134070364
"alpha39",0.044437,0.016772,2.649525,0.00806,"RealEstate NewOrders",0.96700879110123
"gamma39",0.091917,0.028964,3.173505,0.001506,"RealEstate NewOrders",1.26694973508441
"beta39",0.888182,0.027905,31.828626,0,"RealEstate NewOrders",5113.43049409878
"m39",0.607821,0.266912,2.277234,0.022772,"RealEstate NewOrders",10453.222873
"theta39",-19.815288,0.178639,-110.923843,0,"RealEstate NewOrders",10489.948189
"w239",1.001,0.166503,6.011913,0,"RealEstate NewOrders",-5220.61143668028
"alpha38",0.044968,0.018021,2.495298,0.012585,"RealEstate IndProd",0.622730108737098
"gamma38",0.101986,0.033966,3.002593,0.002677,"RealEstate IndProd",1.2676930960598
"beta38",0.876426,0.041828,20.952952,0,"RealEstate IndProd",5080.23173555597
"m38",0.552611,0.28666,1.927755,0.053886,"RealEstate IndProd",10455.516785
"theta38",-0.336606,0.555764,-0.605663,0.544739,"RealEstate IndProd",10492.242102
"w238",1.753387,0.840463,2.086216,0.036959,"RealEstate IndProd",-5221.75839270342
"alpha37",0.043081,0.019521,2.206966,0.027316,"RealEstate GSCPI",1.25897095898368
"gamma37",0.104409,0.036892,2.830165,0.004652,"RealEstate GSCPI",1.26727476645674
"beta37",0.874163,0.042741,20.452686,0,"RealEstate GSCPI",5047.43211475823
"m37",0.458681,0.172197,2.663697,0.007729,"RealEstate GSCPI",10454.268929
"theta37",0.150242,0.108552,1.384061,0.16634,"RealEstate GSCPI",10490.994246
"w237",1.001005,0.136966,7.308442,0,"RealEstate GSCPI",-5221.13446469371
"alpha36",0.029826,0.012923,2.307929,0.021003,"SmallCap MatPrices",3.82532277402808
"gamma36",0.14473,0.028843,5.017909,1e-06,"SmallCap MatPrices",1.43861891566454
