"","Estimate","Std..Error","t.value","Pr...t..","c.nm_var..nm_var..nm_var..nm_var..nm_var..nm_var.","model_diagnostics"
"alpha",0.029293,0.012705,2.305573,0.021135,"Utilities CESIGL",1.27092872370345
"gamma",0.14372,0.027763,5.176665,0,"Utilities CESIGL",1.44232104100305
"beta",0.863894,0.025436,33.962861,0,"Utilities CESIGL",3859.74320141968
"m",0.623274,0.136077,4.580313,5e-06,"Utilities CESIGL",11046.388052
"theta",0.007044,0.003136,2.246019,0.024703,"Utilities CESIGL",11083.113368
"w2",2.627753,0.066816,39.328253,0,"Utilities CESIGL",-5517.19402602623
"alpha183",0.029293,0.012705,2.305573,0.021135,"Utilities CESIGL",1.27092872370345
"gamma183",0.14372,0.027763,5.176665,0,"Utilities CESIGL",1.44232104100305
"beta183",0.863894,0.025436,33.962861,0,"Utilities CESIGL",3859.74320141968
"m183",0.623274,0.136077,4.580313,5e-06,"Utilities CESIGL",11046.388052
"theta183",0.007044,0.003136,2.246019,0.024703,"Utilities CESIGL",11083.113368
"w2183",2.627753,0.066816,39.328253,0,"Utilities CESIGL",-5517.19402602623
"alpha182",0.029293,0.01299,2.255056,0.02413,"Utilities CESIEUR",1.27091929574082
"gamma182",0.14372,0.035188,4.084415,4.4e-05,"Utilities CESIEUR",1.44232104029822
"beta182",0.863894,0.02598,33.252317,0,"Utilities CESIEUR",3859.74330987502
"m182",0.623274,0.291588,2.137514,0.032556,"Utilities CESIEUR",11046.388052
"theta182",0.007044,0.003417,2.061482,0.039257,"Utilities CESIEUR",11083.113368
"w2182",2.627678,0.274066,9.587752,0,"Utilities CESIEUR",-5517.1940260319
"alpha181",0.032432,0.012462,2.602481,0.009255,"Utilities CESICNY",0.167711174688316
"gamma181",0.140141,0.029779,4.706041,3e-06,"Utilities CESICNY",1.443885240535
"beta181",0.865919,0.026354,32.857798,0,"Utilities CESICNY",3867.29556887004
"m181",0.717263,0.14934,4.802886,2e-06,"Utilities CESICNY",11051.608874
"theta181",0.003214,0.004253,0.755575,0.449904,"Utilities CESICNY",11088.33419
"w2181",1.001006,0.05877,17.032558,0,"Utilities CESICNY",-5519.80443692644
"alpha180",0.03185,0.012578,2.532175,0.011336,"Utilities China_Sust",0.301640034490846
"gamma180",0.137101,0.030939,4.431347,9e-06,"Utilities China_Sust",1.44364927194759
"beta180",0.867657,0.02605,33.307445,0,"Utilities China_Sust",3868.78653431807
"m180",0.66478,0.192517,3.453101,0.000554,"Utilities China_Sust",11050.729072
"theta180",1.179045,0.124802,9.447292,0,"Utilities China_Sust",11087.454388
"w2180",2.03202,0.099292,20.465184,0,"Utilities China_Sust",-5519.36453613214
"alpha179",0.032115,0.012116,2.650547,0.008036,"Utilities GER_Sust",0.742029163689226
"gamma179",0.140582,0.033873,4.150266,3.3e-05,"Utilities GER_Sust",1.44248291508003
"beta179",0.865315,0.02514,34.419874,0,"Utilities GER_Sust",3869.09148456215
"m179",0.65243,0.278599,2.341824,0.01919,"Utilities GER_Sust",11046.733638
"theta179",2.797321,0.134228,20.840107,0,"Utilities GER_Sust",11083.458954
"w2179",1.859686,0.211975,8.773123,0,"Utilities GER_Sust",-5517.36681909105
"alpha178",0.03248,0.012303,2.640025,0.00829,"Utilities US_Sust",0.0438725737348649
"gamma178",0.139339,0.02957,4.712105,2e-06,"Utilities US_Sust",1.44408888707554
"beta178",0.86659,0.025649,33.786943,0,"Utilities US_Sust",3870.77083450643
"m178",0.72619,0.136641,5.314594,0,"Utilities US_Sust",11052.137337
"theta178",-0.524728,0.145331,-3.610571,0.000306,"Utilities US_Sust",11088.862654
"w2178",1.001003,0.08826,11.34146,0,"Utilities US_Sust",-5520.06866873607
"alpha177",0.031952,0.012009,2.660589,0.0078,"Utilities Global_Sust",0.126341059858242
"gamma177",0.139706,0.028375,4.923542,1e-06,"Utilities Global_Sust",1.44387145550932
"beta177",0.867294,0.025273,34.317526,0,"Utilities Global_Sust",3873.5871605106
"m177",0.728628,0.112638,6.46875,0,"Utilities Global_Sust",11051.473554
"theta177",-2.63558,0.073064,-36.072181,0,"Utilities Global_Sust",11088.19887
"w2177",1.001,0.123209,8.124406,0,"Utilities Global_Sust",-5519.73677716064
"alpha176",0.031235,0.011729,2.663058,0.007743,"Utilities Saudi_GPR",0.149989300425578
"gamma176",0.13988,0.028479,4.911755,1e-06,"Utilities Saudi_GPR",1.44364196663256
"beta176",0.867693,0.02539,34.174136,0,"Utilities Saudi_GPR",3863.1161285102
"m176",0.707143,0.098536,7.176459,0,"Utilities Saudi_GPR",11050.732563
"theta176",-2.853495,0.382974,-7.450885,0,"Utilities Saudi_GPR",11087.457879
"w2176",1.16803,0.612054,1.908377,0.056342,"Utilities Saudi_GPR",-5519.3662814422
"alpha175",0.031777,0.012391,2.564559,0.010331,"Utilities GER_GPR",0.503255712652203
"gamma175",0.143293,0.028015,5.1149,0,"Utilities GER_GPR",1.44332992502785
"beta175",0.864117,0.024732,34.939792,0,"Utilities GER_GPR",3853.67365460843
"m175",0.706183,0.136315,5.180517,0,"Utilities GER_GPR",11049.524188
"theta175",-2.148987,0.225563,-9.52721,0,"Utilities GER_GPR",11086.249505
"w2175",1.806131,0.090421,19.974669,0,"Utilities GER_GPR",-5518.76209422615
"alpha174",0.030299,0.011697,2.590418,0.009586,"Utilities USA_GPR",0.775434829948189
"gamma174",0.14004,0.029101,4.812266,1e-06,"Utilities USA_GPR",1.44234560182414
"beta174",0.869522,0.023722,36.653908,0,"Utilities USA_GPR",3854.90351364067
"m174",0.718087,0.187499,3.829812,0.000128,"Utilities USA_GPR",11046.125362
"theta174",-1.550522,0.990948,-1.564686,0.117656,"Utilities USA_GPR",11082.850678
"w2174",1.172897,0.767949,1.527311,0.126684,"Utilities USA_GPR",-5517.06268089169
"alpha173",0.029538,0.012205,2.420147,0.015514,"Utilities China_GPR",1.02777799073995
"gamma173",0.145446,0.03048,4.771844,2e-06,"Utilities China_GPR",1.44072616420476
"beta173",0.864729,0.024205,35.725714,0,"Utilities China_GPR",3849.10499608448
"m173",0.706396,0.181358,3.895031,9.8e-05,"Utilities China_GPR",11040.543369
"theta173",-4.737914,0.260018,-18.221484,0,"Utilities China_GPR",11077.268685
"w2173",1.41868,0.097814,14.50386,0,"Utilities China_GPR",-5514.27168451405
"alpha172",0.03064,0.011613,2.638412,0.00833,"Utilities Global_GPR",0.563433895229834
"gamma172",0.140381,0.028859,4.864349,1e-06,"Utilities Global_GPR",1.44297898699229
"beta172",0.869206,0.024109,36.053733,0,"Utilities Global_GPR",3863.37927863344
"m172",0.718868,0.155876,4.611797,4e-06,"Utilities Global_GPR",11048.36337
"theta172",-0.029132,0.020739,-1.404725,0.160103,"Utilities Global_GPR",11085.088686
"w2172",1.301399,0.373708,3.48239,0.000497,"Utilities Global_GPR",-5518.18168498882
"alpha171",0.029042,0.013359,2.173951,0.029709,"Utilities China_EPU",2.75182274010302
"gamma171",0.147704,0.038898,3.797255,0.000146,"Utilities China_EPU",1.44058761532389
"beta171",0.85666,0.027705,30.920586,0,"Utilities China_EPU",3839.07136368649
"m171",0.214845,0.556524,0.386049,0.699461,"Utilities China_EPU",11039.846959
"theta171",0.002136,0.001583,1.349134,0.177294,"Utilities China_EPU",11076.572275
"w2171",1.001,0.343732,2.912158,0.003589,"Utilities China_EPU",-5513.92347945512
"alpha170",0.027345,0.017636,1.550485,0.121025,"Utilities US_EPU",2.92036825821141
"gamma170",0.147159,0.044387,3.315377,0.000915,"Utilities US_EPU",1.43983046677542
"beta170",0.856795,0.026906,31.843692,0,"Utilities US_EPU",3830.64294038028
"m170",-0.241569,1.707367,-0.141486,0.887486,"Utilities US_EPU",11037.942012
"theta170",0.006387,0.009677,0.660061,0.509215,"Utilities US_EPU",11074.667328
"w2170",1.943752,2.056897,0.944992,0.344663,"Utilities US_EPU",-5512.97100596523
"alpha169",0.031963,0.012071,2.647816,0.008101,"Utilities STLStress",0.0763580797886681
"gamma169",0.141238,0.028685,4.923713,1e-06,"Utilities STLStress",1.44402121957745
"beta169",0.864698,0.02536,34.096335,0,"Utilities STLStress",3865.23930950042
"m169",0.709461,0.119436,5.940116,0,"Utilities STLStress",11052.0414
"theta169",0.086186,0.161732,0.532894,0.594107,"Utilities STLStress",11088.766716
"w2169",1.001023,0.126158,7.934685,0,"Utilities STLStress",-5520.0206998914
"alpha168",0.029023,0.01181,2.457582,0.013988,"Utilities CFNAI",0.896038449010381
"gamma168",0.144878,0.030912,4.686719,3e-06,"Utilities CFNAI",1.44309558126998
"beta168",0.862849,0.025472,33.874713,0,"Utilities CFNAI",3862.53616098653
"m168",0.639164,0.121463,5.262208,0,"Utilities CFNAI",11048.993279
"theta168",-0.315373,0.092767,-3.399629,0.000675,"Utilities CFNAI",11085.718595
"w2168",1.151148,0.151085,7.619217,0,"Utilities CFNAI",-5518.49663953763
"alpha167",0.031898,0.012446,2.562992,0.010377,"Utilities BKKIndex",0.764936371842169
"gamma167",0.144967,0.031005,4.675555,3e-06,"Utilities BKKIndex",1.44340776154401
