"","Estimate","Std..Error","t.value","Pr...t..","c.nm_var..nm_var..nm_var..nm_var..nm_var..nm_var.","model_diagnostics"
"alpha",0.045587,0.013611,3.349143,0.000811,"Utilities EU_HY_OAS",1.90698215912562
"gamma",0.055707,0.019145,2.9098,0.003617,"Utilities EU_HY_OAS",0.982088789119869
"beta",0.895249,0.021313,42.004034,0,"Utilities EU_HY_OAS",2115.19918722868
"m",0.513053,0.39765,1.290213,0.196977,"Utilities EU_HY_OAS",9494.144698
"theta",-0.087238,0.077997,-1.118472,0.263365,"Utilities EU_HY_OAS",9530.870014
"w2",1.532922,3.244488,0.47247,0.636592,"Utilities EU_HY_OAS",-4741.07234918407
"alpha31",0.045571,0.013718,3.322101,0.000893,"Utilities HY_OAS",1.80103125176888
"gamma31",0.055088,0.020353,2.706566,0.006798,"Utilities HY_OAS",0.982403870409524
"beta31",0.89613,0.021292,42.088105,0,"Utilities HY_OAS",2118.13713203731
"m31",0.611971,0.242353,2.525119,0.011566,"Utilities HY_OAS",9495.2349
"theta31",-0.105121,0.041247,-2.548604,0.010816,"Utilities HY_OAS",9531.960216
"w231",1.001002,0.428078,2.338364,0.019368,"Utilities HY_OAS",-4741.61745001084
"alpha30",0.047023,0.013551,3.470041,0.00052,"Utilities T10_3YC",0.577480362668088
"gamma30",0.052109,0.020174,2.582903,0.009797,"Utilities T10_3YC",0.983819374290938
"beta30",0.896679,0.020715,43.28549,0,"Utilities T10_3YC",2135.30185261699
"m30",0.092261,0.114412,0.806392,0.420017,"Utilities T10_3YC",9500.08573
"theta30",23.927616,0.122173,195.851024,0,"Utilities T10_3YC",9536.811046
"w230",1.229559,0.058156,21.142243,0,"Utilities T10_3YC",-4744.04286493981
"alpha29",0.046954,0.014182,3.31088,0.00093,"Utilities T10_2YC",0.323033689016956
"gamma29",0.052934,0.020193,2.62137,0.008758,"Utilities T10_2YC",0.984190853536363
"beta29",0.896228,0.021221,42.232547,0,"Utilities T10_2YC",2123.97928323211
"m29",0.078984,0.138479,0.570371,0.568426,"Utilities T10_2YC",9501.155624
"theta29",-23.532631,0.287209,-81.935501,0,"Utilities T10_2YC",9537.88094
"w229",1.001001,0.151678,6.599533,0,"Utilities T10_2YC",-4744.57781200276
"alpha28",0.038162,0.01737,2.197039,0.028018,"RealEstate EU_HY_OAS",2.1269150482186
"gamma28",0.115651,0.039919,2.897115,0.003766,"RealEstate EU_HY_OAS",1.26545264850096
"beta28",0.865591,0.0431,20.083087,0,"RealEstate EU_HY_OAS",5042.97724815049
"m28",-0.180898,0.154749,-1.16898,0.242412,"RealEstate EU_HY_OAS",10448.254178
"theta28",0.13797,0.036333,3.797383,0.000146,"RealEstate EU_HY_OAS",10484.979494
"w228",14.057699,0.07421,189.431022,0,"RealEstate EU_HY_OAS",-5218.12708912737
"alpha27",0.040834,0.017128,2.384119,0.01712,"RealEstate HY_OAS",1.53652857251863
"gamma27",0.109277,0.039248,2.78425,0.005365,"RealEstate HY_OAS",1.26628399897864
"beta27",0.870691,0.040344,21.581414,0,"RealEstate HY_OAS",5072.08076384035
"m27",-0.205557,0.03939,-5.218486,0,"RealEstate HY_OAS",10451.046262
"theta27",0.144944,0.033878,4.278371,1.9e-05,"RealEstate HY_OAS",10487.771578
"w227",12.864593,0.232673,55.290432,0,"RealEstate HY_OAS",-5219.52313090225
"alpha26",0.04264,0.018465,2.309226,0.020931,"RealEstate T10_3YC",0.093408649869126
"gamma26",0.099008,0.036519,2.711158,0.006705,"RealEstate T10_3YC",1.26829654074151
"beta26",0.88301,0.035882,24.608735,0,"RealEstate T10_3YC",5064.60240723706
