"","Estimate","Std..Error","t.value","Pr...t..","c.nm_var..nm_var..nm_var..nm_var..nm_var..nm_var.","model_diagnostics"
"alpha",0.02883,0.012075,2.387513,0.016963,"Utilities EqVol",1.10530381582348
"gamma",0.141711,0.030256,4.683694,3e-06,"Utilities EqVol",1.44259791654512
"beta",0.86791,0.025806,33.632612,0,"Utilities EqVol",3867.0197033734
"m",0.847793,0.245981,3.446574,0.000568,"Utilities EqVol",11047.173127
"theta",-0.435955,0.499231,-0.873252,0.382526,"Utilities EqVol",11083.898444
"w2",3.08444,0.050152,61.501504,0,"Utilities EqVol",-5517.58656374989
"alpha47",0.03043,0.012226,2.488937,0.012813,"Utilities VVIX",2.31594556407844
"gamma47",0.145413,0.02878,5.052651,0,"Utilities VVIX",1.44129178578354
"beta47",0.856929,0.025011,34.261807,0,"Utilities VVIX",3840.64936169863
"m47",-1.079532,0.610537,-1.768166,0.077033,"Utilities VVIX",11042.281767
"theta47",0.018403,0.006096,3.018793,0.002538,"Utilities VVIX",11079.007083
"w247",1.001003,0.537683,1.861699,0.062646,"Utilities VVIX",-5515.14088334612
"alpha46",0.021999,0.0114,1.929759,0.053637,"Utilities OilVol",3.93137944682756
"gamma46",0.155135,0.027766,5.587249,0,"Utilities OilVol",1.43815485673026
"beta46",0.854466,0.023653,36.125711,0,"Utilities OilVol",3827.18011127379
"m46",-0.383353,0.152246,-2.517978,0.011803,"Utilities OilVol",11031.877906
"theta46",0.026674,0.004019,6.637042,0,"Utilities OilVol",11068.603222
"w246",1.480776,0.224807,6.586876,0,"Utilities OilVol",-5509.93895289805
"alpha45",0.028963,0.012253,2.36378,0.01809,"Utilities MOVE",3.15740135495731
"gamma45",0.15574,0.029895,5.209571,0,"Utilities MOVE",1.43907036494382
"beta45",0.851123,0.026554,32.05314,0,"Utilities MOVE",3832.66287636745
"m45",-0.1584,0.268224,-0.590552,0.554821,"Utilities MOVE",11035.171328
"theta45",0.010053,0.00307,3.274844,0.001057,"Utilities MOVE",11071.896645
"w245",1.044092,0.161638,6.459432,0,"Utilities MOVE",-5511.58566421426
"alpha44",0.031156,0.012224,2.54881,0.010809,"Utilities Skew",1.56518747491514
"gamma44",0.143549,0.030548,4.69913,3e-06,"Utilities Skew",1.44198791165557
"beta44",0.863983,0.026092,33.112677,0,"Utilities Skew",3863.61744184714
"m44",-2.086216,0.647355,-3.222679,0.00127,"Utilities Skew",11044.653631
"theta44",0.02153,0.005018,4.290291,1.8e-05,"Utilities Skew",11081.378947
"w244",1.391629,1.491449,0.933071,0.350783,"Utilities Skew",-5516.32681546673
"alpha43",0.025081,0.013007,1.928312,0.053816,"Utilities VIX",9.3155347617024
"gamma43",0.17456,0.029077,6.003286,0,"Utilities VIX",1.43433638670653
"beta43",0.785427,0.028833,27.240824,0,"Utilities VIX",3837.43977658497
"m43",-0.752714,0.161333,-4.665587,3e-06,"Utilities VIX",11018.808958
"theta43",0.071021,0.007762,9.149273,0,"Utilities VIX",11055.534274
"w243",10.411099,0.080106,129.967303,0,"Utilities VIX",-5503.40447883888
"alpha42",0.035525,0.016282,2.181859,0.02912,"RealEstate EqVol",1.89003297126325
"gamma42",0.101172,0.029132,3.47285,0.000515,"RealEstate EqVol",1.26480082533675
"beta42",0.889307,0.029757,29.88548,0,"RealEstate EqVol",5057.50600114158
"m42",0.709245,0.197904,3.58378,0.000339,"RealEstate EqVol",10446.629025
"theta42",-0.56976,0.20811,-2.737785,0.006185,"RealEstate EqVol",10483.354341
"w242",6.527144,0.390722,16.705361,0,"RealEstate EqVol",-5217.31451232359
"alpha41",0.044065,0.018863,2.336043,0.019489,"RealEstate VVIX",0.482855007451921
"gamma41",0.102051,0.034678,2.942834,0.003252,"RealEstate VVIX",1.26785013472537
"beta41",0.876686,0.038427,22.814361,0,"RealEstate VVIX",5059.56966376559
"m41",-0.324562,0.267181,-1.214761,0.224457,"RealEstate VVIX",10456.211863
"theta41",0.008935,0.003318,2.692934,0.007083,"RealEstate VVIX",10492.937179
"w241",2.048297,0.361088,5.67257,0,"RealEstate VVIX",-5222.10593137708
"alpha40",0.04302,0.016887,2.547476,0.010851,"RealEstate OilVol",3.47342641984878
"gamma40",0.118247,0.064834,1.823828,0.068178,"RealEstate OilVol",1.26292988214754
"beta40",0.855361,0.040896,20.915673,0,"RealEstate OilVol",5018.94322515796
"m40",-0.470691,2.43078,-0.193638,0.846459,"RealEstate OilVol",10438.762839
"theta40",0.024812,0.047974,0.5172,0.605016,"RealEstate OilVol",10475.488155
"w240",3.595817,0.614704,5.849673,0,"RealEstate OilVol",-5213.38141968027
"alpha39",0.040604,0.021271,1.90887,0.056279,"RealEstate MOVE",5.17314381690066
"gamma39",0.12563,0.039377,3.190411,0.001421,"RealEstate MOVE",1.25975153955744
"beta39",0.849393,0.045732,18.573402,0,"RealEstate MOVE",5008.07275472713
"m39",-0.684698,0.188055,-3.640936,0.000272,"RealEstate MOVE",10428.110102
"theta39",0.01404,0.002565,5.473921,0,"RealEstate MOVE",10464.835418
"w239",6.002617,0.057657,104.109726,0,"RealEstate MOVE",-5208.05505099203
"alpha38",0.042459,0.018594,2.28347,0.022403,"RealEstate Skew",0.0534255685767589
"gamma38",0.099074,0.031957,3.100187,0.001934,"RealEstate Skew",1.26835768024055
"beta38",0.883076,0.035903,24.596168,0,"RealEstate Skew",5068.18392621525
"m38",-0.036178,0.545974,-0.066263,0.947168,"RealEstate Skew",10458.13952
"theta38",0.004415,0.004459,0.990228,0.322063,"RealEstate Skew",10494.864836
"w238",1.001002,0.343696,2.912468,0.003586,"RealEstate Skew",-5223.0697599109
"alpha37",0.034212,0.017427,1.963193,0.049624,"RealEstate VIX",8.64614359200321
"gamma37",0.1864,0.051439,3.623699,0.00029,"RealEstate VIX",1.25840598419022
"beta37",0.768585,0.045312,16.962158,0,"RealEstate VIX",5091.9161064849
"m37",-1.029393,0.147489,-6.979453,0,"RealEstate VIX",10424.61577
"theta37",0.077754,0.007775,10.00109,0,"RealEstate VIX",10461.341086
"w237",8.455703,0.131312,64.394031,0,"RealEstate VIX",-5206.30788492166
"alpha36",0.02883,0.011904,2.421811,0.015443,"SmallCap EqVol",1.10528122288318
"gamma36",0.141711,0.026386,5.370586,0,"SmallCap EqVol",1.44259791800414
"beta36",0.86791,0.025626,33.868594,0,"SmallCap EqVol",3867.01960557476
"m36",0.84779,0.072724,11.657647,0,"SmallCap EqVol",11047.173127
"theta36",-0.435948,0.224966,-1.937839,0.052643,"SmallCap EqVol",11083.898444
"w236",3.084595,0.171248,18.012441,0,"SmallCap EqVol",-5517.5865637357
