"","Estimate","Std..Error","t.value","Pr...t..","c.nm_var..nm_var..nm_var..nm_var..nm_var..nm_var.","model_diagnostics"
"alpha",0.025584,0.026816,0.954068,0.340049,"SP500 ElecPriceCPI",85.82821943843
"gamma",0.25304,0.043881,5.766453,0,"SP500 ElecPriceCPI",0.747827053314466
"beta",0.811004,0.028317,28.639847,0,"SP500 ElecPriceCPI",1625.85606631983
"m",0.117022,0.153471,0.762505,0.445759,"SP500 ElecPriceCPI",9170.489789
"theta",0.23424,0.127036,1.843881,0.0652,"SP500 ElecPriceCPI",9207.527857
"w2",1.001001,0.42583,2.350705,0.018738,"SP500 ElecPriceCPI",-4579.24489468657
"alpha24",0.0001,0.018686,0.005356,0.995727,"SP500 CarSales",63.439266979676
"gamma24",0.263327,0.037375,7.045567,0,"SP500 CarSales",0.738106819360999
"beta24",0.835326,0.025446,32.826892,0,"SP500 CarSales",1639.92397495899
"m24",0.179501,0.235552,0.762044,0.446034,"SP500 CarSales",9137.100932
"theta24",0.399582,0.156227,2.557703,0.010537,"SP500 CarSales",9174.139
"w224",13.56691,0.158182,85.767752,0,"SP500 CarSales",-4562.55046589057
"alpha23",0.023899,0.02634,0.907303,0.364247,"SP500 InflRate",84.1794961232999
"gamma23",0.251738,0.305419,0.824237,0.409805,"SP500 InflRate",0.749064782537897
"beta23",0.815198,0.103677,7.862889,0,"SP500 InflRate",1628.30026234705
"m23",0.236392,2.032595,0.116301,0.907414,"SP500 InflRate",9175.037759
"theta23",0.585263,6.19613,0.094456,0.924747,"SP500 InflRate",9212.075827
"w223",1.001002,9.877608,0.101341,0.91928,"SP500 InflRate",-4581.51887962972
"alpha22",0.0001,0.015873,0.006313,0.994963,"SP500 UnempRate",65.3372333521346
"gamma22",0.27894,0.034202,8.155772,0,"SP500 UnempRate",0.737941514938709
"beta22",0.821925,0.021876,37.57225,0,"SP500 UnempRate",1633.86356625488
"m22",-0.61553,0.169341,-3.634867,0.000278,"SP500 UnempRate",9136.679091
"theta22",0.136638,0.040276,3.392576,0.000692,"SP500 UnempRate",9173.717158
"w222",14.064204,0.358108,39.273603,0,"SP500 UnempRate",-4562.33954526427
