"","Estimate","Std..Error","t.value","Pr...t..","c.nm_var..nm_var..nm_var..nm_var..nm_var..nm_var.","model_diagnostics"
"alpha",0.025584,0.02764,0.925606,0.354651,"SP500 ElecPriceCPI",0.977879980883045
"gamma",0.25304,0.045246,5.59251,0,"SP500 ElecPriceCPI",0.747827035936143
"beta",0.811004,0.029381,27.603235,0,"SP500 ElecPriceCPI",1625.85510003611
"m",0.117022,0.255347,0.458286,0.646747,"SP500 ElecPriceCPI",9170.489728
"theta",0.23424,0.147547,1.587562,0.112386,"SP500 ElecPriceCPI",9207.527795
"w2",1.001001,1.75338,0.570898,0.568069,"SP500 ElecPriceCPI",-4579.24486378209
"alpha24",0.0001,0.018794,0.005325,0.995751,"SP500 CarSales",1.7202053439549
"gamma24",0.263327,0.036028,7.308999,0,"SP500 CarSales",0.738106802501763
"beta24",0.835326,0.026106,31.997518,0,"SP500 CarSales",1639.92285249924
"m24",0.179501,0.178424,1.006033,0.3144,"SP500 CarSales",9137.100859
"theta24",0.399573,0.136803,2.920796,0.003491,"SP500 CarSales",9174.138927
"w224",13.567424,0.424799,31.938455,0,"SP500 CarSales",-4562.55042963097
"alpha23",0.023899,0.027393,0.872449,0.382964,"SP500 InflRate",0.108973932001119
"gamma23",0.251736,0.045501,5.532476,0,"SP500 InflRate",0.749064737877691
"beta23",0.815199,0.028737,28.367366,0,"SP500 InflRate",1628.29930466731
"m23",0.236391,0.252553,0.936005,0.349271,"SP500 InflRate",9175.037693
"theta23",0.585046,3.039337,0.192491,0.847357,"SP500 InflRate",9212.075761
"w223",1.001002,3.255282,0.307501,0.758462,"SP500 InflRate",-4581.5188466533
"alpha22",0.0001,0.015773,0.006349,0.994934,"SP500 UnempRate",3.05756846366959
"gamma22",0.278941,0.038682,7.211088,0,"SP500 UnempRate",0.737941487621735
"beta22",0.821925,0.022578,36.403482,0,"SP500 UnempRate",1633.86338573839
"m22",-0.615524,0.296114,-2.078672,0.037648,"SP500 UnempRate",9136.679011
"theta22",0.136638,0.044186,3.092328,0.001986,"SP500 UnempRate",9173.717079
"w222",14.062543,0.268508,52.372936,0,"SP500 UnempRate",-4562.3395053412
"alpha21",0.021857,0.025699,0.850494,0.39505,"SP500 EconValue",0.0935889975941606
"gamma21",0.257912,0.045966,5.610931,0,"SP500 EconValue",0.748876697817017
"beta21",0.814029,0.028946,28.122149,0,"SP500 EconValue",1632.06887425818
"m21",0.260266,0.222164,1.171502,0.241397,"SP500 EconValue",9174.345137
"theta21",-0.003496,0.005078,-0.688373,0.491218,"SP500 EconValue",9211.383205
"w221",1.371109,0.956899,1.432867,0.151896,"SP500 EconValue",-4581.17256859247
"alpha20",0.004005,0.009809,0.40833,0.683031,"Canada ElecPriceCPI",0.0892106575976201
"gamma20",0.188754,0.034746,5.432351,0,"Canada ElecPriceCPI",0.354177860479326
"beta20",0.877216,0.022843,38.401953,0,"Canada ElecPriceCPI",1845.86311253436
"m20",-0.358883,0.256261,-1.40046,0.161376,"Canada ElecPriceCPI",7779.668275
"theta20",0.052713,0.12412,0.424699,0.671056,"Canada ElecPriceCPI",7816.706343
"w220",6.662299,27.605728,0.241338,0.809294,"Canada ElecPriceCPI",-3883.83413748548
"alpha19",0.001921,0.008917,0.215404,0.829452,"Canada CarSales",0.296308993118855
"gamma19",0.191318,0.029676,6.446824,0,"Canada CarSales",0.35224388276668
"beta19",0.8777,0.017261,50.848349,0,"Canada CarSales",1808.21850788407
"m19",-0.35045,0.235217,-1.4899,0.13625,"Canada CarSales",7772.838785
"theta19",0.138019,0.073425,1.879736,0.060144,"Canada CarSales",7809.876853
"w219",18.046105,0.106511,169.42987,0,"Canada CarSales",-3880.41939260611
"alpha18",0.002338,0.009488,0.24641,0.805365,"Canada InflRate",0.433209148242126
"gamma18",0.19189,0.033133,5.791475,0,"Canada InflRate",0.353823506809952
"beta18",0.877152,0.020918,41.932627,0,"Canada InflRate",1852.03414190503
"m18",-0.339325,0.232168,-1.461552,0.143864,"Canada InflRate",7778.455891
"theta18",-1.033053,0.773788,-1.33506,0.181857,"Canada InflRate",7815.493959
"w218",2.745248,3.974604,0.690697,0.489756,"Canada InflRate",-3883.22794564684
"alpha17",0.0001,0.00951,0.01056,0.991574,"Canada UnempRate",2.22283798194457
"gamma17",0.196707,0.030154,6.523354,0,"Canada UnempRate",0.349280980662136
"beta17",0.871073,0.019076,45.663102,0,"Canada UnempRate",1832.83547391543
"m17",-1.063096,0.272023,-3.908108,0.000093,"Canada UnempRate",7762.064334
"theta17",0.111983,0.03442,3.253407,0.00114,"Canada UnempRate",7799.102402
"w217",5.981935,0.569657,10.500932,0,"Canada UnempRate",-3875.03216695295
"alpha16",0.005165,0.009817,0.526068,0.598841,"Canada EconValue",0.137857518391959
"gamma16",0.18643,0.035119,5.308504,0,"Canada EconValue",0.353725448162425
"beta16",0.879614,0.022359,39.341272,0,"Canada EconValue",1841.03093812857
"m16",-0.318803,0.287891,-1.107373,0.268133,"Canada EconValue",7778.343254
"theta16",0.004195,0.003584,1.170695,0.241722,"Canada EconValue",7815.381322
"w216",1.001001,0.856287,1.169002,0.242403,"Canada EconValue",-3883.17162695948
"alpha15",0.021903,0.026258,0.834154,0.404194,"SP1500 ElecPriceCPI",1.00326777266974
"gamma15",0.253767,0.047354,5.358956,0,"SP1500 ElecPriceCPI",0.768535265669082
"beta15",0.813902,0.051985,15.656365,0,"SP1500 ElecPriceCPI",1700.61554925769
"m15",0.120387,0.28331,0.424932,0.670886,"SP1500 ElecPriceCPI",9244.425513
"theta15",0.236,0.424416,0.556058,0.578171,"SP1500 ElecPriceCPI",9281.463581
"w215",1.001001,23.48382,0.042625,0.966,"SP1500 ElecPriceCPI",-4616.21275648965
"alpha14",0.0001,0.018348,0.005454,0.995648,"SP1500 CarSales",1.4905278857357
"gamma14",0.258914,0.036469,7.099574,0,"SP1500 CarSales",0.760659737873095
"beta14",0.837081,0.026165,31.992535,0,"SP1500 CarSales",1713.37096776397
"m14",0.184365,0.176987,1.04169,0.297555,"SP1500 CarSales",9217.533091
"theta14",0.361095,0.134427,2.686189,0.007227,"SP1500 CarSales",9254.571159
"w214",14.200918,0.272372,52.137967,0,"SP1500 CarSales",-4602.76654571984
"alpha13",0.020159,0.023948,0.841773,0.399915,"SP1500 InflRate",0.0803770430426253
"gamma13",0.253842,0.043816,5.793323,0,"SP1500 InflRate",0.769718731811735
