"","Estimate","Std..Error","t.value","Pr...t..","c.nm_var..nm_var..nm_var..nm_var..nm_var..nm_var.","model_diagnostics"
"alpha",0.029442,0.028519,1.032339,0.301913,"SP500 MatPrices",97.1597434702434
"gamma",0.251981,0.044451,5.668714,0,"SP500 MatPrices",0.745122973046563
"beta",0.806799,0.029182,27.646672,0,"SP500 MatPrices",1625.03354047641
"m",-0.900309,0.078085,-11.529889,0,"SP500 MatPrices",9160.791931
"theta",0.007853,0.001437,5.466272,0,"SP500 MatPrices",9197.829999
"w2",1.001001,0.239502,4.179503,0.000029,"SP500 MatPrices",-4574.39596549221
"alpha29",0.0001,0.017966,0.00557,0.995556,"SP500 IndProdMfg",70.063963808219
"gamma29",0.293078,0.036582,8.011466,0,"SP500 IndProdMfg",0.732723384059831
"beta29",0.811713,0.020428,39.735418,0,"SP500 IndProdMfg",1638.9717476406
"m29",10.497243,0.063102,166.352292,0,"SP500 IndProdMfg",9118.988012
"theta29",-0.104976,0.001849,-56.784825,0,"SP500 IndProdMfg",9156.02608
"w229",12.931322,0.032585,396.843768,0,"SP500 IndProdMfg",-4553.4940058984
"alpha28",0.022809,0.027771,0.821341,0.411452,"SP500 PPI",88.284961981068
"gamma28",0.254344,0.112409,2.262675,0.023656,"SP500 PPI",0.748805267406954
"beta28",0.816336,0.03115,26.206417,0,"SP500 PPI",1630.90437804055
"m28",0.272515,1.023461,0.266268,0.790033,"SP500 PPI",9174.528156
"theta28",-0.043446,0.076361,-0.568961,0.569382,"SP500 PPI",9211.566224
"w228",2.74177,4.354463,0.629646,0.528926,"SP500 PPI",-4581.26407789515
"alpha27",0.02036,0.024782,0.821585,0.411313,"SP500 NewOrders",88.0486224138012
"gamma27",0.255252,0.044592,5.724172,0,"SP500 NewOrders",0.748632816369838
"beta27",0.817896,0.027814,29.405813,0,"SP500 NewOrders",1632.10055038437
"m27",0.276983,0.220543,1.255912,0.209148,"SP500 NewOrders",9173.497482
"theta27",-11.522228,0.136809,-84.221523,0,"SP500 NewOrders",9210.535549
"w227",1.08099,0.334601,3.230688,0.001235,"SP500 NewOrders",-4580.74874075779
"alpha26",0.0001,0.01844,0.00544,0.99566,"SP500 IndProd",78.8970496288838
"gamma26",0.282557,0.04152,6.805274,0,"SP500 IndProd",0.741644461910532
"beta26",0.819744,0.023016,35.616359,0,"SP500 IndProd",1639.97449801135
"m26",0.247496,0.221889,1.115407,0.264676,"SP500 IndProd",9149.088307
"theta26",-0.73915,0.318104,-2.323613,0.020146,"SP500 IndProd",9186.126375
"w226",1.39209,0.731405,1.903311,0.057,"SP500 IndProd",-4568.54415345761
"alpha25",0.0001,0.022721,0.00441,0.996481,"SP500 GSCPI",68.7924044294103
"gamma25",0.282066,0.042323,6.664591,0,"SP500 GSCPI",0.740001590671424
"beta25",0.814569,0.024161,33.714559,0,"SP500 GSCPI",1623.53358434007
"m25",0.064699,0.114109,0.56699,0.570721,"SP500 GSCPI",9143.151579
"theta25",0.291948,0.071204,4.100141,0.000041,"SP500 GSCPI",9180.189647
"w225",2.635459,0.07543,34.938992,0,"SP500 GSCPI",-4565.5757896281
"alpha24",0.0001,0.01052,0.009551,0.992379,"Canada MatPrices",120.74068301646
"gamma24",0.191189,0.031293,6.109629,0,"Canada MatPrices",0.349445128968832
"beta24",0.87746,0.022499,39.000298,0,"Canada MatPrices",1838.29294846234
"m24",-1.801291,0.417134,-4.318261,0.000016,"Canada MatPrices",7762.734665
"theta24",0.009947,0.003271,3.040795,0.00236,"Canada MatPrices",7799.772733
"w224",1.631453,0.809917,2.014345,0.043973,"Canada MatPrices",-3875.36733252354
