"","Estimate","Std..Error","t.value","Pr...t..","c.nm_var..nm_var..nm_var..nm_var..nm_var..nm_var.","model_diagnostics"
"alpha",0.029442,0.029301,1.004793,0.314997,"SP500 MatPrices",1.64365428636066
"gamma",0.251982,0.046565,5.411345,0,"SP500 MatPrices",0.745122953491718
"beta",0.806799,0.029656,27.20535,0,"SP500 MatPrices",1625.03299076586
"m",-0.900304,0.843212,-1.067707,0.285653,"SP500 MatPrices",9160.791866
"theta",0.007853,0.004768,1.647236,0.09951,"SP500 MatPrices",9197.829934
"w2",1.001001,8.666168,0.115507,0.908043,"SP500 MatPrices",-4574.39593319797
"alpha29",0.0001,0.017889,0.005591,0.995539,"SP500 IndProdMfg",3.57307815580241
"gamma29",0.293078,0.036268,8.080861,0,"SP500 IndProdMfg",0.732723380959995
"beta29",0.811713,0.020597,39.409617,0,"SP500 IndProdMfg",1638.97094961851
"m29",10.496765,1.228746,8.542663,0,"SP500 IndProdMfg",9118.987922
"theta29",-0.104971,0.012651,-8.297727,0,"SP500 IndProdMfg",9156.02599
"w229",12.932879,0.60696,21.307621,0,"SP500 IndProdMfg",-4553.49396124777
"alpha28",0.022809,0.030077,0.758352,0.44824,"SP500 PPI",0.143340754303112
"gamma28",0.254341,0.044847,5.671293,0,"SP500 PPI",0.748805259678997
"beta28",0.816337,0.043884,18.602218,0,"SP500 PPI",1630.90093658339
"m28",0.27249,0.239372,1.138351,0.254974,"SP500 PPI",9174.528088
"theta28",-0.043444,0.108858,-0.399084,0.689831,"SP500 PPI",9211.566156
"w228",2.741904,31.547131,0.086915,0.930739,"SP500 PPI",-4581.26404399268
"alpha27",0.02036,0.024446,0.832874,0.404916,"SP500 NewOrders",0.248617331220039
"gamma27",0.255253,0.044145,5.782132,0,"SP500 NewOrders",0.748632809424661
"beta27",0.817896,0.02746,29.785392,0,"SP500 NewOrders",1632.10016710627
"m27",0.27699,0.21512,1.287606,0.197883,"SP500 NewOrders",9173.497414
"theta27",-11.52368,2.410497,-4.780625,0.000002,"SP500 NewOrders",9210.535482
"w227",1.08104,0.257237,4.202503,0.000026,"SP500 NewOrders",-4580.74870688696
