"","Estimate","Std..Error","t.value","Pr...t..","c.nm_var..nm_var..nm_var..nm_var..nm_var..nm_var.","model_diagnostics"
"alpha",0.045451,0.014389,3.158746,0.001584,"Utilities ElecPriceCPI",85.6891477863187
"gamma",0.050503,0.020278,2.490539,0.012755,"Utilities ElecPriceCPI",0.979662025727421
"beta",0.893943,0.025432,35.150108,0,"Utilities ElecPriceCPI",2138.12484128132
"m",-0.079181,0.105549,-0.750177,0.453148,"Utilities ElecPriceCPI",9485.937434
"theta",0.281405,0.097235,2.894055,0.003803,"Utilities ElecPriceCPI",9522.66275
"w2",3.623847,0.304049,11.918611,0,"Utilities ElecPriceCPI",-4736.9687168661
"alpha39",0.045905,0.012808,3.584099,0.000338,"Utilities CarSales",88.2261228358595
"gamma39",0.052731,0.019618,2.687924,0.00719,"Utilities CarSales",0.983474085341748
"beta39",0.899157,0.018416,48.825247,0,"Utilities CarSales",2120.41560396762
"m39",0.07805,0.095577,0.816614,0.414149,"Utilities CarSales",9498.852163
"theta39",0.334131,0.161624,2.06733,0.038703,"Utilities CarSales",9535.577479
"w239",3.244067,0.280394,11.569677,0,"Utilities CarSales",-4743.42608159406
"alpha38",0.047243,0.013309,3.549781,0.000386,"Utilities InflRate",82.0194450032188
"gamma38",0.050401,0.01991,2.531509,0.011357,"Utilities InflRate",0.983632661687676
"beta38",0.899324,0.020774,43.29128,0,"Utilities InflRate",2130.83469252602
"m38",0.083013,0.117126,0.708746,0.478482,"Utilities InflRate",9499.261714
"theta38",1.168961,0.216471,5.400093,0,"Utilities InflRate",9535.98703
"w238",3.847698,0.136174,28.255819,0,"Utilities InflRate",-4743.63085711048
"alpha37",0.044675,0.014833,3.011837,0.002597,"Utilities UnempRate",98.5934922834666
"gamma37",0.057311,0.020929,2.738392,0.006174,"Utilities UnempRate",0.98188968679789
"beta37",0.893028,0.023399,38.164963,0,"Utilities UnempRate",2112.18857075321
"m37",0.582236,0.308625,1.886547,0.059221,"Utilities UnempRate",9493.571677
"theta37",-0.085268,0.041974,-2.031481,0.042206,"Utilities UnempRate",9530.296994
"w237",1.001002,0.117947,8.486869,0,"Utilities UnempRate",-4740.78583870996
"alpha36",0.044111,0.013951,3.161742,0.001568,"Utilities EconValue",90.6094239877867
"gamma36",0.051427,0.01893,2.716739,0.006593,"Utilities EconValue",0.983535304652322
"beta36",0.90389,0.019184,47.116512,0,"Utilities EconValue",2134.00155632277
"m36",0.075203,0.137616,0.546473,0.584741,"Utilities EconValue",9499.495216
"theta36",0.003419,0.002818,1.213328,0.225004,"Utilities EconValue",9536.220532
"w236",2.209517,0.175464,12.59243,0,"Utilities EconValue",-4743.74760778445
"alpha35",0.043053,0.028462,1.512625,0.130375,"RealEstate ElecPriceCPI",217.706482875079
"gamma35",0.104408,0.061546,1.696412,0.089808,"RealEstate ElecPriceCPI",1.26729862608639
"beta35",0.874493,0.046158,18.945556,0,"RealEstate ElecPriceCPI",5045.84373729333
"m35",0.392452,1.136752,0.34524,0.729914,"RealEstate ElecPriceCPI",10454.263236
"theta35",0.237939,0.207405,1.14722,0.251291,"RealEstate ElecPriceCPI",10490.988552
"w235",1.862403,3.184111,0.584905,0.558611,"RealEstate ElecPriceCPI",-5221.13161780198
"alpha34",0.035873,0.017584,2.04009,0.041341,"RealEstate CarSales",211.822277554175
"gamma34",0.104866,0.038109,2.751731,0.005928,"RealEstate CarSales",1.26590994568702
"beta34",0.886566,0.027546,32.185352,0,"RealEstate CarSales",5056.21586185844
"m34",0.510185,0.569073,0.896519,0.369975,"RealEstate CarSales",10449.956332
"theta34",0.120167,0.057634,2.084999,0.037069,"RealEstate CarSales",10486.681648
"w234",35.987369,1.518413,23.700652,0,"RealEstate CarSales",-5218.97816575814
"alpha33",0.041471,0.02052,2.020951,0.043285,"RealEstate InflRate",210.265477077942
"gamma33",0.096934,0.034614,2.800412,0.005104,"RealEstate InflRate",1.26774501370387
"beta33",0.885431,0.037558,23.575223,0,"RealEstate InflRate",5067.30087093369
"m33",0.519949,0.314664,1.652393,0.098454,"RealEstate InflRate",10456.117528
"theta33",1.044828,0.337239,3.098181,0.001947,"RealEstate InflRate",10492.842844
