"","Estimate","Std..Error","t.value","Pr...t..","c.nm_var..nm_var..nm_var..nm_var..nm_var..nm_var.","model_diagnostics"
"alpha",0.029293,0.012729,2.301189,0.021381,"Utilities CESIGL",78.3255340813932
"gamma",0.14372,0.025381,5.662427,0,"Utilities CESIGL",1.44232103948902
"beta",0.863894,0.025261,34.199148,0,"Utilities CESIGL",3859.74347007323
"m",0.623274,0.090408,6.89402,0,"Utilities CESIGL",11046.388052
"theta",0.007044,0.003084,2.284208,0.022359,"Utilities CESIGL",11083.113368
"w2",2.627618,0.340142,7.725066,0,"Utilities CESIGL",-5517.19402603719
"alpha183",0.029293,0.012729,2.301189,0.021381,"Utilities CESIGL",78.3255340813932
"gamma183",0.14372,0.025381,5.662427,0,"Utilities CESIGL",1.44232103948902
"beta183",0.863894,0.025261,34.199148,0,"Utilities CESIGL",3859.74347007323
"m183",0.623274,0.090408,6.89402,0,"Utilities CESIGL",11046.388052
"theta183",0.007044,0.003084,2.284208,0.022359,"Utilities CESIGL",11083.113368
"w2183",2.627618,0.340142,7.725066,0,"Utilities CESIGL",-5517.19402603719
"alpha182",0.029293,0.013166,2.224888,0.026089,"Utilities CESIEUR",78.3255323922716
"gamma182",0.14372,0.044391,3.237568,0.001206,"Utilities CESIEUR",1.44232103967286
"beta182",0.863894,0.029636,29.150588,0,"Utilities CESIEUR",3859.74342913329
"m182",0.623274,0.297268,2.096676,0.036022,"Utilities CESIEUR",11046.388052
"theta182",0.007044,0.003461,2.03516,0.041835,"Utilities CESIEUR",11083.113368
"w2182",2.627636,0.897355,2.9282,0.003409,"Utilities CESIEUR",-5517.19402603552
"alpha181",0.032432,0.012643,2.565117,0.010314,"Utilities CESICNY",86.4146164817071
"gamma181",0.140141,0.031471,4.45305,0.000008,"Utilities CESICNY",1.4438852423121
"beta181",0.865919,0.027315,31.70109,0,"Utilities CESICNY",3867.29490612834
"m181",0.717253,0.1331,5.388816,0,"Utilities CESICNY",11051.608874
"theta181",0.003214,0.004207,0.7639,0.444927,"Utilities CESICNY",11088.33419
"w2181",1.001006,0.166093,6.026777,0,"Utilities CESICNY",-5519.80443688126
