"","Estimate","Std..Error","t.value","Pr...t..","c.nm_var..nm_var..nm_var..nm_var..nm_var..nm_var.","model_diagnostics"
"alpha",0.015569,0.022363,0.696194,0.486307,"SP500 Saudi_GPR",0.576414040509829
"gamma",0.264228,0.0433,6.102189,0,"SP500 Saudi_GPR",0.746116423541183
"beta",0.817944,0.025589,31.964364,0,"SP500 Saudi_GPR",1621.16639657957
"m",0.253432,0.206688,1.226163,0.220138,"SP500 Saudi_GPR",9164.864358
"theta",-6.717785,0.878025,-7.651022,0,"SP500 Saudi_GPR",9201.902426
"w2",1.426826,0.192576,7.409168,0,"SP500 Saudi_GPR",-4576.43217913546
"alpha59",0.014506,0.022668,0.639914,0.522228,"SP500 USA_GPR",1.16140889132198
"gamma59",0.262398,0.043502,6.031853,0,"SP500 USA_GPR",0.744907488790998
"beta59",0.819172,0.026515,30.894183,0,"SP500 USA_GPR",1623.44540280888
"m59",0.237728,0.205476,1.156966,0.247286,"SP500 USA_GPR",9160.116715
"theta59",-2.245352,1.09779,-2.045337,0.040822,"SP500 USA_GPR",9197.154783
"w259",1.437368,0.26771,5.369131,0,"SP500 USA_GPR",-4574.05835747235
"alpha58",0.017339,0.024336,0.712476,0.47617,"SP500 Global_GPR",1.07334719672562
"gamma58",0.26113,0.043895,5.948979,0,"SP500 Global_GPR",0.745609592892365
"beta58",0.817547,0.027463,29.76883,0,"SP500 Global_GPR",1630.93760278534
"m58",0.245842,0.209965,1.170874,0.24165,"SP500 Global_GPR",9162.717843
"theta58",-0.043284,0.019056,-2.271432,0.023121,"SP500 Global_GPR",9199.75591
"w258",1.780321,0.449015,3.964945,0.000073,"SP500 Global_GPR",-4575.35892125679
"alpha57",0.0001,0.034916,0.002865,0.997714,"SP500 US_EPU",3.91513030082874
"gamma57",0.298022,0.055205,5.398438,0,"SP500 US_EPU",0.7287828549542
"beta57",0.807242,0.023467,34.398449,0,"SP500 US_EPU",1636.44343553123
"m57",-1.049042,0.471862,-2.223196,0.026203,"SP500 US_EPU",9105.065786
"theta57",0.008818,0.00449,1.963801,0.049553,"SP500 US_EPU",9142.103854
"w257",6.489674,28.148575,0.230551,0.817664,"SP500 US_EPU",-4546.53289319495
"alpha56",0.0001,0.020256,0.004941,0.996058,"SP500 St_Louis_Stress_Index",2.5919047370147
"gamma56",0.29913,0.039977,7.482605,0,"SP500 St_Louis_Stress_Index",0.739165613759067
"beta56",0.805118,0.020919,38.486668,0,"SP500 St_Louis_Stress_Index",1648.21350086742
"m56",0.311929,0.170858,1.825668,0.0679,"SP500 St_Louis_Stress_Index",9141.149204
"theta56",0.68278,0.230832,2.957907,0.003097,"SP500 St_Louis_Stress_Index",9178.187272
"w256",3.781786,1.05551,3.582899,0.00034,"SP500 St_Louis_Stress_Index",-4564.57460194305
"alpha55",0.0001,0.015691,0.006377,0.994912,"SP500 CFNAI",2.80689886892001
"gamma55",0.293374,0.037019,7.924863,0,"SP500 CFNAI",0.735693459482703
"beta55",0.812852,0.019496,41.69307,0,"SP500 CFNAI",1648.32508889796
"m55",0.113496,0.165352,0.686388,0.492468,"SP500 CFNAI",9129.120628
"theta55",-0.724559,0.211495,-3.42589,0.000613,"SP500 CFNAI",9166.158696
"w255",1.642606,0.492414,3.33582,0.00085,"SP500 CFNAI",-4558.5603138444
"alpha54",0.009897,0.022142,0.446994,0.65488,"SP500 BKK_Leading_Index",1.48250456166876
"gamma54",0.268173,0.043732,6.132141,0,"SP500 BKK_Leading_Index",0.744905879700586
"beta54",0.817598,0.025679,31.839643,0,"SP500 BKK_Leading_Index",1626.41826589951
"m54",0.141425,0.193117,0.73233,0.463967,"SP500 BKK_Leading_Index",9161.189488
"theta54",-0.227216,0.105141,-2.161059,0.030691,"SP500 BKK_Leading_Index",9198.227556
"w254",1.453644,1.399431,1.038739,0.298926,"SP500 BKK_Leading_Index",-4574.59474421619
"alpha53",0.0001,0.021551,0.004643,0.996295,"SP500 UMich",3.48413937690533
"gamma53",0.300715,0.039219,7.66757,0,"SP500 UMich",0.736653603241035
"beta53",0.802389,0.02081,38.558256,0,"SP500 UMich",1633.47338186319
"m53",0.175681,0.161206,1.089794,0.275804,"SP500 UMich",9132.55487
"theta53",-0.347068,0.10182,-3.408634,0.000653,"SP500 UMich",9169.592938
"w253",1.464927,0.18407,7.958519,0,"SP500 UMich",-4560.27743505884
"alpha52",0.0001,0.024443,0.004095,0.996732,"SP500 Credit",2.40028372096436
"gamma52",0.292461,0.042048,6.955406,0,"SP500 Credit",0.741642989471861
"beta52",0.809038,0.023878,33.882768,0,"SP500 Credit",1628.57289238533
"m52",0.225707,0.163377,1.381507,0.167123,"SP500 Credit",9150.525557
"theta52",1.498878,0.609512,2.459144,0.013927,"SP500 Credit",9187.563625
"w252",6.171108,0.984773,6.266527,0,"SP500 Credit",-4569.26277874764
"alpha51",0.008469,0.029528,0.286816,0.774254,"SP500 Risk",2.70097035261614
"gamma51",0.284402,0.041254,6.893889,0,"SP500 Risk",0.742099109353137
"beta51",0.799893,0.035157,22.751893,0,"SP500 Risk",1620.02236260994
"m51",0.815836,0.206165,3.9572,0.000076,"SP500 Risk",9151.412066
"theta51",1.405903,0.320476,4.386927,0.000011,"SP500 Risk",9188.450134
"w251",6.944308,9.562801,0.726179,0.467729,"SP500 Risk",-4569.70603311681
"alpha50",0.0001,0.031432,0.003183,0.99746,"SP500 Leverage",4.34043535436199
"gamma50",0.287342,0.037715,7.618831,0,"SP500 Leverage",0.73535657643571
"beta50",0.803785,0.038918,20.653296,0,"SP500 Leverage",1613.96020064257
"m50",0.232268,0.155831,1.490519,0.136088,"SP500 Leverage",9127.015672
"theta50",1.107913,0.370205,2.9927,0.002765,"SP500 Leverage",9164.05374
"w250",4.610404,10.720511,0.430055,0.667156,"SP500 Leverage",-4557.5078359201
"alpha49",0.0001,0.032588,0.003071,0.99755,"SP500 Overall_NFCI",3.78879112233383
"gamma49",0.300422,0.039005,7.70207,0,"SP500 Overall_NFCI",0.737083760331855
"beta49",0.796966,0.02859,27.875727,0,"SP500 Overall_NFCI",1624.9434893187
"m49",0.944641,0.242413,3.896821,0.000097,"SP500 Overall_NFCI",9134.412469
"theta49",1.808533,0.435263,4.155029,0.000033,"SP500 Overall_NFCI",9171.450537
"w249",6.682998,1.112295,6.008297,0,"SP500 Overall_NFCI",-4561.20623431731
"alpha48",0.004113,0.009412,0.437006,0.662107,"Canada Saudi_GPR",0.126277671193635
"gamma48",0.186693,0.031918,5.849113,0,"Canada Saudi_GPR",0.353583920041618
"beta48",0.878884,0.021113,41.627454,0,"Canada Saudi_GPR",1850.48881076882
"m48",-0.32874,0.256595,-1.281165,0.200136,"Canada Saudi_GPR",7777.624195
"theta48",-2.679844,2.560114,-1.046768,0.295207,"Canada Saudi_GPR",7814.662263
"w248",1.704888,0.474961,3.589536,0.000331,"Canada Saudi_GPR",-3882.81209772349
"alpha47",0.004156,0.009413,0.441532,0.658828,"Canada USA_GPR",0.112113353411673
"gamma47",0.187184,0.032236,5.806594,0,"Canada USA_GPR",0.353895312904753
"beta47",0.878579,0.021062,41.713859,0,"Canada USA_GPR",1844.01880940978
"m47",-0.323217,0.254268,-1.271167,0.203669,"Canada USA_GPR",7778.551321
"theta47",-0.668728,1.02006,-0.655577,0.512096,"Canada USA_GPR",7815.589389
"w247",1.401792,1.443274,0.971258,0.33142,"Canada USA_GPR",-3883.27566058685
"alpha46",0.002568,0.008981,0.285995,0.774882,"Canada Global_GPR",0.168896799845938
"gamma46",0.182268,0.030739,5.929533,0,"Canada Global_GPR",0.352828918273099
"beta46",0.883629,0.020916,42.246133,0,"Canada Global_GPR",1831.31567863191
"m46",-0.337666,0.244177,-1.382876,0.166703,"Canada Global_GPR",7774.685651
"theta46",-0.002659,0.00209,-1.272206,0.2033,"Canada Global_GPR",7811.723719
"w246",87.211186,0.258311,337.620401,0,"Canada Global_GPR",-3881.34282542657
"alpha45",0.001435,0.009635,0.148934,0.881606,"Canada US_EPU",0.771415687723738
"gamma45",0.196945,0.031909,6.172076,0,"Canada US_EPU",0.352899532128077
"beta45",0.870836,0.019864,43.839282,0,"Canada US_EPU",1848.99564371742
"m45",-0.878439,0.355272,-2.472582,0.013414,"Canada US_EPU",7775.067135
"theta45",0.003651,0.001972,1.851522,0.064095,"Canada US_EPU",7812.105203
"w245",4.727718,0.569498,8.301556,0,"Canada US_EPU",-3881.53356735331
"alpha44",0.000101,0.009516,0.01059,0.991551,"Canada St_Louis_Stress_Index",1.03680703809079
"gamma44",0.195884,0.032751,5.98098,0,"Canada St_Louis_Stress_Index",0.352019104694706
"beta44",0.869687,0.022037,39.465449,0,"Canada St_Louis_Stress_Index",1848.75151162199
"m44",-0.353466,0.169636,-2.083677,0.03719,"Canada St_Louis_Stress_Index",7771.772671
"theta44",0.413772,0.184305,2.245041,0.024766,"Canada St_Louis_Stress_Index",7808.810738
"w244",1.625114,0.575732,2.82269,0.004762,"Canada St_Louis_Stress_Index",-3879.88633527624
"alpha43",0.000144,0.009403,0.015326,0.987772,"Canada CFNAI",1.01608819652805
"gamma43",0.19773,0.032019,6.175392,0,"Canada CFNAI",0.352145762935781
"beta43",0.868718,0.020873,41.619932,0,"Canada CFNAI",1842.34666349232
"m43",-0.469005,0.165352,-2.836399,0.004563,"Canada CFNAI",7772.041727
"theta43",-0.404033,0.198792,-2.03244,0.042109,"Canada CFNAI",7809.079795
"w243",1.139255,0.531529,2.143356,0.032085,"Canada CFNAI",-3880.02086369418
"alpha42",0.00398,0.009566,0.416019,0.677396,"Canada BKK_Leading_Index",0.17581751588602
"gamma42",0.188766,0.033714,5.599094,0,"Canada BKK_Leading_Index",0.354114210785257
"beta42",0.877362,0.022158,39.595952,0,"Canada BKK_Leading_Index",1852.96191412616
"m42",-0.349094,0.243377,-1.434375,0.151465,"Canada BKK_Leading_Index",7779.468674
"theta42",-0.068438,0.112199,-0.609968,0.541883,"Canada BKK_Leading_Index",7816.506742
"w242",3.728121,0.276247,13.495588,0,"Canada BKK_Leading_Index",-3883.73433687084
"alpha41",0.004062,0.009598,0.423178,0.672166,"Canada UMich",0.0152568030328414
"gamma41",0.188046,0.035221,5.339035,0,"Canada UMich",0.354364008851533
"beta41",0.878433,0.023013,38.171329,0,"Canada UMich",1847.11671918598
"m41",-0.324684,0.257349,-1.26165,0.207075,"Canada UMich",7780.351904
"theta41",0.022281,0.073499,0.303152,0.761774,"Canada UMich",7817.389972
"w241",1.001005,1.319544,0.758599,0.448092,"Canada UMich",-3884.17595210288
"alpha40",0.0001,0.009957,0.010071,0.991964,"Canada Credit",1.09946317523858
"gamma40",0.191889,0.03271,5.866355,0,"Canada Credit",0.351578811964845
"beta40",0.872687,0.022122,39.44931,0,"Canada Credit",1834.17463045253
"m40",-0.414301,0.172033,-2.408259,0.016029,"Canada Credit",7770.263153
"theta40",0.922194,0.439802,2.096841,0.036008,"Canada Credit",7807.301221
"w240",1.951303,1.62627,1.199864,0.230192,"Canada Credit",-3879.13157646376
"alpha39",0.0001,0.013478,0.007425,0.994076,"Canada Risk",3.96346720347229
"gamma39",0.20111,0.030904,6.507593,0,"Canada Risk",0.345077178198163
"beta39",0.856177,0.025397,33.711586,0,"Canada Risk",1825.8063417175
"m39",0.292317,0.188582,1.55008,0.121122,"Canada Risk",7746.57812
"theta39",1.625835,0.283283,5.739252,0,"Canada Risk",7783.616187
"w239",4.387909,1.406558,3.119608,0.001811,"Canada Risk",-3867.28905975584
"alpha38",0.0001,0.012645,0.007914,0.993685,"Canada Leverage",3.68711712232842
"gamma38",0.197882,0.030586,6.46975,0,"Canada Leverage",0.345493747267143
"beta38",0.859295,0.023465,36.619688,0,"Canada Leverage",1810.44669705871
"m38",-0.389632,0.141022,-2.762918,0.005729,"Canada Leverage",7747.92745
"theta38",0.968827,0.199234,4.862765,0.000001,"Canada Leverage",7784.965518
"w238",1.835749,0.568733,3.227787,0.001248,"Canada Leverage",-3867.96372485859
"alpha37",0.0001,0.01276,0.007841,0.993744,"Canada Overall_NFCI",2.93823167632224
"gamma37",0.200718,0.033074,6.068741,0,"Canada Overall_NFCI",0.347079837281638
"beta37",0.858674,0.026577,32.308927,0,"Canada Overall_NFCI",1824.5860145866
"m37",0.188989,0.280842,0.672937,0.500987,"Canada Overall_NFCI",7753.897046
"theta37",1.488823,0.490882,3.032957,0.002422,"Canada Overall_NFCI",7790.935114
"w237",3.270556,3.720694,0.879018,0.379392,"Canada Overall_NFCI",-3870.94852290418
"alpha36",0.01405,0.099891,0.140653,0.888144,"SP1500 Saudi_GPR",0.477000040781208
"gamma36",0.261368,0.212217,1.231605,0.218097,"SP1500 Saudi_GPR",0.767406390838546
"beta36",0.820803,0.028098,29.211849,0,"SP1500 Saudi_GPR",1697.32986799232
"m36",0.258598,0.691329,0.374059,0.70836,"SP1500 Saudi_GPR",9240.899312
"theta36",-6.107465,157.650363,-0.038741,0.969097,"SP1500 Saudi_GPR",9277.93738
"w236",1.40819,0.199441,7.060673,0,"SP1500 Saudi_GPR",-4614.44965612457
"alpha35",0.012761,0.021065,0.605763,0.544672,"SP1500 USA_GPR",1.04796008126215
"gamma35",0.260855,0.04194,6.219723,0,"SP1500 USA_GPR",0.766084618860055
"beta35",0.821754,0.026571,30.926364,0,"SP1500 USA_GPR",1698.29146992842
"m35",0.248014,0.200567,1.236564,0.216249,"SP1500 USA_GPR",9235.694501
"theta35",-2.121807,1.110454,-1.910756,0.056036,"SP1500 USA_GPR",9272.732569
"w235",1.436192,0.300395,4.781008,0.000002,"SP1500 USA_GPR",-4611.8472504766
"alpha34",0.015019,0.022614,0.664146,0.506597,"SP1500 Global_GPR",0.963421196811889
"gamma34",0.260052,0.043154,6.026089,0,"SP1500 Global_GPR",0.766743156502948
"beta34",0.820343,0.027695,29.620921,0,"SP1500 Global_GPR",1705.13480714211
"m34",0.254135,0.213659,1.189444,0.234265,"SP1500 Global_GPR",9238.161722
"theta34",-0.040707,0.017982,-2.263729,0.023591,"SP1500 Global_GPR",9275.19979
"w234",1.784104,0.394749,4.519595,0.000006,"SP1500 Global_GPR",-4613.08086088334
"alpha33",0.0001,0.020108,0.004975,0.99603,"SP1500 US_EPU",3.73824435040125
"gamma33",0.290426,0.036804,7.891098,0,"SP1500 US_EPU",0.751710354806481
"beta33",0.811255,0.019989,40.586052,0,"SP1500 US_EPU",1709.90208438152
"m33",-1.006798,0.314829,-3.197923,0.001384,"SP1500 US_EPU",9186.693594
"theta33",0.008555,0.001978,4.324835,0.000015,"SP1500 US_EPU",9223.731662
"w233",6.290874,0.918545,6.84874,0,"SP1500 US_EPU",-4587.34679697069
"alpha32",0.0001,0.019678,0.005086,0.995942,"SP1500 St_Louis_Stress_Index",2.47050704960231
"gamma32",0.293366,0.039495,7.427846,0,"SP1500 St_Louis_Stress_Index",0.760961075284048
