"","Estimate","Std..Error","t.value","Pr...t..","c.nm_var..nm_var..nm_var..nm_var..nm_var..nm_var.","model_diagnostics"
"alpha",0.005418,0.026219,0.20664,0.836291,"SP500 EU_HY_OAS",59.4342011738796
"gamma",0.280204,0.044048,6.3613,0,"SP500 EU_HY_OAS",0.740446814508001
"beta",0.806404,0.02652,30.407856,0,"SP500 EU_HY_OAS",1621.09069658641
"m",-0.745596,0.359075,-2.076435,0.037854,"SP500 EU_HY_OAS",9145.320148
"theta",0.187926,0.045366,4.142476,0.000034,"SP500 EU_HY_OAS",9182.358216
"w2",10.292281,2.025412,5.081575,0,"SP500 EU_HY_OAS",-4566.66007409943
"alpha19",0.0001,0.094743,0.001058,0.999156,"SP500 HY_OAS",52.8283011489473
"gamma19",0.286108,0.163428,1.750669,0.080003,"SP500 HY_OAS",0.740905381459306
"beta19",0.81194,0.091529,8.870825,0,"SP500 HY_OAS",1629.39879590414
"m19",-0.911975,5.238601,-0.174088,0.861797,"SP500 HY_OAS",9147.371494
"theta19",0.224476,0.72077,0.311439,0.755467,"SP500 HY_OAS",9184.409562
"w219",8.52558,0.286532,29.754334,0,"SP500 HY_OAS",-4567.68574701873
"alpha18",0.022868,0.022472,1.01761,0.308863,"SP500 T10_3YC",96.4657687168222
"gamma18",0.252178,0.093481,2.697646,0.006983,"SP500 T10_3YC",0.748886142936438
"beta18",0.81813,0.029759,27.491772,0,"SP500 T10_3YC",1632.91739411042
"m18",0.263463,0.687608,0.38316,0.701602,"SP500 T10_3YC",9174.774701
"theta18",13.075762,0.308482,42.387496,0,"SP500 T10_3YC",9211.812769
"w218",1.001007,4.773885,0.209684,0.833914,"SP500 T10_3YC",-4581.38735031602
"alpha17",0.024035,0.026599,0.903605,0.366205,"SP500 T10_2YC",99.2837440951723
"gamma17",0.252973,0.070212,3.602964,0.000315,"SP500 T10_2YC",0.748333443672767
"beta17",0.817704,0.034084,23.990716,0,"SP500 T10_2YC",1634.60117213121
"m17",0.280718,0.634262,0.44259,0.658062,"SP500 T10_2YC",9172.90134
"theta17",16.984847,0.62604,27.130622,0,"SP500 T10_2YC",9209.939408
"w217",6.613198,1.183741,5.586693,0,"SP500 T10_2YC",-4580.45066988618
"alpha16",0.0001,0.012405,0.008065,0.993565,"Canada EU_HY_OAS",77.5502162417469
"gamma16",0.199628,0.029544,6.756951,0,"Canada EU_HY_OAS",0.346458391491222
"beta16",0.859505,0.023269,36.937377,0,"Canada EU_HY_OAS",1824.91046625381
"m16",-1.359604,0.204037,-6.663523,0,"Canada EU_HY_OAS",7751.685489
"theta16",0.189649,0.034349,5.521305,0,"Canada EU_HY_OAS",7788.723557
"w216",6.459747,0.052071,124.057388,0,"Canada EU_HY_OAS",-3869.84274471864
"alpha15",0.0001,0.010643,0.009403,0.992498,"Canada HY_OAS",74.5812707790307
"gamma15",0.197339,0.031048,6.356018,0,"Canada HY_OAS",0.348850561196534
"beta15",0.86671,0.021959,39.47015,0,"Canada HY_OAS",1833.11797379551
"m15",-1.370662,0.254768,-5.38004,0,"Canada HY_OAS",7760.434954
"theta15",0.193146,0.043878,4.401864,0.000011,"Canada HY_OAS",7797.473022
"w215",3.121333,0.065164,47.899547,0,"Canada HY_OAS",-3874.21747700989
"alpha14",0.004613,0.009668,0.477189,0.633228,"Canada T10_3YC",125.007212408714
"gamma14",0.187379,0.029866,6.274072,0,"Canada T10_3YC",0.353973348889755
"beta14",0.878509,0.02158,40.70999,0,"Canada T10_3YC",1865.80334104265
