"","Estimate","Std..Error","t.value","Pr...t..","c.nm_var..nm_var..nm_var..nm_var..nm_var..nm_var.","model_diagnostics"
"alpha",0.005418,0.025245,0.214616,0.830067,"SP500 EU_HY_OAS",2.84340559400929
"gamma",0.280204,0.038356,7.305337,0,"SP500 EU_HY_OAS",0.740446794831819
"beta",0.806404,0.025492,31.633842,0,"SP500 EU_HY_OAS",1621.08993105523
"m",-0.745585,0.208788,-3.571012,0.000356,"SP500 EU_HY_OAS",9145.320075
"theta",0.187924,0.039933,4.705975,0.000003,"SP500 EU_HY_OAS",9182.358143
"w2",10.291995,11.102058,0.927035,0.353908,"SP500 EU_HY_OAS",-4566.66003737206
"alpha19",0.0001,0.021706,0.004618,0.996315,"SP500 HY_OAS",2.61150075753414
"gamma19",0.286108,0.046893,6.101319,0,"SP500 HY_OAS",0.7409053600032
"beta19",0.81194,0.03271,24.822044,0,"SP500 HY_OAS",1629.39781374102
"m19",-0.911975,0.375799,-2.426767,0.015234,"SP500 HY_OAS",9147.371417
"theta19",0.224476,0.069893,3.211701,0.00132,"SP500 HY_OAS",9184.409485
"w219",8.525551,20.286567,0.420256,0.674298,"SP500 HY_OAS",-4567.68570856443
"alpha18",0.022868,0.054681,0.418217,0.675788,"SP500 T10_3YC",0.0763075481929358
"gamma18",0.252178,0.045984,5.484026,0,"SP500 T10_3YC",0.748886133454647
"beta18",0.818129,0.03506,23.334853,0,"SP500 T10_3YC",1632.91543141555
"m18",0.263461,0.502746,0.524045,0.600247,"SP500 T10_3YC",9174.774634
"theta18",13.067295,0.108873,120.023485,0,"SP500 T10_3YC",9211.812702
"w218",1.001007,24.599716,0.040692,0.967542,"SP500 T10_3YC",-4581.38731704422
"alpha17",0.024035,0.030568,0.786274,0.431707,"SP500 T10_2YC",0.201242569111182
"gamma17",0.252966,0.128413,1.969946,0.048845,"SP500 T10_2YC",0.748333730781251
"beta17",0.817705,0.101545,8.052651,0,"SP500 T10_2YC",1634.59283753254
"m17",0.280623,0.759979,0.369251,0.711941,"SP500 T10_2YC",9172.901248
"theta17",16.975205,504.53624,0.033645,0.97316,"SP500 T10_2YC",9209.939316
"w217",6.644405,504.914273,0.013159,0.989501,"SP500 T10_2YC",-4580.4506238303
"alpha16",0.0001,0.012377,0.008085,0.993549,"Canada EU_HY_OAS",3.25503575954724
"gamma16",0.199628,0.030914,6.457603,0,"Canada EU_HY_OAS",0.346458373005276
"beta16",0.859505,0.02356,36.482189,0,"Canada EU_HY_OAS",1824.90927658472
"m16",-1.359602,0.23058,-5.896436,0,"Canada EU_HY_OAS",7751.685433
"theta16",0.189649,0.035628,5.323028,0,"Canada EU_HY_OAS",7788.723501
"w216",6.459553,0.281612,22.93778,0,"Canada EU_HY_OAS",-3869.8427166036
"alpha15",0.0001,0.01068,0.009373,0.992521,"Canada HY_OAS",2.16009656883797
"gamma15",0.197339,0.032216,6.1255,0,"Canada HY_OAS",0.348850546272134
"beta15",0.86671,0.022611,38.331202,0,"Canada HY_OAS",1833.11678945584
"m15",-1.370663,0.305315,-4.489334,0.000007,"Canada HY_OAS",7760.434901
"theta15",0.193146,0.054285,3.558002,0.000374,"Canada HY_OAS",7797.472969
"w215",3.121333,1.883771,1.65696,0.097528,"Canada HY_OAS",-3874.21745047534
"alpha14",0.004613,0.036807,0.125333,0.90026,"Canada T10_3YC",0.162338828404388
"gamma14",0.187387,0.111367,1.68261,0.092451,"Canada T10_3YC",0.353973320438885
"beta14",0.87851,0.026151,33.593246,0,"Canada T10_3YC",1865.80769332729
"m14",-0.318382,0.492657,-0.646254,0.518115,"Canada T10_3YC",7779.047218
"theta14",13.513786,479.47729,0.028184,0.977515,"Canada T10_3YC",7816.085286
"w214",2.885371,244.27381,0.011812,0.990576,"Canada T10_3YC",-3883.52360910313
"alpha13",0.002209,0.009919,0.222709,0.823762,"Canada T10_2YC",0.488214094159821
"gamma13",0.18877,0.03377,5.589792,0,"Canada T10_2YC",0.352570762002324
"beta13",0.880399,0.022296,39.486344,0,"Canada T10_2YC",1861.78419481626
"m13",-0.328796,0.250937,-1.310275,0.190103,"Canada T10_2YC",7774.424133
"theta13",24.958657,0.46006,54.250838,0,"Canada T10_2YC",7811.462201
"w213",6.843033,0.912548,7.498817,0,"Canada T10_2YC",-3881.21206650549
