"","Estimate","Std..Error","t.value","Pr...t..","c.nm_var..nm_var..nm_var..nm_var..nm_var..nm_var.","model_diagnostics"
"alpha",0.023159,0.02239,1.034323,0.300985,"SP500 EqVol",88.029812893731
"gamma",0.252869,0.087807,2.879844,0.003979,"SP500 EqVol",0.749090474343218
"beta",0.816806,0.034073,23.972156,0,"SP500 EqVol",1631.10346330571
"m",0.238464,0.480172,0.496623,0.619455,"SP500 EqVol",9175.51512
"theta",0.041612,0.841893,0.049427,0.960579,"SP500 EqVol",9212.553188
"w2",1.001008,0.342277,2.924558,0.003449,"SP500 EqVol",-4581.75756019748
"alpha29",0.0001,0.020061,0.005,0.996011,"SP500 VVIX",86.392071191074
"gamma29",0.289561,0.044472,6.511026,0,"SP500 VVIX",0.740345785320969
"beta29",0.811352,0.023817,34.066644,0,"SP500 VVIX",1628.48375967216
"m29",-2.199994,0.356229,-6.175777,0,"SP500 VVIX",9144.304622
"theta29",0.025066,0.004619,5.427006,0,"SP500 VVIX",9181.34269
"w229",2.38877,0.224004,10.663957,0,"SP500 VVIX",-4566.15231097448
"alpha28",0.0001,0.044884,0.002229,0.998222,"SP500 OilVol",71.0065114764341
"gamma28",0.298974,0.063574,4.702782,0.000003,"SP500 OilVol",0.728581354445831
"beta28",0.803598,0.036735,21.875304,0,"SP500 OilVol",1629.10446106546
"m28",-1.02969,1.650888,-0.623719,0.532812,"SP500 OilVol",9102.604053
"theta28",0.031392,0.025015,1.254894,0.209517,"SP500 OilVol",9139.642121
"w228",4.218023,2.600406,1.622064,0.10479,"SP500 OilVol",-4545.30202642628
"alpha27",0.024338,0.027246,0.893268,0.371713,"SP500 MOVE",97.9666690968853
"gamma27",0.259234,0.043192,6.001854,0,"SP500 MOVE",0.746456457257094
"beta27",0.808353,0.028784,28.083788,0,"SP500 MOVE",1627.23276690857
"m27",-0.32586,0.14562,-2.237748,0.025237,"SP500 MOVE",9166.105407
"theta27",0.006812,0.002085,3.266969,0.001087,"SP500 MOVE",9203.143475
"w227",1.553083,0.056023,27.72208,0,"SP500 MOVE",-4577.05270365499
"alpha26",0.023802,0.025966,0.916673,0.359314,"SP500 Skew",86.5977054241192
"gamma26",0.252239,0.045777,5.510139,0,"SP500 Skew",0.749091024017558
"beta26",0.816558,0.028592,28.559314,0,"SP500 Skew",1631.14439177386
"m26",0.463131,0.358188,1.292982,0.196017,"SP500 Skew",9175.499219
"theta26",-0.00161,0.003181,-0.506104,0.612784,"SP500 Skew",9212.537287
"w226",1.001024,0.24992,4.005373,0.000062,"SP500 Skew",-4581.74960953753
"alpha25",0.0001,0.038053,0.002628,0.997903,"SP500 VIX",59.3723497176263
"gamma25",0.313605,0.038082,8.235089,0,"SP500 VIX",0.719869605231122
"beta25",0.773205,0.029621,26.102902,0,"SP500 VIX",1661.33175572289
