"","Estimate","Std..Error","t.value","Pr...t..","c.nm_var..nm_var..nm_var..nm_var..nm_var..nm_var.","model_diagnostics"
"alpha",0.018472,0.024629,0.750013,0.453247,"SP500 EqVol",0.575085205143747
"gamma",0.247556,0.047505,5.211139,0,"SP500 EqVol",0.746751645273252
"beta",0.825035,0.030813,26.775254,0,"SP500 EqVol",1629.88963478895
"m",0.339811,0.221262,1.535783,0.124592,"SP500 EqVol",9166.937458
"theta",-0.29703,0.121773,-2.439201,0.01472,"SP500 EqVol",9203.975526
"w2",21.129616,0.249845,84.570785,0,"SP500 EqVol",-4577.46872897241
"alpha29",0.0001,0.019479,0.005144,0.995896,"SP500 VVIX",2.78616636334275
"gamma29",0.289562,0.044384,6.524081,0,"SP500 VVIX",0.74034576540994
"beta29",0.811352,0.023781,34.118,0,"SP500 VVIX",1628.48288739777
"m29",-2.199992,1.034115,-2.127416,0.033386,"SP500 VVIX",9144.304555
"theta29",0.025066,0.010327,2.427192,0.015216,"SP500 VVIX",9181.342623
"w229",2.388783,1.53474,1.556474,0.119595,"SP500 VVIX",-4566.15227737312
"alpha28",0.0001,0.024201,0.004133,0.996702,"SP500 OilVol",4.12602817046796
"gamma28",0.298973,0.037519,7.968651,0,"SP500 OilVol",0.728581344057837
"beta28",0.803598,0.02255,35.63583,0,"SP500 OilVol",1629.10133640801
"m28",-1.029699,0.327676,-3.14243,0.001676,"SP500 OilVol",9102.603975
"theta28",0.031391,0.007085,4.430458,0.000009,"SP500 OilVol",9139.642043
"w228",4.21827,1.204066,3.503355,0.000459,"SP500 OilVol",-4545.30198757977
"alpha27",0.024338,0.027423,0.887506,0.374806,"SP500 MOVE",0.888720485237798
"gamma27",0.259234,0.044381,5.84111,0,"SP500 MOVE",0.746456439038548
"beta27",0.808353,0.029144,27.736752,0,"SP500 MOVE",1627.23178325599
"m27",-0.32586,0.350504,-0.929689,0.352532,"SP500 MOVE",9166.105341
"theta27",0.006812,0.002966,2.296767,0.021632,"SP500 MOVE",9203.143409
"w227",1.553092,0.893761,1.737705,0.082263,"SP500 MOVE",-4577.05267063827
"alpha26",0.023741,0.026339,0.901337,0.367409,"SP500 Skew",0.018625564388829
"gamma26",0.253017,0.044533,5.681593,0,"SP500 Skew",0.74903444145159
"beta26",0.815765,0.02784,29.301778,0,"SP500 Skew",1630.71456976039
"m26",0.563669,0.848754,0.664113,0.506618,"SP500 Skew",9175.347014
"theta26",-0.002398,0.006742,-0.355648,0.722104,"SP500 Skew",9212.385082
"w226",8.160335,0.104132,78.365146,0,"SP500 Skew",-4581.67350709492
"alpha25",0.0001,0.019223,0.005218,0.995837,"SP500 VIX",2.78611326128759
"gamma25",0.289562,0.043246,6.69571,0,"SP500 VIX",0.740345767715409
"beta25",0.811352,0.023294,34.831503,0,"SP500 VIX",1628.4831288757
"m25",-2.19997,0.646494,-3.402924,0.000667,"SP500 VIX",9144.304559
"theta25",0.025066,0.006861,3.653531,0.000259,"SP500 VIX",9181.342627
"w225",2.388719,0.859677,2.778623,0.005459,"SP500 VIX",-4566.15227933109
"alpha24",0.0001,0.009699,0.01033,0.991758,"Canada EqVol",2.41732677394461
"gamma24",0.186986,0.029309,6.379829,0,"Canada EqVol",0.345547949416517
"beta24",0.877741,0.020099,43.670165,0,"Canada EqVol",1814.27868162579
"m24",-0.166545,0.207856,-0.801252,0.422986,"Canada EqVol",7747.869395
"theta24",-0.687169,0.229203,-2.998077,0.002717,"Canada EqVol",7784.907463
"w224",8.2769,6.857776,1.206937,0.227457,"Canada EqVol",-3867.93469766339
"alpha23",0.004055,0.00956,0.424196,0.671423,"Canada VVIX",0.0143002174440902
"gamma23",0.189877,0.034689,5.473714,0,"Canada VVIX",0.354382019203406
"beta23",0.8767,0.02264,38.723753,0,"Canada VVIX",1848.6228874299
"m23",-0.488988,0.720457,-0.67872,0.497316,"Canada VVIX",7780.368592
"theta23",0.00173,0.006996,0.247237,0.804725,"Canada VVIX",7817.406659
