Date,CapEx,Assets,Variable Costs,Revenue,Net Income,CapEx / Sales,Operating Leverage (DOL),CapEx,Assets,Variable Costs,Revenue,Net Income,CapEx / Sales,Operating Leverage (DOL),CapEx,Assets,Variable Costs,Revenue,Net Income,CapEx / Sales,Operating Leverage (DOL),CapEx,Assets,Variable Costs,Revenue,Net Income,CapEx / Sales,Operating Leverage (DOL),CapEx,Assets,Variable Costs,Revenue,Net Income,CapEx / Sales,Operating Leverage (DOL)
,AAL,AAL,AAL,AAL,AAL,AAL,AAL,CAR,CAR,CAR,CAR,CAR,CAR,CAR,GNRC,GNRC,GNRC,GNRC,GNRC,GNRC,GNRC,ALB,ALB,ALB,ALB,ALB,ALB,ALB,BA,BA,BA,BA,BA,BA,BA
31/12/2016,5731,51274,6605,9789,289,0.58545306,0.32526305,2147,17643,1022,1879,-31,1.142629058,0.456093667,30.467,1861.684,257.647,417.421,41.509,0.072988661,0.382764643,196.654,8161.207,406.019,696.655,602.09,0.282283196,0.417187848,2613,89997,18905,23286,1631,0.112213347,0.188138796
31/03/2017,1714,52627,6774,9820,340,0.174541752,0.310183299,1028,18978,1079,1839,-107,0.558999456,0.41326808,3.548,1867.265,216.271,330.485,12.175,0.010735737,0.34559511,54.143,7366.468,399.65,722.063,51.213,0.074983762,0.44651644,466,89673,17592,21961,1579,0.021219434,0.198943582
30/06/2017,3194,53336,7122,11227,864,0.284492741,0.365636412,3143,20832,1189,2238,3,1.40437891,0.468722073,10.03,1887.53,256.097,394.875,25.291,0.025400443,0.351447927,97.765,7291.989,402.475,737.258,103.333,0.132606225,0.454092055,905,90036,18201,23051,1749,0.03926077,0.210403019
30/09/2017,4563,52401,7226,10964,661,0.416180226,0.340933966,2938,19873,1323,2752,245,1.067587209,0.519258721,16.658,2000.974,294.963,460.966,39.435,0.036137155,0.360119835,187.519,7523.3,416.812,754.866,118.67,0.248413626,0.447833125,1304,91007,19415,24223,1810,0.053833134,0.198489039
31/12/2017,5971,51396,7278,10611,-583,0.562717934,0.314108001,2135,17699,1117,2019,220,1.057454185,0.44675582,33.261,2019.964,304.129,493.047,80.907,0.0674601,0.383164283,317.703,7750.772,495.386,857.789,-218.366,0.3703743,0.422485017,1739,92333,19287,24770,3320,0.070205894,0.22135648
31/03/2018,779,53280,7396,10401,159,0.074896645,0.288914527,1711,19222,1148,1968,-87,0.869410569,0.416666667,6.496,2077.468,252.113,400.091,33.645,0.016236306,0.369860857,131.815,7556.34,464.22,821.629,131.76,0.16043129,0.435000469,394,113549,18307,23382,2477,0.016850569,0.217047301
30/06/2018,1731,52622,7974,11643,557,0.148673022,0.315124968,3667,20919,1239,2328,26,1.575171821,0.467783505,12.326,2209.275,312.99,497.581,53.261,0.024771846,0.370976786,280.945,7538.363,491.144,853.874,302.461,0.329023954,0.424805065,770,113195,19012,24258,2196,0.031742106,0.216258554
30/09/2018,2736,52635,8230,11559,372,0.236698676,0.288000692,3484,19741,1366,2778,213,1.254139669,0.508279338,25.577,2332.673,355.891,562.388,75.776,0.045479278,0.367178887,471.675,7487.195,445.004,777.748,129.745,0.606462505,0.427830094,1227,114659,20499,25146,2363,0.048795037,0.184800764
31/12/2018,3745,60580,7765,10938,324,0.342384348,0.290089596,3172,19149,1139,2050,13,1.547317073,0.444390244,47.601,2426.314,352.134,563.404,75.575,0.084488218,0.374988463,699.991,7581.674,552.128,921.699,129.596,0.759457263,0.400967127,1722,117359,21489,28341,3424,0.06076003,0.241769874
31/03/2019,1305,60787,7646,10584,185,0.12329932,0.277588813,1350,22902,1128,1920,-91,0.703125,0.4125,15.902,2473.722,300.913,470.353,44.861,0.03380865,0.360240075,216.132,7871.062,498.895,832.064,133.569,0.259754057,0.400412709,501,120209,18106,22917,2149,0.0218615,0.209931492
