fic,isin,datadate,conm,gvkey,cshtrd,prccd,prchd,prcld
ITA,IT0000062957,2010-01-04,MEDIOBANCA BANCA DI CREDITO,015593,2395062.00000000,8.38000000,8.39000000,8.24000000
ITA,IT0000062957,2010-01-05,MEDIOBANCA BANCA DI CREDITO,015593,5287862.00000000,8.63000000,8.67000000,8.37000000
ITA,IT0000062957,2010-01-06,MEDIOBANCA BANCA DI CREDITO,015593,2587941.00000000,8.63500000,8.71000000,8.56000000
ITA,IT0000062957,2010-01-07,MEDIOBANCA BANCA DI CREDITO,015593,5026291.00000000,8.83000000,8.83500000,8.55500000
ITA,IT0000062957,2010-01-08,MEDIOBANCA BANCA DI CREDITO,015593,4158943.00000000,8.80000000,8.92500000,8.70500000
ITA,IT0000062957,2010-01-11,MEDIOBANCA BANCA DI CREDITO,015593,2941113.00000000,8.75500000,8.83000000,8.70000000
ITA,IT0000062957,2010-01-12,MEDIOBANCA BANCA DI CREDITO,015593,4489195.00000000,8.60500000,8.77500000,8.52500000
ITA,IT0000062957,2010-01-13,MEDIOBANCA BANCA DI CREDITO,015593,2403199.00000000,8.62000000,8.67000000,8.52500000
ITA,IT0000062957,2010-01-14,MEDIOBANCA BANCA DI CREDITO,015593,2752746.00000000,8.63500000,8.70000000,8.54000000
ITA,IT0000062957,2010-01-15,MEDIOBANCA BANCA DI CREDITO,015593,4237904.00000000,8.48000000,8.68500000,8.48000000
ITA,IT0000062957,2010-01-18,MEDIOBANCA BANCA DI CREDITO,015593,2344445.00000000,8.58500000,8.62000000,8.45500000
ITA,IT0000062957,2010-01-19,MEDIOBANCA BANCA DI CREDITO,015593,3332684.00000000,8.73500000,8.73500000,8.47000000
ITA,IT0000062957,2010-01-20,MEDIOBANCA BANCA DI CREDITO,015593,3654501.00000000,8.55000000,8.73500000,8.54000000
ITA,IT0000062957,2010-01-21,MEDIOBANCA BANCA DI CREDITO,015593,4835734.00000000,8.35000000,8.65500000,8.34500000
ITA,IT0000062957,2010-01-22,MEDIOBANCA BANCA DI CREDITO,015593,5032702.00000000,8.14000000,8.39000000,8.08500000
ITA,IT0000062957,2010-01-25,MEDIOBANCA BANCA DI CREDITO,015593,3564746.00000000,8.17000000,8.28000000,7.98000000
ITA,IT0000062957,2010-01-26,MEDIOBANCA BANCA DI CREDITO,015593,2224314.00000000,8.21000000,8.22500000,8.08500000
ITA,IT0000062957,2010-01-27,MEDIOBANCA BANCA DI CREDITO,015593,3282232.00000000,8.03000000,8.16500000,7.95000000
ITA,IT0000062957,2010-01-28,MEDIOBANCA BANCA DI CREDITO,015593,3635784.00000000,7.87000000,8.12500000,7.87000000
ITA,IT0000062957,2010-01-29,MEDIOBANCA BANCA DI CREDITO,015593,3127465.00000000,7.94500000,8.01500000,7.85000000
ITA,IT0000062957,2010-02-01,MEDIOBANCA BANCA DI CREDITO,015593,3597487.00000000,7.88000000,7.94500000,7.81000000
ITA,IT0000062957,2010-02-02,MEDIOBANCA BANCA DI CREDITO,015593,9355400.00000000,8.34500000,8.36500000,7.89500000
ITA,IT0000062957,2010-02-03,MEDIOBANCA BANCA DI CREDITO,015593,3435311.00000000,8.11000000,8.35000000,8.11000000
ITA,IT0000062957,2010-02-04,MEDIOBANCA BANCA DI CREDITO,015593,6859261.00000000,7.68500000,8.13500000,7.64500000
ITA,IT0000062957,2010-02-05,MEDIOBANCA BANCA DI CREDITO,015593,5635629.00000000,7.57500000,7.74000000,7.46000000
ITA,IT0000062957,2010-02-08,MEDIOBANCA BANCA DI CREDITO,015593,3777905.00000000,7.54500000,7.70000000,7.35500000
ITA,IT0000062957,2010-02-09,MEDIOBANCA BANCA DI CREDITO,015593,3605053.00000000,7.49000000,7.69500000,7.45000000
ITA,IT0000062957,2010-02-10,MEDIOBANCA BANCA DI CREDITO,015593,3218334.00000000,7.63500000,7.73000000,7.54000000
ITA,IT0000062957,2010-02-11,MEDIOBANCA BANCA DI CREDITO,015593,4906590.00000000,7.41000000,7.74000000,7.36000000
ITA,IT0000062957,2010-02-12,MEDIOBANCA BANCA DI CREDITO,015593,4655789.00000000,7.34000000,7.54000000,7.25500000
ITA,IT0000062957,2010-02-15,MEDIOBANCA BANCA DI CREDITO,015593,2722089.00000000,7.49000000,7.52500000,7.31500000
ITA,IT0000062957,2010-02-16,MEDIOBANCA BANCA DI CREDITO,015593,2284734.00000000,7.54000000,7.59000000,7.38000000
ITA,IT0000062957,2010-02-17,MEDIOBANCA BANCA DI CREDITO,015593,3005318.00000000,7.61500000,7.69000000,7.58000000
ITA,IT0000062957,2010-02-18,MEDIOBANCA BANCA DI CREDITO,015593,2243488.00000000,7.59500000,7.65500000,7.53500000
ITA,IT0000062957,2010-02-19,MEDIOBANCA BANCA DI CREDITO,015593,3281371.00000000,7.59000000,7.59000000,7.42500000
ITA,IT0000062957,2010-02-22,MEDIOBANCA BANCA DI CREDITO,015593,2066956.00000000,7.65500000,7.69500000,7.57500000
ITA,IT0000062957,2010-02-23,MEDIOBANCA BANCA DI CREDITO,015593,3675720.00000000,7.60500000,7.72500000,7.58000000
