Date,.CESIUSD,.MOVE,VIX,VXN NASDAQ,High Yield Spread,BKK Leading Index,CFNAI,Equity Vol Measure,St Louis Stress Index
2005-01-01,-17.2,79.29,12.82,18.43,3.29,-1.1212277967843771,0.38,0.26127,-0.747075
2005-02-01,-20.0,90.05,12.08,18.07,2.83,-1.0531867123371894,0.45,0.1106,-0.920875
2005-03-01,-7.8,87.7,14.02,17.65,3.52,-1.0585830032845052,-0.15,0.28851,-0.86265
2005-04-01,6.3,82.53,15.31,18.54,4.15,-1.0118348064278213,0.5,0.51126,-0.70762
2005-05-01,17.2,75.0,13.29,16.08,4.13,-0.8876139077669765,0.08,0.46083,-0.682725
2005-06-01,-7.0,75.6,12.04,14.46,3.85,-0.808873523280914,0.44,0.36583,-0.7267
2005-07-01,25.0,74.8,11.57,13.87,3.25,-0.955821198701783,0.07,0.2365,-0.85006
2005-08-01,7.4,72.22,12.6,14.71,3.66,-1.1524075199304744,0.17,0.34252,-0.867325
2005-09-01,2.3,76.71,11.92,13.31,3.54,-1.2317628012291575,-0.85,0.28744,-0.80108
2005-10-01,8.4,80.08,15.32,17.99,3.61,-0.936884108022494,0.91,0.27243,-0.757275
2005-11-01,73.5,73.99,12.06,15.31,3.67,-0.7231561690872672,0.9,0.10356,-0.820025
2005-12-01,43.4,72.09,12.07,14.26,3.65,-0.5843040445315971,0.42,0.2798,-0.7098
2006-01-01,-20.3,75.65,12.95,18.58,3.42,-0.5362958093599917,0.65,0.39768,-0.924425
2006-02-01,-55.4,56.86,12.34,15.99,3.37,-0.6115241904873627,0.17,0.05057,-1.038875
2006-03-01,-25.9,68.6,11.39,16.31,3.13,-0.6733913168452643,0.37,0.13958,-1.03836
2006-04-01,37.2,63.0,11.59,15.51,3.0,-0.7930361946317619,0.03,0.24338,-1.03435
2006-05-01,46.6,68.7,16.44,21.46,3.12,-0.9131785754631352,-0.21,0.36913,-0.9795
2006-06-01,43.8,67.2,13.08,17.89,3.35,-0.8258643150288015,0.04,0.11395,-0.83178
2006-07-01,-1.8,63.4,14.95,20.33,3.45,-0.7726794641250232,-0.22,0.17287,-0.8774
2006-08-01,-7.6,59.8,12.31,17.39,3.49,-0.5889960194868454,0.03,0.33504,-0.96005
2006-09-01,-47.9,63.1,11.98,17.68,3.42,-0.2255892902011482,-0.18,0.34501,-0.89108
2006-10-01,-52.6,60.9,11.1,17.28,3.29,-0.0812672271054764,-0.33,0.14396,-0.96595
2006-11-01,-54.9,62.9,10.91,16.53,3.2,-0.1790651733489939,-0.23,0.2627,-0.95905
2006-12-01,21.3,65.9,11.56,16.23,2.82,-0.3524555552945208,0.89,0.37621,-0.92544
2007-01-01,73.1,61.9,10.42,17.19,2.72,-0.4683347324192086,-0.69,0.22553,-1.029025
2007-02-01,25.5,70.3,15.42,20.53,2.82,-0.6415574100714908,0.29,0.25404,-1.1076
2007-03-01,-8.8,68.2,14.64,18.24,2.8,-0.8014265398111321,0.23,0.64355,-0.8642800000000002
2007-04-01,-26.8,57.9,14.22,17.26,2.74,-0.8734411239895694,-0.12,0.58589,-1.0101
2007-05-01,-2.1,57.6,13.05,16.86,2.46,-0.8829925628863039,-0.14,0.27342,-0.952225
2007-06-01,36.9,75.5,16.23,17.86,2.89,-0.883915553000089,-0.31,0.41938,-0.7476
2007-07-01,66.5,96.4,23.52,23.55,4.19,-0.8735167988571684,-0.42,0.10333,-0.5837749999999999
2007-08-01,59.3,111.0,23.38,24.53,4.55,-0.8359643512939109,-0.57,0.93733,0.71216
2007-09-01,-14.0,103.7,18.0,21.01,4.16,-0.8032341582174958,-0.17,0.50047,1.1044
2007-10-01,-50.3,90.18,18.53,23.11,4.36,-0.7455959439971009,-0.73,0.29289,0.6172
2007-11-01,-39.9,131.5,22.87,28.65,5.75,-0.5792396124412756,-0.06,0.33594,1.33726
2007-12-01,24.6,145.4,22.5,25.9,5.92,-0.3087306282692483,-0.58,0.36001,1.726275
2008-01-01,-20.4,153.7,26.2,31.08,6.95,-0.0899536671144616,-0.5,0.47989,1.35625
2008-02-01,-64.6,155.2,26.54,28.44,7.67,0.1406575580347316,-1.15,0.4632,1.2449
2008-03-01,-89.9,152.4,25.61,29.04,8.21,0.3393369105066547,-1.14,0.23716,2.10475
2008-04-01,-73.2,119.1,20.79,24.41,6.86,0.4599865808838127,-1.28,0.14045,1.778625
2008-05-01,-11.0,130.2,17.83,20.85,6.57,0.5631959618246065,-1.35,0.18976,1.09378
2008-06-01,9.3,126.0,23.95,29.76,7.35,0.7136146497203921,-1.28,0.0443,1.3704
2008-07-01,23.4,131.7,22.94,26.24,8.0,0.9441848200320696,-1.74,0.22541,1.6225
2008-08-01,72.5,103.0,20.65,24.02,8.28,1.3074360778651175,-2.27,0.18307,1.59266
2008-09-01,27.0,208.5,39.39,42.58,10.96,1.5655605466871216,-3.47,0.18676,3.0935750000000004
