fic,isin,datadate,conm,gvkey,cshtrd,prccd,prchd,prcld
FRA,FR0000121964,2010-05-20,KLEPIERRE SA,015936,810831.00000000,22.19500000,22.95000000,21.95000000
FRA,FR0000121964,2010-05-21,KLEPIERRE SA,015936,943052.00000000,22.06000000,22.26000000,21.67000000
FRA,FR0000121964,2010-05-24,KLEPIERRE SA,015936,367781.00000000,21.81000000,22.41500000,21.63500000
FRA,FR0000121964,2010-05-25,KLEPIERRE SA,015936,633195.00000000,20.69000000,21.46000000,20.66000000
FRA,FR0000121964,2010-05-26,KLEPIERRE SA,015936,963094.00000000,20.89500000,21.10500000,20.73000000
FRA,FR0000121964,2010-05-27,KLEPIERRE SA,015936,1179988.00000000,21.64000000,21.71000000,20.82500000
FRA,FR0000121964,2010-05-28,KLEPIERRE SA,015936,572291.00000000,21.79000000,22.30500000,21.65000000
FRA,FR0000121964,2010-05-31,KLEPIERRE SA,015936,244837.00000000,21.89000000,21.96500000,21.82000000
FRA,FR0000121964,2010-06-01,KLEPIERRE SA,015936,752325.00000000,21.42500000,21.95000000,21.16000000
FRA,FR0000121964,2010-06-02,KLEPIERRE SA,015936,684509.00000000,21.36500000,21.48500000,20.99000000
FRA,FR0000121964,2010-06-03,KLEPIERRE SA,015936,1549573.00000000,22.05000000,22.07000000,21.58000000
FRA,FR0000121964,2010-06-04,KLEPIERRE SA,015936,1070540.00000000,21.78500000,22.38500000,21.70000000
FRA,FR0000121964,2010-06-07,KLEPIERRE SA,015936,592169.00000000,21.66000000,22.14000000,21.50000000
FRA,FR0000121964,2010-06-08,KLEPIERRE SA,015936,1078968.00000000,21.96000000,22.30000000,21.82000000
FRA,FR0000121964,2010-06-09,KLEPIERRE SA,015936,809252.00000000,22.18000000,22.50000000,21.95500000
FRA,FR0000121964,2010-06-10,KLEPIERRE SA,015936,859326.00000000,22.61000000,22.86500000,22.17500000
FRA,FR0000121964,2010-06-11,KLEPIERRE SA,015936,564560.00000000,23.09000000,23.15000000,22.59500000
FRA,FR0000121964,2010-06-14,KLEPIERRE SA,015936,417965.00000000,23.58000000,23.65500000,23.31500000
FRA,FR0000121964,2010-06-15,KLEPIERRE SA,015936,547706.00000000,23.56000000,23.69500000,23.36500000
FRA,FR0000121964,2010-06-16,KLEPIERRE SA,015936,343211.00000000,23.62000000,23.90500000,23.30500000
FRA,FR0000121964,2010-06-17,KLEPIERRE SA,015936,472579.00000000,23.65500000,24.00000000,23.45000000
FRA,FR0000121964,2010-06-18,KLEPIERRE SA,015936,612707.00000000,23.84000000,23.94000000,23.57000000
FRA,FR0000121964,2010-06-21,KLEPIERRE SA,015936,407507.00000000,23.70000000,24.43000000,23.66500000
FRA,FR0000121964,2010-06-22,KLEPIERRE SA,015936,525525.00000000,23.59000000,23.78500000,23.40500000
FRA,FR0000121964,2010-06-23,KLEPIERRE SA,015936,356359.00000000,23.29500000,23.54000000,23.10000000
FRA,FR0000121964,2010-06-24,KLEPIERRE SA,015936,588186.00000000,22.94500000,23.46500000,22.85000000
FRA,FR0000121964,2010-06-25,KLEPIERRE SA,015936,405738.00000000,23.09500000,23.16000000,22.88000000
FRA,FR0000121964,2010-06-28,KLEPIERRE SA,015936,464829.00000000,23.45000000,23.50000000,23.05500000
FRA,FR0000121964,2010-06-29,KLEPIERRE SA,015936,414268.00000000,22.99500000,23.23500000,22.90000000
FRA,FR0000121964,2010-06-30,KLEPIERRE SA,015936,533297.00000000,22.76500000,23.17500000,22.59500000
FRA,FR0000121964,2010-07-01,KLEPIERRE SA,015936,498717.00000000,22.23500000,22.53000000,22.06000000
FRA,FR0000121964,2010-07-02,KLEPIERRE SA,015936,368976.00000000,22.01500000,22.50000000,21.83000000
FRA,FR0000121964,2010-07-05,KLEPIERRE SA,015936,211934.00000000,21.94000000,22.14500000,21.75000000
FRA,FR0000121964,2010-07-06,KLEPIERRE SA,015936,291199.00000000,22.44500000,22.53000000,21.92500000
