tic,datadate,gvkeyx,conm,prccd
I0005,2000-01-03,000005,Dow Jones Industrials-30 Stk,11357.51000000
I0005,2000-01-04,000005,Dow Jones Industrials-30 Stk,10997.93000000
I0005,2000-01-05,000005,Dow Jones Industrials-30 Stk,11122.65000000
I0005,2000-01-06,000005,Dow Jones Industrials-30 Stk,11253.26000000
I0005,2000-01-07,000005,Dow Jones Industrials-30 Stk,11522.56000000
I0005,2000-01-10,000005,Dow Jones Industrials-30 Stk,11572.20000000
I0005,2000-01-11,000005,Dow Jones Industrials-30 Stk,11511.08000000
I0005,2000-01-12,000005,Dow Jones Industrials-30 Stk,11551.10000000
I0005,2000-01-13,000005,Dow Jones Industrials-30 Stk,11582.43000000
I0005,2000-01-14,000005,Dow Jones Industrials-30 Stk,11722.98000000
I0005,2000-01-18,000005,Dow Jones Industrials-30 Stk,11560.72000000
I0005,2000-01-19,000005,Dow Jones Industrials-30 Stk,11489.36000000
I0005,2000-01-20,000005,Dow Jones Industrials-30 Stk,11351.30000000
I0005,2000-01-21,000005,Dow Jones Industrials-30 Stk,11251.71000000
I0005,2000-01-24,000005,Dow Jones Industrials-30 Stk,11008.17000000
I0005,2000-01-25,000005,Dow Jones Industrials-30 Stk,11029.89000000
I0005,2000-01-26,000005,Dow Jones Industrials-30 Stk,11032.99000000
I0005,2000-01-27,000005,Dow Jones Industrials-30 Stk,11028.02000000
I0005,2000-01-28,000005,Dow Jones Industrials-30 Stk,10738.87000000
I0005,2000-01-31,000005,Dow Jones Industrials-30 Stk,10940.53000000
I0005,2000-02-01,000005,Dow Jones Industrials-30 Stk,11041.05000000
I0005,2000-02-02,000005,Dow Jones Industrials-30 Stk,11003.20000000
I0005,2000-02-03,000005,Dow Jones Industrials-30 Stk,11013.44000000
I0005,2000-02-04,000005,Dow Jones Industrials-30 Stk,10963.80000000
I0005,2000-02-07,000005,Dow Jones Industrials-30 Stk,10905.79000000
I0005,2000-02-08,000005,Dow Jones Industrials-30 Stk,10957.60000000
I0005,2000-02-09,000005,Dow Jones Industrials-30 Stk,10699.16000000
I0005,2000-02-10,000005,Dow Jones Industrials-30 Stk,10643.63000000
I0005,2000-02-11,000005,Dow Jones Industrials-30 Stk,10425.21000000
I0005,2000-02-14,000005,Dow Jones Industrials-30 Stk,10519.84000000
I0005,2000-02-15,000005,Dow Jones Industrials-30 Stk,10718.09000000
I0005,2000-02-16,000005,Dow Jones Industrials-30 Stk,10561.41000000
