"","Estimate","Std..Error","t.value","Pr...t..","c.nm_var..nm_var..nm_var..nm_var..nm_var..nm_var.","model_diagnostics"
"alpha",0.019223,0.024823,0.77441,0.438688,"SP500 CESIGL",89.6400833980255
"gamma",0.252839,0.047744,5.295681,0,"SP500 CESIGL",0.74773460248213
"beta",0.823035,0.028403,28.977223,0,"SP500 CESIGL",1633.29710707673
"m",0.243498,0.262975,0.925934,0.35448,"SP500 CESIGL",9171.461209
"theta",0.003488,0.003573,0.976178,0.328976,"SP500 CESIGL",9208.499276
"w2",81.867145,0.129689,631.258965,0,"SP500 CESIGL",-4579.73060429908
"alpha109",0.019219,0.024515,0.783981,0.433051,"SP500 CESIEUR",89.6363644876027
"gamma109",0.252832,0.0438,5.772393,0,"SP500 CESIEUR",0.747734285189738
"beta109",0.823041,0.026994,30.48924,0,"SP500 CESIEUR",1633.29224080127
"m109",0.243429,0.164933,1.47593,0.139963,"SP500 CESIEUR",9171.460216
"theta109",0.003488,0.003576,0.975612,0.329257,"SP500 CESIEUR",9208.498284
"w2109",85.174542,0.115626,736.639937,0,"SP500 CESIEUR",-4579.73010804071
"alpha108",0.020626,0.02256,0.914281,0.360569,"SP500 CESICNY",87.2963966685748
"gamma108",0.254219,0.042516,5.97931,0,"SP500 CESICNY",0.74866606796293
"beta108",0.817498,0.026336,31.040495,0,"SP500 CESICNY",1630.71521411347
"m108",0.221291,0.143024,1.547221,0.12181,"SP500 CESICNY",9173.541262
"theta108",-0.004302,0.005357,-0.802984,0.421984,"SP500 CESICNY",9210.57933
"w2108",1.453504,0.299727,4.849431,0.000001,"SP500 CESICNY",-4580.77063103921
"alpha107",0.022111,0.0264,0.837546,0.402286,"SP500 China_Sust",83.5430371575057
"gamma107",0.257139,0.054706,4.700393,0.000003,"SP500 China_Sust",0.745677561855318
"beta107",0.812051,0.029178,27.831387,0,"SP500 China_Sust",1624.69456975404
"m107",0.142479,0.411655,0.346114,0.729257,"SP500 China_Sust",9163.166213
"theta107",3.033854,0.462247,6.563278,0,"SP500 China_Sust",9200.204281
"w2107",1.05715,0.215915,4.896132,0.000001,"SP500 China_Sust",-4575.58310642007
"alpha106",0.026789,0.028994,0.923927,0.355525,"SP500 GER_Sust",94.5729929042496
"gamma106",0.253105,0.059578,4.24827,0.000022,"SP500 GER_Sust",0.747756036206127
"beta106",0.813775,0.033817,24.064297,0,"SP500 GER_Sust",1632.3734941661
"m106",0.233499,0.525641,0.444218,0.656885,"SP500 GER_Sust",9170.944518
"theta106",2.456117,0.526662,4.663556,0.000003,"SP500 GER_Sust",9207.982585
"w2106",1.745059,0.574548,3.037275,0.002387,"SP500 GER_Sust",-4579.47225878372
"alpha105",0.021828,0.024518,0.890281,0.373315,"SP500 US_Sust",81.4276976301411
"gamma105",0.255243,0.045468,5.613703,0,"SP500 US_Sust",0.748483950228605
"beta105",0.816111,0.028301,28.83646,0,"SP500 US_Sust",1630.23328536923
"m105",0.281794,0.178423,1.579354,0.114255,"SP500 US_Sust",9172.632889
"theta105",-0.917497,0.218986,-4.189749,0.000028,"SP500 US_Sust",9209.670957
"w2105",2.770409,0.178517,15.519042,0,"SP500 US_Sust",-4580.31644448502
"alpha104",0.018332,0.024482,0.74881,0.453972,"SP500 Global_Sust",73.3762162026681
"gamma104",0.260377,0.041845,6.222423,0,"SP500 Global_Sust",0.747755824831945
"beta104",0.815989,0.026109,31.25325,0,"SP500 Global_Sust",1631.12180327217
"m104",0.264382,0.167807,1.57551,0.115139,"SP500 Global_Sust",9170.151822
"theta104",-3.225388,0.100442,-32.111991,0,"SP500 Global_Sust",9207.18989
"w2104",3.091771,0.384323,8.044719,0,"SP500 Global_Sust",-4579.07591087825
"alpha103",0.015569,0.022149,0.702939,0.482093,"SP500 Saudi_GPR",93.7996439618495
"gamma103",0.264228,0.039135,6.751746,0,"SP500 Saudi_GPR",0.746116442251524
