tic,datadate,gvkeyx,prccd
I0028,2018-01-02,000208,6511.34400000
I0028,2018-01-03,000208,6575.80100000
I0028,2018-01-04,000208,6584.57800000
I0028,2018-01-05,000208,6653.28900000
I0028,2018-01-08,000208,6676.63300000
I0028,2018-01-09,000208,6677.93400000
I0028,2018-01-10,000208,6662.66000000
I0028,2018-01-11,000208,6708.49200000
I0028,2018-01-12,000208,6758.53900000
I0028,2018-01-16,000208,6737.13700000
I0028,2018-01-17,000208,6810.28500000
I0028,2018-01-18,000208,6811.37900000
I0028,2018-01-19,000208,6834.32800000
I0028,2018-01-22,000208,6906.27700000
I0028,2018-01-23,000208,6963.46500000
I0028,2018-01-24,000208,6919.35200000
I0028,2018-01-25,000208,6916.30500000
I0028,2018-01-26,000208,7022.97300000
I0028,2018-01-29,000208,6988.31600000
I0028,2018-01-30,000208,6930.72700000
I0028,2018-01-31,000208,6949.98800000
I0028,2018-02-01,000208,6901.50400000
I0028,2018-02-02,000208,6760.28900000
I0028,2018-02-05,000208,6495.91800000
I0028,2018-02-06,000208,6665.98000000
I0028,2018-02-07,000208,6582.02300000
I0028,2018-02-08,000208,6306.10200000
I0028,2018-02-09,000208,6412.68000000
I0028,2018-02-12,000208,6523.85200000
I0028,2018-02-13,000208,6553.86300000
I0028,2018-02-14,000208,6675.03100000
I0028,2018-02-15,000208,6794.92200000
I0028,2018-02-16,000208,6770.66400000
I0028,2018-02-20,000208,6779.69500000
I0028,2018-02-21,000208,6759.26200000
I0028,2018-02-22,000208,6761.85500000
I0028,2018-02-23,000208,6896.60200000
I0028,2018-02-26,000208,6989.09800000
I0028,2018-02-27,000208,6900.35200000
I0028,2018-02-28,000208,6854.41800000
I0028,2018-03-01,000208,6750.54300000
I0028,2018-03-02,000208,6811.03900000
I0028,2018-03-05,000208,6881.28100000
I0028,2018-03-06,000208,6913.02300000
I0028,2018-03-07,000208,6929.38700000
I0028,2018-03-08,000208,6966.42600000
I0028,2018-03-09,000208,7101.18000000
I0028,2018-03-12,000208,7131.12100000
I0028,2018-03-13,000208,7046.51200000
I0028,2018-03-14,000208,7040.98000000
I0028,2018-03-15,000208,7030.96900000
I0028,2018-03-16,000208,7019.94900000
I0028,2018-03-19,000208,6864.88300000
I0028,2018-03-20,000208,6885.91800000
I0028,2018-03-21,000208,6853.45300000
I0028,2018-03-22,000208,6682.25400000
I0028,2018-03-23,000208,6508.09000000
I0028,2018-03-26,000208,6753.83200000
I0028,2018-03-27,000208,6529.84000000
I0028,2018-03-28,000208,6460.80900000
I0028,2018-03-29,000208,6581.12500000
I0028,2018-04-02,000208,6390.83600000
I0028,2018-04-03,000208,6458.83200000
I0028,2018-04-04,000208,6560.05900000
I0028,2018-04-05,000208,6594.84000000
I0028,2018-04-06,000208,6433.21500000
I0028,2018-04-09,000208,6472.34400000
I0028,2018-04-10,000208,6615.87100000
I0028,2018-04-11,000208,6583.44500000
I0028,2018-04-12,000208,6656.25400000
I0028,2018-04-13,000208,6628.34400000
I0028,2018-04-16,000208,6675.18000000
I0028,2018-04-17,000208,6816.36700000
I0028,2018-04-18,000208,6833.21100000
I0028,2018-04-19,000208,6774.88700000
I0028,2018-04-20,000208,6667.75000000
I0028,2018-04-23,000208,6648.80500000
I0028,2018-04-24,000208,6509.04700000
I0028,2018-04-25,000208,6513.94100000
I0028,2018-04-26,000208,6649.65200000
I0028,2018-04-27,000208,6656.35200000
I0028,2018-04-30,000208,6605.57000000
I0028,2018-05-01,000208,6681.96100000
I0028,2018-05-02,000208,6644.47700000
I0028,2018-05-03,000208,6643.48000000
I0028,2018-05-04,000208,6769.11700000
I0028,2018-05-07,000208,6821.87500000
I0028,2018-05-08,000208,6815.48400000
I0028,2018-05-09,000208,6893.21500000
I0028,2018-05-10,000208,6963.54700000
I0028,2018-05-11,000208,6952.56300000
I0028,2018-05-14,000208,6964.37100000
I0028,2018-05-15,000208,6888.53500000
I0028,2018-05-16,000208,6929.96500000
I0028,2018-05-17,000208,6901.63300000
I0028,2018-05-18,000208,6866.25400000
I0028,2018-05-21,000208,6905.53100000
I0028,2018-05-22,000208,6893.62100000
I0028,2018-05-23,000208,6953.62900000
I0028,2018-05-24,000208,6949.69900000
I0028,2018-05-25,000208,6960.91800000
I0028,2018-05-29,000208,6926.54300000
I0028,2018-05-30,000208,6976.36700000
I0028,2018-05-31,000208,6967.73000000
I0028,2018-06-01,000208,7083.92600000
I0028,2018-06-04,000208,7143.57000000
I0028,2018-06-05,000208,7166.75400000
I0028,2018-06-06,000208,7210.08200000
I0028,2018-06-07,000208,7152.83200000
I0028,2018-06-08,000208,7152.62100000
I0028,2018-06-11,000208,7168.48000000
I0028,2018-06-12,000208,7209.18400000
