,0
2005-01-01,4.85
2005-04-01,4.83
2005-07-01,4.55
2005-10-01,4.56
2006-01-01,4.53
2006-04-01,4.64
2006-07-01,4.85
2006-10-01,5.17
2007-01-01,5.49
2007-04-01,5.72
2007-07-01,6.3
2007-10-01,6.31
2008-01-01,5.69
2008-04-01,5.86
2008-07-01,5.81
2008-10-01,4.6
2009-01-01,2.06
2009-04-01,1.33
2009-07-01,0.81
2009-10-01,0.59
2010-01-01,0.6
2010-04-01,0.66
2010-07-01,0.75
2010-10-01,0.75
2011-01-01,0.78
2011-04-01,0.82
2011-07-01,0.9
2011-10-01,1.05
2012-01-01,1.09
2012-04-01,1.01
2012-07-01,0.74
2012-10-01,0.51
2013-01-01,0.49
2013-04-01,0.49
2013-07-01,0.49
2013-10-01,0.51
2014-01-01,0.53
2014-04-01,0.54
2014-07-01,0.55
2014-10-01,0.53
2015-01-01,0.53
2015-04-01,0.54
2015-07-01,0.57
2015-10-01,0.57
2016-01-01,0.57
2016-04-01,0.56
2016-07-01,0.46
2016-10-01,0.38
