,0
2005-01-07,-0.7457
2005-01-14,-0.7164
2005-01-21,-0.7276
2005-01-28,-0.7986
2005-02-04,-0.895
2005-02-11,-0.8563
2005-02-18,-0.9603
2005-02-25,-0.9719
2005-03-04,-0.9441
2005-03-11,-0.9596
2005-03-18,-0.7993
2005-03-25,-0.7476
2005-04-01,-0.7218
2005-04-08,-0.7382
2005-04-15,-0.6912
2005-04-22,-0.6217
2005-04-29,-0.7652
2005-05-06,-0.7756
2005-05-13,-0.62
2005-05-20,-0.527
2005-05-27,-0.8083
2005-06-03,-0.7119
2005-06-10,-0.7058
2005-06-17,-0.8007
2005-06-24,-0.6884
2005-07-01,-0.8037
2005-07-08,-0.7432
2005-07-15,-0.9071
2005-07-22,-0.8543
2005-07-29,-0.942
2005-08-05,-0.9265
2005-08-12,-0.8953
2005-08-19,-0.8202
2005-08-26,-0.8273
2005-09-02,-0.6551
2005-09-09,-0.8443
2005-09-16,-0.8523
2005-09-23,-0.7968
2005-09-30,-0.8569
2005-10-07,-0.7207
2005-10-14,-0.5879
2005-10-21,-0.8418
2005-10-28,-0.8787
2005-11-04,-0.9138
2005-11-11,-0.8449
2005-11-18,-0.7362
2005-11-25,-0.7852
2005-12-02,-0.7269
2005-12-09,-0.7196
2005-12-16,-0.7386
2005-12-23,-0.7023
2005-12-30,-0.6616
2006-01-06,-0.8546
2006-01-13,-1.0014
2006-01-20,-0.8366
2006-01-27,-1.0051
2006-02-03,-1.0643
2006-02-10,-0.9374
2006-02-17,-1.0355
2006-02-24,-1.1183
2006-03-03,-1.081
2006-03-10,-0.9728
2006-03-17,-1.0229
2006-03-24,-1.0614
2006-03-31,-1.0537
2006-04-07,-1.0288
2006-04-14,-0.961
2006-04-21,-1.0447
2006-04-28,-1.1029
2006-05-05,-1.1091
2006-05-12,-1.1179
2006-05-19,-0.8923
2006-05-26,-0.7987
2006-06-02,-0.9312
2006-06-09,-0.8059
2006-06-16,-0.7419
2006-06-23,-0.8148
2006-06-30,-0.8651
2006-07-07,-0.9905
2006-07-14,-0.7926
2006-07-21,-0.7889
2006-07-28,-0.9376
2006-08-04,-0.8983
2006-08-11,-0.927
2006-08-18,-1.0305
