Date,Instrument,Close Price
2005-01-03,.CESIUSD,22.0
2005-01-04,.CESIUSD,22.5
2005-01-05,.CESIUSD,27.6
2005-01-06,.CESIUSD,27.7
2005-01-07,.CESIUSD,26.0
2005-01-10,.CESIUSD,27.5
2005-01-11,.CESIUSD,29.1
2005-01-12,.CESIUSD,0.4
2005-01-13,.CESIUSD,-2.2
2005-01-14,.CESIUSD,1.6
2005-01-17,.CESIUSD,-1.0
2005-01-18,.CESIUSD,5.1
2005-01-19,.CESIUSD,3.9
2005-01-20,.CESIUSD,-3.0
2005-01-21,.CESIUSD,-4.6
2005-01-24,.CESIUSD,-6.6
2005-01-25,.CESIUSD,-3.3
2005-01-26,.CESIUSD,-4.3
2005-01-27,.CESIUSD,-5.0
2005-01-28,.CESIUSD,-13.2
2005-01-31,.CESIUSD,-17.2
2005-02-01,.CESIUSD,-20.9
2005-02-02,.CESIUSD,-23.7
2005-02-03,.CESIUSD,-29.1
2005-02-04,.CESIUSD,-32.7
2005-02-07,.CESIUSD,-37.2
2005-02-08,.CESIUSD,-37.9
2005-02-09,.CESIUSD,-39.1
2005-02-10,.CESIUSD,-36.4
2005-02-11,.CESIUSD,-36.6
2005-02-14,.CESIUSD,-38.2
2005-02-15,.CESIUSD,-32.9
2005-02-16,.CESIUSD,-30.5
2005-02-17,.CESIUSD,-26.5
2005-02-18,.CESIUSD,-27.1
2005-02-21,.CESIUSD,-26.0
2005-02-22,.CESIUSD,-24.1
2005-02-23,.CESIUSD,-23.9
2005-02-24,.CESIUSD,-24.7
2005-02-25,.CESIUSD,-22.5
2005-02-28,.CESIUSD,-20.0
2005-03-01,.CESIUSD,-25.0
2005-03-02,.CESIUSD,-24.3
2005-03-03,.CESIUSD,-24.5
2005-03-04,.CESIUSD,-23.8
2005-03-07,.CESIUSD,-23.2
2005-03-08,.CESIUSD,-23.1
2005-03-09,.CESIUSD,-23.0
2005-03-10,.CESIUSD,-22.6
2005-03-11,.CESIUSD,-29.1
2005-03-14,.CESIUSD,-27.3
2005-03-15,.CESIUSD,-22.2
2005-03-16,.CESIUSD,-19.5
2005-03-17,.CESIUSD,-24.0
2005-03-18,.CESIUSD,-25.2
2005-03-21,.CESIUSD,-24.6
2005-03-22,.CESIUSD,-24.0
2005-03-23,.CESIUSD,-20.5
2005-03-24,.CESIUSD,-17.2
2005-03-25,.CESIUSD,-16.8
2005-03-28,.CESIUSD,-15.4
2005-03-29,.CESIUSD,-15.7
2005-03-30,.CESIUSD,-19.2
2005-03-31,.CESIUSD,-7.8
2005-04-01,.CESIUSD,-7.7
2005-04-04,.CESIUSD,-6.9
2005-04-05,.CESIUSD,-5.9
2005-04-06,.CESIUSD,-4.7
2005-04-07,.CESIUSD,-3.5
2005-04-08,.CESIUSD,-2.2
2005-04-11,.CESIUSD,6.4
2005-04-12,.CESIUSD,-2.8
2005-04-13,.CESIUSD,-11.5
2005-04-14,.CESIUSD,-11.5
2005-04-15,.CESIUSD,-10.0
2005-04-18,.CESIUSD,-9.8
2005-04-19,.CESIUSD,-14.1
2005-04-20,.CESIUSD,-7.5
2005-04-21,.CESIUSD,0.9
2005-04-22,.CESIUSD,1.0
2005-04-25,.CESIUSD,1.5
2005-04-26,.CESIUSD,12.3
2005-04-27,.CESIUSD,10.4
2005-04-28,.CESIUSD,2.8
2005-04-29,.CESIUSD,6.3
2005-05-02,.CESIUSD,2.2
2005-05-03,.CESIUSD,3.0
2005-05-04,.CESIUSD,4.6
2005-05-05,.CESIUSD,4.4
2005-05-06,.CESIUSD,14.5
2005-05-09,.CESIUSD,13.1
2005-05-10,.CESIUSD,12.4
2005-05-11,.CESIUSD,42.1
2005-05-12,.CESIUSD,53.4
2005-05-13,.CESIUSD,50.8
2005-05-16,.CESIUSD,32.4
2005-05-17,.CESIUSD,28.2
2005-05-18,.CESIUSD,22.0
2005-05-19,.CESIUSD,16.5
2005-05-20,.CESIUSD,16.4
2005-05-23,.CESIUSD,16.0
2005-05-24,.CESIUSD,16.1
2005-05-25,.CESIUSD,16.1
2005-05-26,.CESIUSD,14.3
2005-05-27,.CESIUSD,15.0
2005-05-30,.CESIUSD,16.0
2005-05-31,.CESIUSD,17.2
2005-06-01,.CESIUSD,15.2
2005-06-02,.CESIUSD,15.2
2005-06-03,.CESIUSD,3.6
2005-06-06,.CESIUSD,4.1
2005-06-07,.CESIUSD,4.5
2005-06-08,.CESIUSD,5.3
2005-06-09,.CESIUSD,5.0
2005-06-10,.CESIUSD,9.0
2005-06-13,.CESIUSD,7.7
2005-06-14,.CESIUSD,0.4
2005-06-15,.CESIUSD,-6.6
2005-06-16,.CESIUSD,-14.3
2005-06-17,.CESIUSD,-10.5
2005-06-20,.CESIUSD,-12.2
2005-06-21,.CESIUSD,-12.7
2005-06-22,.CESIUSD,-12.8
2005-06-23,.CESIUSD,-12.9
2005-06-24,.CESIUSD,-9.7
2005-06-27,.CESIUSD,-10.2
2005-06-28,.CESIUSD,-8.7
2005-06-29,.CESIUSD,-6.6
2005-06-30,.CESIUSD,-7.0
2005-07-01,.CESIUSD,1.8
2005-07-04,.CESIUSD,2.4
2005-07-05,.CESIUSD,2.7
