Date,Instrument,Close Price
2005-01-03,.5SP35,346.8074
2005-01-04,.5SP35,344.2478
2005-01-05,.5SP35,343.1532
2005-01-06,.5SP35,345.624
2005-01-07,.5SP35,345.7193
2005-01-10,.5SP35,348.3383
2005-01-11,.5SP35,346.3522
2005-01-12,.5SP35,348.4539
2005-01-13,.5SP35,342.7906
2005-01-14,.5SP35,344.6828
2005-01-14,.5SP35,344.6828
2005-01-18,.5SP35,347.0291
2005-01-19,.5SP35,344.921
2005-01-20,.5SP35,343.6356
2005-01-21,.5SP35,340.6924
2005-01-24,.5SP35,337.9174
2005-01-25,.5SP35,340.4818
2005-01-26,.5SP35,342.314
2005-01-27,.5SP35,341.8546
2005-01-28,.5SP35,338.9584
2005-01-31,.5SP35,339.1301
2005-02-01,.5SP35,342.5069
2005-02-02,.5SP35,343.9182
2005-02-03,.5SP35,342.9619
2005-02-04,.5SP35,345.9395
2005-02-07,.5SP35,346.5583
2005-02-08,.5SP35,347.059
2005-02-09,.5SP35,342.7963
2005-02-10,.5SP35,343.8998
2005-02-11,.5SP35,347.2534
2005-02-14,.5SP35,347.2961
2005-02-15,.5SP35,347.3604
2005-02-16,.5SP35,346.4519
2005-02-17,.5SP35,346.0512
2005-02-18,.5SP35,351.5579
2005-02-18,.5SP35,351.5579
2005-02-22,.5SP35,346.6513
2005-02-23,.5SP35,348.7857
2005-02-24,.5SP35,351.5486
2005-02-25,.5SP35,354.5475
2005-02-28,.5SP35,348.9465
2005-03-01,.5SP35,352.0527
2005-03-02,.5SP35,352.0284
2005-03-03,.5SP35,351.8988
2005-03-04,.5SP35,354.5669
2005-03-07,.5SP35,355.7688
2005-03-08,.5SP35,353.2863
2005-03-09,.5SP35,351.3087
2005-03-10,.5SP35,352.3817
2005-03-11,.5SP35,348.6748
2005-03-14,.5SP35,350.1291
2005-03-15,.5SP35,346.0545
2005-03-16,.5SP35,343.3185
2005-03-17,.5SP35,343.849
2005-03-18,.5SP35,344.0583
2005-03-21,.5SP35,342.0834
2005-03-22,.5SP35,341.5944
2005-03-23,.5SP35,345.9656
2005-03-24,.5SP35,346.2362
2005-03-24,.5SP35,346.2362
2005-03-28,.5SP35,345.7158
2005-03-29,.5SP35,344.5783
2005-03-30,.5SP35,349.4852
2005-03-31,.5SP35,346.9179
2005-04-01,.5SP35,344.1268
2005-04-04,.5SP35,345.8559
2005-04-05,.5SP35,352.1723
2005-04-06,.5SP35,352.8712
2005-04-07,.5SP35,356.1695
2005-04-08,.5SP35,353.3982
2005-04-11,.5SP35,353.3544
2005-04-12,.5SP35,355.4258
2005-04-13,.5SP35,357.0688
2005-04-14,.5SP35,356.1765
2005-04-15,.5SP35,357.7375
2005-04-18,.5SP35,354.8803
2005-04-19,.5SP35,354.9486
2005-04-20,.5SP35,350.46
2005-04-21,.5SP35,355.4049
2005-04-22,.5SP35,354.4365
2005-04-25,.5SP35,354.8253
2005-04-26,.5SP35,352.5495
2005-04-27,.5SP35,355.6854
2005-04-28,.5SP35,353.208
2005-04-29,.5SP35,358.5663
2005-05-02,.5SP35,359.8464
2005-05-03,.5SP35,360.5876
2005-05-04,.5SP35,363.6292
2005-05-05,.5SP35,363.5772
2005-05-06,.5SP35,362.5236
2005-05-09,.5SP35,364.6102
2005-05-10,.5SP35,362.4034
2005-05-11,.5SP35,363.3444
2005-05-12,.5SP35,362.5891
2005-05-13,.5SP35,360.2858
2005-05-16,.5SP35,364.152
2005-05-17,.5SP35,364.5555
2005-05-18,.5SP35,364.7764
2005-05-19,.5SP35,365.1346
2005-05-20,.5SP35,364.1326
2005-05-23,.5SP35,365.4713
2005-05-24,.5SP35,365.4942
2005-05-25,.5SP35,363.5245
2005-05-26,.5SP35,364.8568
2005-05-27,.5SP35,363.7944
2005-05-27,.5SP35,363.7944
2005-05-31,.5SP35,361.4679
2005-06-01,.5SP35,363.2602
2005-06-02,.5SP35,363.8135
2005-06-03,.5SP35,361.5429
2005-06-06,.5SP35,361.9185
2005-06-07,.5SP35,362.2484
2005-06-08,.5SP35,359.6034
2005-06-09,.5SP35,361.4741
2005-06-10,.5SP35,360.1329
2005-06-13,.5SP35,362.0052
2005-06-14,.5SP35,364.8847
2005-06-15,.5SP35,364.0336
2005-06-16,.5SP35,365.5789
2005-06-17,.5SP35,367.5373
2005-06-20,.5SP35,367.6512
2005-06-21,.5SP35,366.4723
2005-06-22,.5SP35,365.5697
2005-06-23,.5SP35,362.9514
2005-06-24,.5SP35,361.1935
2005-06-27,.5SP35,359.7298
2005-06-28,.5SP35,363.3929
2005-06-29,.5SP35,362.6221
2005-06-30,.5SP35,359.9194
2005-07-01,.5SP35,359.1929
2005-07-01,.5SP35,359.1929
2005-07-05,.5SP35,361.3484
2005-07-06,.5SP35,358.7511
2005-07-07,.5SP35,358.9253
2005-07-08,.5SP35,363.3529
2005-07-11,.5SP35,364.3723
2005-07-12,.5SP35,364.3249
2005-07-13,.5SP35,362.1116
2005-07-14,.5SP35,363.9292
2005-07-15,.5SP35,365.3296
2005-07-18,.5SP35,363.1938
2005-07-19,.5SP35,363.6309
2005-07-20,.5SP35,368.4534
2005-07-21,.5SP35,364.9716
2005-07-22,.5SP35,364.7031
2005-07-25,.5SP35,362.4249
2005-07-26,.5SP35,363.4009
2005-07-27,.5SP35,366.9142
2005-07-28,.5SP35,370.267
2005-07-29,.5SP35,368.0887
2005-08-01,.5SP35,370.2489
2005-08-02,.5SP35,371.6622
2005-08-03,.5SP35,372.1613
2005-08-04,.5SP35,368.7303
2005-08-05,.5SP35,365.7897
2005-08-08,.5SP35,364.3334
2005-08-09,.5SP35,368.436
2005-08-10,.5SP35,367.6978
2005-08-11,.5SP35,370.1413
2005-08-12,.5SP35,367.661
2005-08-15,.5SP35,368.0628
2005-08-16,.5SP35,365.3094
2005-08-17,.5SP35,366.261
2005-08-18,.5SP35,366.5427
2005-08-19,.5SP35,363.6207
2005-08-22,.5SP35,363.365
2005-08-23,.5SP35,361.1425
2005-08-24,.5SP35,359.9745
2005-08-25,.5SP35,360.6834
2005-08-26,.5SP35,359.056
2005-08-29,.5SP35,362.64
2005-08-30,.5SP35,362.102
2005-08-31,.5SP35,366.0425
2005-09-01,.5SP35,365.8283
2005-09-02,.5SP35,365.9011
2005-09-02,.5SP35,365.9011
2005-09-06,.5SP35,371.6033
2005-09-07,.5SP35,374.1984
2005-09-08,.5SP35,373.2111
2005-09-09,.5SP35,374.982
2005-09-12,.5SP35,373.7026
2005-09-13,.5SP35,369.162
2005-09-14,.5SP35,368.4321
2005-09-15,.5SP35,368.5291
2005-09-16,.5SP35,371.381
2005-09-19,.5SP35,368.5895
2005-09-20,.5SP35,365.7908
2005-09-21,.5SP35,364.0825
2005-09-22,.5SP35,364.5209
2005-09-23,.5SP35,364.6947
2005-09-26,.5SP35,363.9584
2005-09-27,.5SP35,362.1749
2005-09-28,.5SP35,362.2388
2005-09-29,.5SP35,363.4528
2005-09-30,.5SP35,363.7711
2005-10-03,.5SP35,363.4903
2005-10-04,.5SP35,365.2433
2005-10-05,.5SP35,359.4283
2005-10-06,.5SP35,356.9693
2005-10-07,.5SP35,356.0664
2005-10-10,.5SP35,355.652
2005-10-11,.5SP35,353.0225
2005-10-12,.5SP35,353.5322
2005-10-13,.5SP35,355.5288
2005-10-14,.5SP35,357.3804
2005-10-17,.5SP35,357.0333
2005-10-18,.5SP35,356.3298
2005-10-19,.5SP35,360.5847
2005-10-20,.5SP35,352.6431
2005-10-21,.5SP35,350.3887
2005-10-24,.5SP35,353.232
2005-10-25,.5SP35,350.9911
2005-10-26,.5SP35,346.9288
2005-10-27,.5SP35,345.182
2005-10-28,.5SP35,350.7949
2005-10-31,.5SP35,352.769
2005-11-01,.5SP35,351.011
2005-11-02,.5SP35,351.2878
2005-11-03,.5SP35,353.708
2005-11-04,.5SP35,355.1964
2005-11-07,.5SP35,355.8661
2005-11-08,.5SP35,354.5064
2005-11-09,.5SP35,355.2997
2005-11-10,.5SP35,359.3694
2005-11-11,.5SP35,360.0756
2005-11-14,.5SP35,356.7537
2005-11-15,.5SP35,359.3421
2005-11-16,.5SP35,358.3626
2005-11-17,.5SP35,360.3986
2005-11-18,.5SP35,361.2705
2005-11-21,.5SP35,361.8426
2005-11-22,.5SP35,360.1669
2005-11-23,.5SP35,360.5049
