date,SPX,VIX,VVIX,Skew,Realized Vol
2006-03-06,1278.26,12.74,71.73,116.6,8.88
2006-03-07,1275.88,12.66,71.73,116.21,8.67
2006-03-08,1278.47,12.32,71.73,117.21,8.69
2006-03-09,1272.23,12.68,71.73,114.2,8.37
2006-03-10,1281.58,11.85,71.73,116.21,8.32
2006-03-13,1284.13,11.37,71.73,116.54,8.35
2006-03-14,1297.48,10.74,71.73,114.43,9.05
2006-03-15,1303.02,11.35,15.71,119.12,9.13
2006-03-16,1305.33,11.98,27.94,142.02,8.51
2006-03-17,1307.25,12.12,28.6,130.06,8.47
2006-03-20,1305.08,11.79,37.93,124.39,8.02
2006-03-21,1297.23,11.62,37.35,120.69,8.31
2006-03-22,1305.04,11.21,37.35,121.7,8.53
2006-03-23,1301.67,11.17,37.35,119.23,8.25
2006-03-24,1302.95,11.19,37.35,124.34,8.18
2006-03-27,1301.61,11.46,37.35,118.23,8.17
2006-03-28,1293.23,11.58,37.35,118.71,8.38
2006-03-29,1302.89,10.95,37.35,117.94,7.88
2006-03-30,1300.25,11.57,37.35,116.77,7.41
2006-03-31,1294.83,11.39,37.35,115.72,7.49
2006-04-03,1297.81,11.57,37.35,115.48,7.49
2006-04-04,1305.93,11.14,37.35,117.06,7.36
2006-04-05,1311.56,11.13,37.35,117.1,7.45
2006-04-06,1309.04,11.45,37.35,118.03,7.45
2006-04-07,1295.5,12.26,37.35,115.7,8.09
2006-04-10,1296.6,12.19,37.35,116.51,7.7
2006-04-11,1286.57,13.0,69.55,113.56,8.17
2006-04-12,1288.12,12.76,69.55,115.71,7.35
2006-04-13,1289.12,12.38,69.55,117.99,7.17
2006-04-13,1289.12,12.38,69.55,117.99,7.17
2006-04-17,1285.33,12.58,69.55,113.56,7.19
2006-04-18,1307.65,11.4,69.55,116.74,9.26
2006-04-19,1309.93,11.32,69.55,121.7,9.28
2006-04-20,1311.46,11.64,69.55,130.0,9.0
2006-04-21,1311.28,11.59,69.55,122.05,8.77
