Date,Instrument,Price Close
2005-01-03,.SKEWX,118.38
2005-01-04,.SKEWX,116.03
2005-01-05,.SKEWX,114.72
2005-01-06,.SKEWX,114.15
2005-01-07,.SKEWX,114.95
2005-01-10,.SKEWX,116.92
2005-01-11,.SKEWX,115.29
2005-01-12,.SKEWX,110.89
2005-01-13,.SKEWX,112.57
2005-01-14,.SKEWX,117.02
2005-01-14,.SKEWX,117.02
2005-01-18,.SKEWX,117.55
2005-01-19,.SKEWX,115.4
2005-01-20,.SKEWX,115.37
2005-01-21,.SKEWX,123.58
2005-01-24,.SKEWX,120.1
2005-01-25,.SKEWX,121.29
2005-01-26,.SKEWX,121.28
2005-01-27,.SKEWX,125.01
2005-01-28,.SKEWX,119.22
2005-01-31,.SKEWX,119.87
2005-02-01,.SKEWX,119.92
2005-02-02,.SKEWX,121.2
2005-02-03,.SKEWX,118.52
2005-02-04,.SKEWX,123.18
2005-02-07,.SKEWX,119.47
2005-02-08,.SKEWX,120.75
2005-02-09,.SKEWX,118.59
2005-02-10,.SKEWX,119.71
2005-02-11,.SKEWX,123.73
2005-02-14,.SKEWX,118.9
2005-02-15,.SKEWX,121.3
2005-02-16,.SKEWX,122.1
2005-02-17,.SKEWX,123.75
2005-02-18,.SKEWX,127.87
2005-02-18,.SKEWX,127.87
2005-02-22,.SKEWX,124.5
2005-02-23,.SKEWX,126.82
2005-02-24,.SKEWX,125.33
2005-02-25,.SKEWX,126.89
2005-02-28,.SKEWX,119.82
2005-03-01,.SKEWX,118.15
2005-03-02,.SKEWX,116.6
2005-03-03,.SKEWX,122.87
2005-03-04,.SKEWX,121.98
2005-03-07,.SKEWX,123.86
2005-03-08,.SKEWX,127.25
2005-03-09,.SKEWX,115.85
2005-03-10,.SKEWX,118.5
2005-03-11,.SKEWX,114.64
2005-03-14,.SKEWX,113.03
2005-03-15,.SKEWX,115.41
2005-03-16,.SKEWX,112.82
2005-03-17,.SKEWX,115.02
2005-03-18,.SKEWX,121.75
2005-03-21,.SKEWX,117.72
2005-03-22,.SKEWX,117.15
2005-03-23,.SKEWX,116.35
2005-03-24,.SKEWX,119.08
2005-03-24,.SKEWX,119.08
2005-03-28,.SKEWX,114.21
2005-03-29,.SKEWX,117.21
2005-03-30,.SKEWX,117.36
2005-03-31,.SKEWX,118.51
2005-04-01,.SKEWX,116.28
2005-04-04,.SKEWX,117.6
2005-04-05,.SKEWX,118.07
2005-04-06,.SKEWX,115.82
2005-04-07,.SKEWX,115.81
2005-04-08,.SKEWX,114.01
2005-04-11,.SKEWX,112.55
2005-04-12,.SKEWX,111.18
2005-04-13,.SKEWX,121.01
2005-04-14,.SKEWX,115.82
2005-04-15,.SKEWX,120.41
2005-04-18,.SKEWX,117.85
2005-04-19,.SKEWX,121.86
2005-04-20,.SKEWX,119.97
2005-04-21,.SKEWX,122.8
2005-04-22,.SKEWX,120.59
2005-04-25,.SKEWX,121.68
2005-04-26,.SKEWX,118.98
2005-04-27,.SKEWX,123.91
2005-04-28,.SKEWX,117.28
2005-04-29,.SKEWX,116.12
2005-05-02,.SKEWX,119.44
2005-05-03,.SKEWX,118.29
2005-05-04,.SKEWX,120.47
2005-05-05,.SKEWX,122.82
2005-05-06,.SKEWX,119.54
2005-05-09,.SKEWX,119.57
2005-05-10,.SKEWX,117.85
2005-05-11,.SKEWX,120.91
2005-05-12,.SKEWX,117.85
2005-05-13,.SKEWX,118.22
2005-05-16,.SKEWX,125.22
2005-05-17,.SKEWX,122.02
2005-05-18,.SKEWX,125.16
2005-05-19,.SKEWX,127.39
2005-05-20,.SKEWX,128.09
2005-05-23,.SKEWX,131.23
2005-05-24,.SKEWX,130.79
2005-05-25,.SKEWX,128.6
2005-05-26,.SKEWX,129.17
2005-05-27,.SKEWX,125.92
2005-05-27,.SKEWX,125.92
2005-05-31,.SKEWX,120.56
2005-06-01,.SKEWX,127.65
2005-06-02,.SKEWX,127.81
2005-06-03,.SKEWX,123.59
2005-06-06,.SKEWX,122.68
2005-06-07,.SKEWX,118.38
2005-06-08,.SKEWX,121.36
2005-06-09,.SKEWX,118.89
2005-06-10,.SKEWX,118.48
2005-06-13,.SKEWX,117.06
2005-06-14,.SKEWX,120.13
2005-06-15,.SKEWX,118.55
2005-06-16,.SKEWX,119.11
2005-06-17,.SKEWX,119.51
2005-06-20,.SKEWX,121.29
2005-06-21,.SKEWX,123.75
2005-06-22,.SKEWX,123.98
2005-06-23,.SKEWX,118.55
2005-06-24,.SKEWX,115.92
2005-06-27,.SKEWX,118.02
2005-06-28,.SKEWX,119.31
2005-06-29,.SKEWX,118.46
2005-06-30,.SKEWX,118.19
2005-07-01,.SKEWX,123.58
2005-07-01,.SKEWX,123.58
2005-07-05,.SKEWX,123.74
2005-07-06,.SKEWX,121.08
2005-07-07,.SKEWX,121.98
2005-07-08,.SKEWX,125.02
2005-07-11,.SKEWX,121.16
2005-07-12,.SKEWX,114.08
2005-07-13,.SKEWX,117.08
2005-07-14,.SKEWX,122.32
2005-07-15,.SKEWX,122.48
2005-07-18,.SKEWX,120.34
2005-07-19,.SKEWX,122.06
2005-07-20,.SKEWX,119.56
2005-07-21,.SKEWX,118.17
2005-07-22,.SKEWX,123.71
2005-07-25,.SKEWX,124.87
2005-07-26,.SKEWX,128.46
2005-07-27,.SKEWX,123.21
2005-07-28,.SKEWX,122.62
2005-07-29,.SKEWX,121.3
2005-08-01,.SKEWX,122.04
2005-08-02,.SKEWX,124.73
2005-08-03,.SKEWX,126.6
2005-08-04,.SKEWX,123.18
2005-08-05,.SKEWX,124.87
2005-08-08,.SKEWX,125.0
2005-08-09,.SKEWX,129.16
2005-08-10,.SKEWX,124.07
2005-08-11,.SKEWX,126.87
2005-08-12,.SKEWX,130.28
2005-08-15,.SKEWX,121.1
2005-08-16,.SKEWX,124.23
2005-08-17,.SKEWX,126.12
2005-08-18,.SKEWX,126.88
2005-08-19,.SKEWX,131.42
2005-08-22,.SKEWX,128.65
2005-08-23,.SKEWX,128.47
2005-08-24,.SKEWX,129.26
2005-08-25,.SKEWX,133.49
2005-08-26,.SKEWX,135.54
2005-08-29,.SKEWX,136.64
2005-08-30,.SKEWX,127.27
2005-08-31,.SKEWX,122.61
2005-09-01,.SKEWX,123.96
2005-09-02,.SKEWX,124.85
2005-09-02,.SKEWX,124.85
2005-09-06,.SKEWX,124.65
2005-09-07,.SKEWX,122.84
2005-09-08,.SKEWX,121.89
2005-09-09,.SKEWX,124.37
2005-09-12,.SKEWX,122.2
2005-09-13,.SKEWX,120.11
2005-09-14,.SKEWX,126.3
2005-09-15,.SKEWX,125.0
2005-09-16,.SKEWX,122.94
2005-09-19,.SKEWX,123.85
2005-09-20,.SKEWX,121.28
2005-09-21,.SKEWX,120.4
2005-09-22,.SKEWX,121.85
2005-09-23,.SKEWX,122.16
2005-09-26,.SKEWX,123.44
2005-09-27,.SKEWX,121.38
2005-09-28,.SKEWX,121.45
2005-09-29,.SKEWX,123.99
2005-09-30,.SKEWX,115.23
2005-10-03,.SKEWX,124.35
2005-10-04,.SKEWX,116.57
2005-10-05,.SKEWX,114.11
2005-10-06,.SKEWX,115.19
2005-10-07,.SKEWX,117.01
2005-10-10,.SKEWX,117.14
2005-10-11,.SKEWX,117.99
2005-10-12,.SKEWX,117.83
2005-10-13,.SKEWX,117.82
2005-10-14,.SKEWX,121.73
2005-10-17,.SKEWX,122.73
2005-10-18,.SKEWX,120.57
2005-10-19,.SKEWX,115.27
2005-10-20,.SKEWX,122.32
2005-10-21,.SKEWX,121.19
2005-10-24,.SKEWX,126.31
2005-10-25,.SKEWX,124.62
2005-10-26,.SKEWX,122.83
2005-10-27,.SKEWX,121.33
2005-10-28,.SKEWX,118.18
2005-10-31,.SKEWX,122.5
2005-11-01,.SKEWX,126.11
2005-11-02,.SKEWX,121.02
2005-11-03,.SKEWX,122.41
2005-11-04,.SKEWX,121.77
2005-11-07,.SKEWX,120.03
2005-11-08,.SKEWX,122.33
2005-11-09,.SKEWX,122.56
2005-11-10,.SKEWX,122.96
2005-11-11,.SKEWX,123.85
2005-11-14,.SKEWX,125.85
