date,value
2003-01-01,10697.6
2003-04-01,10777.3
2003-07-01,11038.4
2003-10-01,11246.3
2004-01-01,11447.8
2004-04-01,11649.3
2004-07-01,11803.5
2004-10-01,11967.0
2005-01-01,12182.7
2005-04-01,12376.2
2005-07-01,12589.6
2005-10-01,12735.3
2006-01-01,13020.9
2006-04-01,13193.9
2006-07-01,13308.3
2006-10-01,13487.2
2007-01-01,13632.6
2007-04-01,13755.9
2007-07-01,13926.7
2007-10-01,14080.8
2008-01-01,14185.2
2008-04-01,14256.5
2008-07-01,14429.2
2008-10-01,14264.6
2009-01-01,14075.5
2009-04-01,14149.8
2009-07-01,14301.5
2009-10-01,14463.4
2010-01-01,14601.4
2010-04-01,14597.7
2010-07-01,14730.2
2010-10-01,14870.4
2011-01-01,15006.4
2011-04-01,15003.8
2011-07-01,15198.6
2011-10-01,15294.3
2012-01-01,15461.8
2012-04-01,15595.9
2012-07-01,15775.7
2012-10-01,15829.0
2013-01-01,16010.2
2013-04-01,16633.4
2013-07-01,16857.6
2013-10-01,17102.5
2014-01-01,17149.6
2014-04-01,17294.7
2014-07-01,17535.4
2014-10-01,17710.7
2015-01-01,17710.0
2015-04-01,17840.5
2015-07-01,18034.8
2015-10-01,18128.2
2016-01-01,18221.1
2016-04-01,18437.6
2016-07-01,18651.2
2016-10-01,18860.8
2017-01-01,19007.3
2017-04-01,19226.7
2017-07-01,19495.476
2017-10-01,19738.887
2018-01-01,19965.326
2018-04-01,20402.502
2018-07-01,20659.029
2018-10-01,20891.367
2019-01-01,21062.691
2019-04-01,21337.898
2019-07-01,21525.819
2019-10-01,21734.266
2020-01-01,21537.94
2020-04-01,19408.759
2020-07-01,21157.635
2020-10-01,21479.529
2021-01-01,22048.894
2021-04-01,22722.581
2021-07-01,23173.496
2021-10-01,23992.355
2022-01-01,24382.683
2022-04-01,24851.809
2022-07-01,25663.289
2022-10-01,26132.458
2023-01-01,26465.865
2023-04-01,26834.953
2023-07-01,27623.543
2023-10-01,27938.831
2024-01-01,28284.498
2024-04-01,28629.153
2024-07-01,29349.924
2024-10-01,29700.58
2025-01-01,29977.632
