,Instrument,Company Common Name,Date,Price Close,Close Price
0,9888.HK,Baidu Inc,,,
1,9888.HK,,,,
2,9888.HK,,,,
3,9888.HK,,,,
4,9888.HK,,,,
5,9888.HK,,,,
6,9888.HK,,,,
7,9888.HK,,,,
8,9888.HK,,,,
9,9888.HK,,,,
10,9888.HK,,,,
11,9888.HK,,,,
12,9888.HK,,,,
13,9888.HK,,,,
14,9888.HK,,,,
15,9888.HK,,,,
16,9888.HK,,,,
17,9888.HK,,,,
18,9888.HK,,,,
19,9888.HK,,,,
20,9888.HK,,,,
21,9888.HK,,,,
22,9888.HK,,,,
23,9888.HK,,,,
24,9888.HK,,,,
25,9888.HK,,,,
26,9888.HK,,,,
27,9888.HK,,,,
28,9888.HK,,,,
29,9888.HK,,,,
30,9888.HK,,,,
31,9888.HK,,,,
32,9888.HK,,,,
33,9888.HK,,,,
34,9888.HK,,,,
35,9888.HK,,,,
36,9888.HK,,,,
37,9888.HK,,,,
38,9888.HK,,,,
39,9888.HK,,,,
40,9888.HK,,,,
41,9888.HK,,,,
42,9888.HK,,,,
43,9888.HK,,,,
44,9888.HK,,,,
45,9888.HK,,,,
46,9888.HK,,,,
47,9888.HK,,,,
48,9888.HK,,,,
49,9888.HK,,,,
50,9888.HK,,,,
51,9888.HK,,,,
52,9888.HK,,,,
53,9888.HK,,,,
54,9888.HK,,,,
55,9888.HK,,,,
56,9888.HK,,,,
57,9888.HK,,,,
58,9888.HK,,,,
59,9888.HK,,,,
60,9888.HK,,,,
61,9888.HK,,,,
62,9888.HK,,,,
63,9888.HK,,,,
64,9888.HK,,,,
65,9888.HK,,,,
66,9888.HK,,,,
67,9888.HK,,,,
68,9888.HK,,,,
69,9888.HK,,,,
70,9888.HK,,,,
71,9888.HK,,,,
72,9888.HK,,,,
73,9888.HK,,,,
74,9888.HK,,,,
75,9888.HK,,,,
76,9888.HK,,,,
77,9888.HK,,,,
78,9888.HK,,,,
79,9888.HK,,,,
80,9888.HK,,,,
81,9888.HK,,,,
82,9888.HK,,,,
83,9888.HK,,,,
84,9888.HK,,,,
85,9888.HK,,,,
86,9888.HK,,,,
87,9888.HK,,,,
88,9888.HK,,,,
89,9888.HK,,,,
90,9888.HK,,,,
91,9888.HK,,,,
92,9888.HK,,,,
93,9888.HK,,,,
94,9888.HK,,,,
95,9888.HK,,,,
96,9888.HK,,,,
97,9888.HK,,,,
98,9888.HK,,,,
99,9888.HK,,,,
100,9888.HK,,,,
101,9888.HK,,,,
102,9888.HK,,,,
103,9888.HK,,,,
104,9888.HK,,,,
105,9888.HK,,,,
106,9888.HK,,,,
107,9888.HK,,,,
108,9888.HK,,,,
109,9888.HK,,,,
110,9888.HK,,,,
111,9888.HK,,,,
112,9888.HK,,,,
113,9888.HK,,,,
114,9888.HK,,,,
115,9888.HK,,,,
116,9888.HK,,,,
117,9888.HK,,,,
118,9888.HK,,,,
119,9888.HK,,,,
120,9888.HK,,,,
121,9888.HK,,,,
122,9888.HK,,,,
123,9888.HK,,,,
124,9888.HK,,,,
125,9888.HK,,,,
126,9888.HK,,,,
127,9888.HK,,,,
128,9888.HK,,,,
129,9888.HK,,,,
130,9888.HK,,,,
131,9888.HK,,,,
132,9888.HK,,,,
133,9888.HK,,,,
134,9888.HK,,,,
135,9888.HK,,,,
136,9888.HK,,,,
137,9888.HK,,,,
138,9888.HK,,,,
139,9888.HK,,,,
140,9888.HK,,,,
141,9888.HK,,,,
142,9888.HK,,,,
143,9888.HK,,,,
144,9888.HK,,,,
145,9888.HK,,,,
146,9888.HK,,,,
147,9888.HK,,,,
148,9888.HK,,,,
149,9888.HK,,,,
150,9888.HK,,,,
151,9888.HK,,,,
152,9888.HK,,,,
153,9888.HK,,,,
154,9888.HK,,,,
155,9888.HK,,,,
156,9888.HK,,,,
157,9888.HK,,,,
158,9888.HK,,,,
159,9888.HK,,,,
160,9888.HK,,,,
161,9888.HK,,,,
162,9888.HK,,,,
163,9888.HK,,,,
164,9888.HK,,,,
165,9888.HK,,,,
166,9888.HK,,,,
167,9888.HK,,,,
168,9888.HK,,,,
169,9888.HK,,,,
170,9888.HK,,,,
171,9888.HK,,,,
172,9888.HK,,,,
173,9888.HK,,,,
174,9888.HK,,,,
175,9888.HK,,,,
176,9888.HK,,,,
177,9888.HK,,,,
178,9888.HK,,,,
179,9888.HK,,,,
180,9888.HK,,,,
181,9888.HK,,,,
182,9888.HK,,,,
183,9888.HK,,,,
184,9888.HK,,,,
185,9888.HK,,,,
186,9888.HK,,,,
187,9888.HK,,,,
188,9888.HK,,,,
189,9888.HK,,,,
190,9888.HK,,,,
191,9888.HK,,,,
192,9888.HK,,,,
193,9888.HK,,,,
194,9888.HK,,,,
195,9888.HK,,,,
196,9888.HK,,,,
197,9888.HK,,,,
198,9888.HK,,,,
199,9888.HK,,,,
200,9888.HK,,,,
201,9888.HK,,,,
202,9888.HK,,,,
203,9888.HK,,,,
204,9888.HK,,,,
205,9888.HK,,,,
206,9888.HK,,,,
207,9888.HK,,,,
208,9888.HK,,,,
209,9888.HK,,,,
210,9888.HK,,,,
211,9888.HK,,,,
212,9888.HK,,,,
213,9888.HK,,,,
214,9888.HK,,,,
215,9888.HK,,,,
216,9888.HK,,,,
217,9888.HK,,,,
218,9888.HK,,,,
219,9888.HK,,,,
220,9888.HK,,,,
221,9888.HK,,,,
222,9888.HK,,,,
223,9888.HK,,,,
224,9888.HK,,,,
225,9888.HK,,,,
226,9888.HK,,,,
227,9888.HK,,,,
228,9888.HK,,,,
229,9888.HK,,,,
230,9888.HK,,,,
231,9888.HK,,,,
232,9888.HK,,,,
233,9888.HK,,,,
234,9888.HK,,,,
235,9888.HK,,,,
236,9888.HK,,,,
