Date,BKK Leading Index,CFNAI,Equity Vol Measure,St Louis Stress Index
2005-01-01,-1.1212277967843771,0.38,0.26127,-0.747075
2005-02-01,-1.0531867123371894,0.45,0.1106,-0.920875
2005-03-01,-1.0585830032845052,-0.15,0.28851,-0.86265
2005-04-01,-1.0118348064278213,0.5,0.51126,-0.70762
2005-05-01,-0.8876139077669765,0.08,0.46083,-0.682725
2005-06-01,-0.808873523280914,0.44,0.36583,-0.7267
2005-07-01,-0.955821198701783,0.07,0.2365,-0.85006
2005-08-01,-1.1524075199304744,0.17,0.34252,-0.867325
2005-09-01,-1.2317628012291575,-0.85,0.28744,-0.80108
2005-10-01,-0.936884108022494,0.91,0.27243,-0.757275
2005-11-01,-0.7231561690872672,0.9,0.10356,-0.820025
2005-12-01,-0.5843040445315971,0.42,0.2798,-0.7098
2006-01-01,-0.5362958093599917,0.65,0.39768,-0.924425
2006-02-01,-0.6115241904873627,0.17,0.05057,-1.038875
2006-03-01,-0.6733913168452643,0.37,0.13958,-1.03836
2006-04-01,-0.7930361946317619,0.03,0.24338,-1.0343499999999999
2006-05-01,-0.9131785754631352,-0.21,0.36913,-0.9794999999999999
2006-06-01,-0.8258643150288015,0.04,0.11395,-0.83178
2006-07-01,-0.7726794641250232,-0.22,0.17287,-0.8774
2006-08-01,-0.5889960194868454,0.03,0.33504,-0.96005
2006-09-01,-0.2255892902011482,-0.18,0.34501,-0.89108
2006-10-01,-0.0812672271054764,-0.33,0.14396,-0.9659500000000001
2006-11-01,-0.1790651733489939,-0.23,0.2627,-0.95905
2006-12-01,-0.3524555552945208,0.89,0.37621,-0.92544
2007-01-01,-0.4683347324192086,-0.69,0.22553,-1.0290249999999999
2007-02-01,-0.6415574100714908,0.29,0.25404,-1.1076000000000001
2007-03-01,-0.8014265398111321,0.23,0.64355,-0.8642800000000002
2007-04-01,-0.8734411239895694,-0.12,0.58589,-1.0101
2007-05-01,-0.8829925628863039,-0.14,0.27342,-0.952225
2007-06-01,-0.883915553000089,-0.31,0.41938,-0.7476
2007-07-01,-0.8735167988571684,-0.42,0.10333,-0.5837749999999999
2007-08-01,-0.8359643512939109,-0.57,0.93733,0.71216
2007-09-01,-0.8032341582174958,-0.17,0.50047,1.1044
2007-10-01,-0.7455959439971009,-0.73,0.29289,0.6172
2007-11-01,-0.5792396124412756,-0.06,0.33594,1.3372600000000001
2007-12-01,-0.3087306282692483,-0.58,0.36001,1.726275
2008-01-01,-0.0899536671144616,-0.5,0.47989,1.35625
2008-02-01,0.1406575580347316,-1.15,0.4632,1.2449
2008-03-01,0.3393369105066547,-1.14,0.23716,2.10475
2008-04-01,0.4599865808838127,-1.28,0.14045,1.778625
2008-05-01,0.5631959618246065,-1.35,0.18976,1.09378
2008-06-01,0.7136146497203921,-1.28,0.0443,1.3704
2008-07-01,0.9441848200320696,-1.74,0.22541,1.6225
2008-08-01,1.3074360778651175,-2.27,0.18307,1.59266
2008-09-01,1.5655605466871216,-3.47,0.18676,3.0935750000000004
2008-10-01,1.923855775253922,-1.85,0.36627,8.40354
2008-11-01,2.118979146150973,-3.26,0.30058,6.6377
2008-12-01,1.8979686968523448,-3.85,0.17817,6.016675
2009-01-01,1.5440179266682768,-4.34,0.17876,4.119059999999999
2009-02-01,1.1839108071679028,-2.07,0.1925,3.8325500000000003
2009-03-01,0.8850774077245501,-3.47,0.17958,3.7754250000000003
2009-04-01,0.6170428290388148,-2.53,0.27625,2.7803
2009-05-01,0.1203812260293742,-2.24,0.11837,1.74864
2009-06-01,-0.4232854991406716,-1.72,0.0,1.3341500000000002
2009-07-01,-0.7039228333776055,-0.27,0.10949,0.9661799999999999
2009-08-01,-0.9630902957749132,-0.65,0.10952,0.5902499999999999
2009-09-01,-1.1877666013994186,-0.55,0.20979,0.292675
2009-10-01,-1.3670315787866922,-0.81,0.31943,0.26378
2009-11-01,-1.5144571931410906,-0.15,0.11493,0.158575
2009-12-01,-1.5819696925027174,-0.34,0.20215,-0.11085
2010-01-01,-1.5034425478960567,0.04,0.35236,-0.22482000000000002
2010-02-01,-1.4693908249197571,-0.39,0.05547,-0.1257
2010-03-01,-1.412625041366706,0.49,0.05365,-0.44115
2010-04-01,-1.4197049160370327,0.34,0.05695,-0.403
2010-05-01,-1.4574540092883022,0.1,0.55079,0.658275
2010-06-01,-1.5527432765822609,-0.54,0.3409,0.68665
2010-07-01,-1.558937369362188,0.2,0.28986,0.4774
2010-08-01,-1.4939920311690262,-0.53,0.31893,0.34975
2010-09-01,-1.599798024549527,-0.31,0.15589,0.075625
2010-10-01,-1.7915381429487562,-0.36,0.09925,-0.10378000000000001
2010-11-01,-1.9722302864482404,-0.2,0.51183,-0.114425
2010-12-01,-2.115088802501735,0.45,0.43904,-0.22626
2011-01-01,-2.263417375751231,0.17,0.34358,-0.33085
2011-02-01,-2.240066671967356,-0.23,0.21823,-0.336825
2011-03-01,-2.049145078026281,0.32,0.11747,-0.2064
2011-04-01,-1.8642568542517093,-0.45,0.22166,-0.4379799999999999
2011-05-01,-1.6782040332872543,-0.37,0.23767,-0.344875
2011-06-01,-1.5788963084638648,-0.46,0.11851,-0.1758
2011-07-01,-1.4453481827941077,-0.06,0.33523,-0.2907
2011-08-01,-1.311113831136006,-0.43,1.36789,0.733025
2011-09-01,-1.1026315990775852,-0.22,0.38065,0.8538600000000001
2011-10-01,-0.8464674438572016,-0.13,0.48082,0.6762
2011-11-01,-0.6798219982872968,-0.37,0.18169,0.946125
2011-12-01,-0.5359511591984862,0.17,0.13511,0.6765000000000001
2012-01-01,-0.4207160204596874,0.22,0.60438,0.439575
2012-02-01,-0.3569204285104507,-0.09,0.21354,0.141
2012-03-01,-0.3918117323388268,-0.29,0.48967,-0.031120000000000002
2012-04-01,-0.3640808581562032,0.11,0.11767,0.072925
2012-05-01,-0.3030388645562253,-0.45,0.1337,0.189375
2012-06-01,-0.3163898223914178,-0.15,0.41068,0.22964
2012-07-01,-0.3083687680366312,-0.13,0.58809,0.040075
2012-08-01,-0.4218690904046058,-0.87,0.30882,-0.14887999999999998
2012-09-01,-0.3831778325356919,0.0,0.0,-0.3718
2012-10-01,-0.4257379291247138,-0.56,0.1119,-0.47985
2012-11-01,-0.4605681471398655,0.1,0.54412,-0.38948
2012-12-01,-0.4645944575648623,0.02,0.40792,-0.526925
2013-01-01,-0.5006103377358017,-0.32,0.72831,-0.6536
2013-02-01,-0.371383040359297,0.44,0.19654,-0.6154999999999999
2013-03-01,-0.2688057568505629,-0.23,0.21899,-0.66676
2013-04-01,-0.1757364072598529,-0.53,0.25229,-0.628575
2013-05-01,-0.1459179359204407,-0.3,0.0994,-0.60834
2013-06-01,-0.1414194131182304,-0.13,0.24405,-0.100225
2013-07-01,-0.2362641930315115,-0.15,0.41934,-0.386825
2013-08-01,-0.2647569365536745,0.14,0.05156,-0.32646000000000003
2013-09-01,-0.3101642998991507,0.14,0.4001,-0.365675
2013-10-01,-0.4279702734853591,-0.18,1.0034,-0.46855
2013-11-01,-0.4392092098544864,0.6,0.39647,-0.5871000000000001
2013-12-01,-0.4661626776878421,0.16,0.1708,-0.572425
2014-01-01,-0.4987984014926815,-0.39,0.34287,-0.5616399999999999
2014-02-01,-0.4280176016102631,0.14,0.26646,-0.594375
2014-03-01,-0.2337148383018391,0.2,0.11911,-0.631525
2014-04-01,-0.0841984166797971,-0.32,0.30609,-0.6419250000000001
2014-05-01,0.0834586482439707,0.21,0.11696,-0.71994
2014-06-01,0.2772123336894103,0.12,0.54557,-0.8175749999999999
2014-07-01,0.4115331766778897,0.39,0.17867,-0.732
2014-08-01,0.5412045447451127,-0.21,0.05561,-0.62478
2014-09-01,0.6297190479585225,0.47,0.0,-0.5254
2014-10-01,0.7248782507226371,0.14,0.12185,-0.2981
2014-11-01,0.7710640311022294,0.73,0.12866,-0.416925
2014-12-01,0.7792212394314241,-0.05,0.06081,-0.1992
2015-01-01,0.7641133480721933,0.13,0.74402,0.011600000000000001
2015-02-01,0.6936693145097188,-0.11,0.12186,-0.250075
2015-03-01,0.6410827872508582,-0.42,0.11623,-0.20215
2015-04-01,0.6415869877370699,-0.15,0.0,-0.344425
2015-05-01,0.6560885756488787,-0.17,0.29142,-0.31779999999999997
2015-06-01,0.6702176691535008,0.08,0.11662,-0.243675
2015-07-01,0.6570941326966676,0.34,0.21427,-0.13430000000000003
2015-08-01,0.6886133641448371,-0.41,1.23444,0.137625
2015-09-01,0.6766611727893567,-0.37,0.29327,0.242975
2015-10-01,0.7254020504067302,-0.04,0.13184,0.16394
2015-11-01,0.686943599115547,-0.3,0.21094,0.023725000000000003
2015-12-01,0.7336498973068217,-0.22,0.22347,0.34805
2016-01-01,0.6631166771597083,0.28,0.50688,0.65334
2016-02-01,0.5351753073996556,-0.29,0.9174,0.7444
2016-03-01,0.4550482751029522,-0.44,0.34453,0.184725
2016-04-01,0.4636575115270261,0.1,0.29223,0.15028000000000002
2016-05-01,0.3962433400381988,-0.51,0.29125,0.1089
2016-06-01,0.3525934488339269,0.16,0.38359,0.25479999999999997
2016-07-01,0.275182246983722,0.27,0.44788,0.18460000000000001
2016-08-01,0.1290225862566733,-0.55,0.30714,0.23929999999999998
2016-09-01,0.007547151593501,-0.14,0.0,0.32477999999999996
2016-10-01,-0.1200696593783396,-0.08,0.29737,0.131975
2016-11-01,-0.2398105956131357,-0.27,0.11478,0.060649999999999996
2016-12-01,-0.2875612027665629,0.14,0.69831,-0.13074
2017-01-01,-0.4498016564890996,-0.05,0.41486,-0.13419999999999999
2017-02-01,-0.4685248007915313,0.34,0.44212,-0.21652500000000002
