Date,VIX,VXN NASDAQ,High Yield Spread
2005-01-03,14.08,19.5,3.06
2005-01-04,13.98,20.06,2.97
2005-01-05,14.09,20.18,3.04
2005-01-06,13.58,20.13,3.09
2005-01-07,13.49,19.15,3.07
2005-01-10,13.23,19.61,3.1
2005-01-11,13.19,19.67,3.19
2005-01-12,12.56,19.28,3.2
2005-01-13,12.84,19.09,3.24
2005-01-14,12.43,18.57,3.22
2005-01-17,,,3.21
2005-01-18,12.47,18.75,3.24
2005-01-19,13.18,19.24,3.24
2005-01-20,13.83,19.5,3.33
2005-01-21,14.36,19.37,3.37
2005-01-24,14.65,19.87,3.37
2005-01-25,14.06,19.52,3.29
2005-01-26,13.44,18.92,3.27
2005-01-27,13.24,18.58,3.23
2005-01-28,13.24,18.58,3.27
2005-01-31,12.82,18.43,3.29
2005-02-01,12.03,17.76,3.26
2005-02-02,11.66,17.3,3.2
2005-02-03,11.79,17.36,3.15
2005-02-04,11.21,16.92,3.19
2005-02-07,11.73,17.56,3.17
2005-02-08,11.6,17.6,3.14
2005-02-09,12.0,18.24,3.22
2005-02-10,11.51,17.92,3.16
2005-02-11,11.43,17.19,3.12
2005-02-14,11.52,17.68,3.11
2005-02-15,11.27,17.56,3.06
2005-02-16,11.1,17.41,2.99
2005-02-17,11.77,17.53,2.99
2005-02-18,11.18,17.87,2.93
2005-02-21,,,2.93
2005-02-22,13.14,19.0,2.92
2005-02-23,12.39,18.44,2.93
2005-02-24,11.57,17.61,2.88
2005-02-25,11.49,17.34,2.85
2005-02-28,12.08,18.07,2.83
2005-03-01,12.04,17.78,2.81
2005-03-02,12.5,18.2,2.84
2005-03-03,12.93,18.76,2.83
2005-03-04,11.94,18.13,2.86
2005-03-07,12.26,17.73,2.82
2005-03-08,12.4,17.86,2.76
2005-03-09,12.7,17.8,2.71
2005-03-10,12.49,17.88,2.78
2005-03-11,12.8,18.57,2.73
2005-03-14,12.39,18.35,2.77
2005-03-15,13.15,18.68,2.77
2005-03-16,13.49,19.01,2.89
2005-03-17,13.29,18.46,3.0
2005-03-18,13.14,17.88,2.98
2005-03-21,13.61,17.83,3.08
2005-03-22,14.27,18.03,3.08
2005-03-23,14.06,17.68,3.19
2005-03-24,13.42,17.15,3.18
2005-03-25,,,
2005-03-28,13.75,17.74,3.19
2005-03-29,14.49,17.99,3.28
2005-03-30,13.64,17.36,3.38
2005-03-31,14.02,17.65,3.52
2005-04-01,14.09,17.61,3.55
2005-04-04,14.11,18.07,3.59
2005-04-05,13.68,17.67,3.53
2005-04-06,13.15,17.35,3.48
2005-04-07,12.33,16.67,3.41
2005-04-08,12.62,16.96,3.39
2005-04-11,11.98,16.9,3.47
2005-04-12,11.3,16.24,3.58
2005-04-13,13.31,16.07,3.61
2005-04-14,14.53,18.01,3.75
2005-04-15,17.74,21.85,3.89
2005-04-18,16.56,21.38,3.98
2005-04-19,14.96,19.11,4.0
2005-04-20,16.92,20.23,3.94
2005-04-21,14.41,18.52,3.82
2005-04-22,15.38,19.04,3.86
2005-04-25,14.62,18.58,3.88
2005-04-26,14.91,18.68,3.92
2005-04-27,14.87,18.76,4.04
2005-04-28,16.86,20.13,4.16
2005-04-29,15.31,18.54,4.15
2005-05-02,15.12,20.8,4.17
2005-05-03,14.53,20.14,4.13
2005-05-04,13.85,18.32,4.12
2005-05-05,13.98,18.12,4.13
2005-05-06,14.05,17.58,4.07
2005-05-09,13.75,18.37,4.05
2005-05-10,14.91,18.11,4.13
2005-05-11,14.45,17.87,4.23
2005-05-12,16.12,18.81,4.28
2005-05-13,16.32,18.41,4.39
2005-05-16,15.68,18.77,4.49
2005-05-17,14.57,18.28,4.57
2005-05-18,13.63,17.55,4.55
2005-05-19,13.32,16.95,4.4
2005-05-20,13.14,15.88,4.33
2005-05-23,12.95,16.04,4.29
2005-05-24,12.69,15.84,4.28
2005-05-25,12.58,15.62,4.16
2005-05-26,12.24,15.0,4.07
2005-05-27,12.15,15.15,4.02
2005-05-30,,,4.02
2005-05-31,13.29,16.08,4.13
2005-06-01,12.36,15.87,4.13
2005-06-02,11.84,14.95,4.0
2005-06-03,12.15,15.59,3.9
2005-06-06,12.28,15.74,3.99
2005-06-07,12.39,15.61,3.99
2005-06-08,12.7,15.8,3.98
2005-06-09,12.08,15.27,4.01
2005-06-10,11.96,15.87,3.91
2005-06-13,11.65,15.74,3.88
2005-06-14,11.79,15.75,3.83
2005-06-15,11.46,15.45,3.78
2005-06-16,11.15,14.97,3.83
2005-06-17,11.48,14.63,3.81
2005-06-20,11.47,14.7,3.81
2005-06-21,11.08,13.43,3.82
2005-06-22,11.05,14.04,3.9
2005-06-23,12.13,15.07,3.88
2005-06-24,12.18,15.3,3.93
2005-06-27,12.52,15.73,3.96
2005-06-28,11.58,14.84,3.86
2005-06-29,11.77,14.46,3.81
2005-06-30,12.04,14.46,3.85
2005-07-01,11.4,14.27,3.75
2005-07-04,,,3.75
2005-07-05,11.68,14.5,3.71
2005-07-06,12.27,14.77,3.75
2005-07-07,12.49,15.14,3.78
2005-07-08,11.45,13.8,3.67
2005-07-11,11.28,13.57,3.61
2005-07-12,10.95,14.77,3.54
2005-07-13,10.84,14.88,3.51
2005-07-14,10.81,14.21,3.46
2005-07-15,10.33,13.34,3.43
2005-07-18,10.77,13.81,3.4
2005-07-19,10.45,13.06,3.43
2005-07-20,10.23,12.89,3.43
2005-07-21,10.97,13.47,3.36
2005-07-22,10.52,12.95,3.39
2005-07-25,11.1,13.58,3.36
2005-07-26,10.99,13.56,3.35
2005-07-27,10.36,12.76,3.31
2005-07-28,10.52,12.61,3.33
2005-07-29,11.57,13.87,3.25
2005-08-01,12.08,14.38,3.29
2005-08-02,11.75,13.95,3.29
2005-08-03,11.83,13.72,3.32
2005-08-04,12.52,14.94,3.31
2005-08-05,12.48,15.4,3.29
2005-08-08,13.21,15.95,3.31
2005-08-09,12.4,15.25,3.33
2005-08-10,12.38,15.67,3.32
2005-08-11,12.42,15.73,3.37
2005-08-12,12.74,15.63,3.42
2005-08-15,12.26,15.07,3.37
2005-08-16,13.52,16.2,3.41
2005-08-17,13.3,15.57,3.37
2005-08-18,13.42,15.29,3.41
2005-08-19,13.42,16.16,3.39
2005-08-22,13.42,15.94,3.39
2005-08-23,13.34,15.57,3.4
2005-08-24,14.17,15.43,3.38
2005-08-25,13.73,15.35,3.38
2005-08-26,13.72,15.37,3.34
2005-08-29,13.52,15.3,3.37
2005-08-30,13.65,15.36,3.48
2005-08-31,12.6,14.71,3.66
2005-09-01,13.15,15.07,3.7
2005-09-02,13.57,15.67,3.7
2005-09-05,,,3.7
2005-09-06,12.93,14.89,3.64
2005-09-07,12.52,14.9,3.61
2005-09-08,12.93,14.7,3.59
2005-09-09,11.98,14.27,3.59
2005-09-12,11.65,15.16,3.55
2005-09-13,12.39,14.97,3.58
2005-09-14,12.91,15.57,3.57
2005-09-15,12.49,15.76,3.55
2005-09-16,11.22,14.58,3.54
2005-09-19,12.14,14.69,3.61
2005-09-20,12.64,15.17,3.65
2005-09-21,13.79,15.85,3.75
2005-09-22,13.33,15.3,3.81
2005-09-23,12.96,15.16,3.71
2005-09-26,13.04,14.82,3.65
2005-09-27,12.76,14.39,3.66
2005-09-28,12.63,14.35,3.69
2005-09-29,12.24,14.37,3.67
2005-09-30,11.92,13.31,3.54
2005-10-03,12.46,13.97,3.47
2005-10-04,13.2,14.91,3.48
2005-10-05,14.55,15.86,3.51
2005-10-06,14.96,16.79,3.55
2005-10-07,14.59,16.62,3.59
2005-10-10,15.55,17.28,3.59
2005-10-11,15.63,17.15,3.66
2005-10-12,16.22,17.76,3.72
2005-10-13,16.47,17.19,3.77
2005-10-14,14.87,16.23,3.72
2005-10-17,14.67,16.22,3.61
2005-10-18,15.33,16.48,3.56
2005-10-19,13.5,15.57,3.6
2005-10-20,16.11,16.35,3.58
2005-10-21,16.13,15.82,3.59
2005-10-24,14.74,15.23,3.54
2005-10-25,14.53,15.28,3.49
2005-10-26,14.59,15.87,3.49
2005-10-27,16.02,17.7,3.57
2005-10-28,14.25,17.52,3.58
2005-10-31,15.32,17.99,3.61
2005-11-01,14.85,17.39,3.57
2005-11-02,13.48,15.82,3.54
2005-11-03,13.0,15.65,3.48
2005-11-04,13.17,15.18,3.48
2005-11-07,13.1,15.67,3.49
2005-11-08,13.08,15.56,3.55
2005-11-09,12.8,15.87,3.5
2005-11-10,11.9,14.61,3.57
2005-11-11,11.63,14.21,3.56
2005-11-14,12.18,14.68,3.58
2005-11-15,12.23,14.79,3.62
2005-11-16,12.26,13.96,3.72
2005-11-17,11.25,13.28,3.78
2005-11-18,11.12,14.36,3.69
2005-11-21,10.82,14.11,3.71
2005-11-22,10.6,14.01,3.74
2005-11-23,10.96,14.16,3.69
2005-11-24,,,3.69
2005-11-25,10.88,13.89,3.72
2005-11-28,11.84,14.78,3.71
2005-11-29,11.89,15.4,3.61
2005-11-30,12.06,15.31,3.67
2005-12-01,11.24,14.42,3.62
2005-12-02,11.01,13.92,3.63
2005-12-05,11.6,14.6,3.62
2005-12-06,11.52,14.36,3.68
2005-12-07,12.18,14.98,3.66
2005-12-08,12.21,15.44,3.7
2005-12-09,11.69,15.14,3.6
2005-12-12,11.47,14.83,3.59
2005-12-13,11.11,14.22,3.6
2005-12-14,10.48,13.79,3.66
2005-12-15,10.73,13.99,3.64
2005-12-16,10.68,13.19,3.65
2005-12-19,11.38,14.23,3.66
2005-12-20,11.19,14.14,3.65
2005-12-21,10.81,13.97,3.61
2005-12-22,10.29,13.67,3.66
2005-12-23,10.27,13.6,3.71
2005-12-26,,,
2005-12-27,11.57,14.65,3.73
2005-12-28,11.35,14.48,3.69
2005-12-29,11.61,14.62,3.68
2005-12-30,12.07,14.26,3.65
2006-01-02,,,
2006-01-03,11.14,14.69,3.73
2006-01-04,11.37,14.85,3.69
2006-01-05,11.31,15.01,3.64
2006-01-06,11.0,14.95,3.56
2006-01-09,11.13,15.66,3.51
2006-01-10,10.86,15.77,3.5
2006-01-11,10.94,15.23,3.47
2006-01-12,11.2,15.93,3.53
2006-01-13,11.23,15.92,3.62
2006-01-16,,,3.6
2006-01-17,11.91,16.74,3.64
2006-01-18,12.25,17.11,3.64
2006-01-19,11.98,16.51,3.58
2006-01-20,14.56,19.45,3.6
2006-01-23,13.93,19.43,3.59
2006-01-24,13.31,18.37,3.54
2006-01-25,12.87,17.93,3.44
2006-01-26,12.42,17.55,3.42
2006-01-27,11.97,17.31,3.4
2006-01-30,12.39,17.89,3.34
