Date,Instrument,Close Price
2005-01-03,.MOVE,83.9
2005-01-04,.MOVE,83.3
2005-01-05,.MOVE,93.2
2005-01-06,.MOVE,92.4
2005-01-07,.MOVE,92.38
2005-01-10,.MOVE,79.01
2005-01-11,.MOVE,77.85
2005-01-12,.MOVE,76.95
2005-01-13,.MOVE,75.77
2005-01-14,.MOVE,76.61
2005-01-14,.MOVE,76.61
2005-01-18,.MOVE,76.53
2005-01-19,.MOVE,75.96
2005-01-20,.MOVE,74.46
2005-01-21,.MOVE,76.3
2005-01-24,.MOVE,76.95
2005-01-25,.MOVE,77.32
2005-01-26,.MOVE,78.19
2005-01-27,.MOVE,80.21
2005-01-28,.MOVE,78.62
2005-01-31,.MOVE,79.29
2005-02-01,.MOVE,75.96
2005-02-02,.MOVE,83.9
2005-02-03,.MOVE,83.78
2005-02-04,.MOVE,75.51
2005-02-07,.MOVE,72.24
2005-02-08,.MOVE,72.84
2005-02-09,.MOVE,77.1
2005-02-10,.MOVE,80.4
2005-02-11,.MOVE,81.95
2005-02-14,.MOVE,84.66
2005-02-15,.MOVE,84.12
2005-02-16,.MOVE,84.1
2005-02-17,.MOVE,74.24
2005-02-18,.MOVE,78.46
2005-02-18,.MOVE,78.46
2005-02-22,.MOVE,83.99
2005-02-23,.MOVE,81.69
2005-02-24,.MOVE,82.94
2005-02-25,.MOVE,80.7
2005-02-28,.MOVE,90.05
2005-03-01,.MOVE,89.23
2005-03-02,.MOVE,101.41
2005-03-03,.MOVE,99.44
2005-03-04,.MOVE,83.0
2005-03-07,.MOVE,76.3
2005-03-08,.MOVE,81.93
2005-03-09,.MOVE,92.1
2005-03-10,.MOVE,91.14
2005-03-11,.MOVE,93.7
2005-03-14,.MOVE,93.2
2005-03-15,.MOVE,92.0
2005-03-16,.MOVE,90.77
2005-03-17,.MOVE,92.12
2005-03-18,.MOVE,90.1
2005-03-21,.MOVE,91.3
2005-03-22,.MOVE,90.7
2005-03-23,.MOVE,89.0
2005-03-24,.MOVE,88.37
2005-03-24,.MOVE,88.37
2005-03-28,.MOVE,88.91
2005-03-29,.MOVE,89.59
2005-03-30,.MOVE,91.0
2005-03-31,.MOVE,87.7
2005-04-01,.MOVE,75.16
2005-04-04,.MOVE,75.11
2005-04-05,.MOVE,73.64
2005-04-06,.MOVE,81.15
2005-04-07,.MOVE,79.28
2005-04-08,.MOVE,81.4
2005-04-11,.MOVE,78.2
2005-04-12,.MOVE,75.94
2005-04-13,.MOVE,75.59
2005-04-14,.MOVE,74.42
2005-04-15,.MOVE,83.84
2005-04-18,.MOVE,83.84
2005-04-19,.MOVE,84.11
2005-04-20,.MOVE,84.0
2005-04-21,.MOVE,85.81
2005-04-22,.MOVE,84.18
2005-04-25,.MOVE,78.55
2005-04-26,.MOVE,79.2
2005-04-27,.MOVE,79.12
2005-04-28,.MOVE,78.25
2005-04-29,.MOVE,82.53
2005-05-02,.MOVE,82.3
2005-05-03,.MOVE,81.5
2005-05-04,.MOVE,86.9
2005-05-05,.MOVE,82.98
2005-05-06,.MOVE,78.4
2005-05-09,.MOVE,78.7
2005-05-10,.MOVE,78.9
2005-05-11,.MOVE,83.0
2005-05-12,.MOVE,82.17
2005-05-13,.MOVE,87.1
2005-05-16,.MOVE,88.5
2005-05-17,.MOVE,84.7
2005-05-18,.MOVE,81.22
2005-05-19,.MOVE,77.19
2005-05-20,.MOVE,76.6
2005-05-23,.MOVE,73.86
2005-05-24,.MOVE,73.82
2005-05-25,.MOVE,74.06
2005-05-26,.MOVE,72.6
2005-05-27,.MOVE,73.75
2005-05-27,.MOVE,73.75
2005-05-31,.MOVE,75.0
2005-06-01,.MOVE,79.13
2005-06-02,.MOVE,80.76
2005-06-03,.MOVE,78.9
2005-06-06,.MOVE,78.44
2005-06-07,.MOVE,77.86
2005-06-08,.MOVE,82.96
2005-06-09,.MOVE,80.86
2005-06-10,.MOVE,82.53
2005-06-13,.MOVE,80.53
2005-06-14,.MOVE,80.17
2005-06-15,.MOVE,75.24
2005-06-16,.MOVE,73.4
2005-06-17,.MOVE,72.4
2005-06-20,.MOVE,72.2
2005-06-21,.MOVE,73.5
2005-06-22,.MOVE,77.18
2005-06-23,.MOVE,76.51
2005-06-24,.MOVE,76.0
2005-06-27,.MOVE,74.5
2005-06-28,.MOVE,75.7
2005-06-29,.MOVE,76.79
2005-06-30,.MOVE,75.6
2005-07-01,.MOVE,78.85
2005-07-01,.MOVE,78.85
2005-07-05,.MOVE,78.35
2005-07-06,.MOVE,86.29
2005-07-07,.MOVE,87.85
2005-07-08,.MOVE,80.12
2005-07-11,.MOVE,82.93
2005-07-12,.MOVE,81.08
2005-07-13,.MOVE,81.49
2005-07-14,.MOVE,76.47
2005-07-15,.MOVE,77.5
2005-07-18,.MOVE,76.62
2005-07-19,.MOVE,77.42
2005-07-20,.MOVE,74.16
2005-07-21,.MOVE,78.5
2005-07-22,.MOVE,75.54
2005-07-25,.MOVE,75.77
2005-07-26,.MOVE,74.07
2005-07-27,.MOVE,73.78
2005-07-28,.MOVE,72.51
2005-07-29,.MOVE,74.8
2005-08-01,.MOVE,76.52
2005-08-02,.MOVE,76.8
2005-08-03,.MOVE,78.19
2005-08-04,.MOVE,77.6
2005-08-05,.MOVE,75.97
2005-08-08,.MOVE,75.19
2005-08-09,.MOVE,72.63
2005-08-10,.MOVE,72.97
2005-08-11,.MOVE,72.25
2005-08-12,.MOVE,74.01
2005-08-15,.MOVE,73.53
2005-08-16,.MOVE,73.85
2005-08-17,.MOVE,73.3
2005-08-18,.MOVE,72.42
2005-08-19,.MOVE,73.3
2005-08-22,.MOVE,71.7
2005-08-23,.MOVE,71.36
2005-08-24,.MOVE,71.5
2005-08-25,.MOVE,72.16
2005-08-26,.MOVE,73.63
2005-08-29,.MOVE,72.22
2005-08-30,.MOVE,75.0
2005-08-31,.MOVE,78.2
2005-09-01,.MOVE,85.07
2005-09-02,.MOVE,80.66
2005-09-02,.MOVE,80.66
2005-09-06,.MOVE,76.58
2005-09-07,.MOVE,80.3
2005-09-08,.MOVE,80.33
2005-09-09,.MOVE,79.91
2005-09-12,.MOVE,78.21
2005-09-13,.MOVE,78.89
2005-09-14,.MOVE,77.94
2005-09-15,.MOVE,79.5
2005-09-16,.MOVE,82.5
2005-09-19,.MOVE,82.4
2005-09-20,.MOVE,77.53
2005-09-21,.MOVE,77.3
2005-09-22,.MOVE,77.92
2005-09-23,.MOVE,78.17
2005-09-26,.MOVE,78.14
2005-09-27,.MOVE,75.9
2005-09-28,.MOVE,75.46
2005-09-29,.MOVE,75.96
2005-09-30,.MOVE,76.71
2005-10-03,.MOVE,80.3
2005-10-04,.MOVE,77.87
2005-10-05,.MOVE,81.65
2005-10-06,.MOVE,80.28
2005-10-07,.MOVE,77.48
2005-10-07,.MOVE,77.48
2005-10-11,.MOVE,77.54
2005-10-12,.MOVE,77.6
2005-10-13,.MOVE,80.0
2005-10-14,.MOVE,80.7
2005-10-17,.MOVE,81.1
2005-10-18,.MOVE,80.1
2005-10-19,.MOVE,80.09
2005-10-20,.MOVE,79.1
2005-10-21,.MOVE,78.4
2005-10-24,.MOVE,78.0
2005-10-25,.MOVE,77.02
2005-10-26,.MOVE,82.1
2005-10-27,.MOVE,80.7
2005-10-28,.MOVE,80.2
2005-10-31,.MOVE,80.08
2005-11-01,.MOVE,77.96
2005-11-02,.MOVE,82.5
2005-11-03,.MOVE,83.4
2005-11-04,.MOVE,76.5
2005-11-07,.MOVE,76.5
2005-11-08,.MOVE,78.2
2005-11-09,.MOVE,80.5
2005-11-10,.MOVE,79.88
2005-11-10,.MOVE,79.88
2005-11-14,.MOVE,80.9
2005-11-15,.MOVE,80.3
2005-11-16,.MOVE,79.09
2005-11-17,.MOVE,78.83
2005-11-18,.MOVE,76.51
2005-11-21,.MOVE,73.1
2005-11-22,.MOVE,73.1
2005-11-23,.MOVE,73.31
2005-11-23,.MOVE,73.31
2005-11-25,.MOVE,72.06
2005-11-28,.MOVE,72.13
2005-11-29,.MOVE,73.99
2005-11-30,.MOVE,73.5
2005-12-01,.MOVE,73.5
2005-12-02,.MOVE,69.39
2005-12-05,.MOVE,67.7
2005-12-06,.MOVE,67.3
2005-12-07,.MOVE,71.44
2005-12-08,.MOVE,70.6
2005-12-09,.MOVE,71.89
2005-12-12,.MOVE,72.2
2005-12-13,.MOVE,68.36
2005-12-14,.MOVE,70.92
2005-12-15,.MOVE,71.2
2005-12-16,.MOVE,70.27
2005-12-19,.MOVE,67.7
2005-12-20,.MOVE,66.31
2005-12-21,.MOVE,66.4
2005-12-22,.MOVE,66.5
2005-12-23,.MOVE,67.89
2005-12-23,.MOVE,67.89
2005-12-27,.MOVE,68.43
2005-12-28,.MOVE,70.26
2005-12-29,.MOVE,71.23
2005-12-30,.MOVE,72.09
2005-12-30,.MOVE,72.09
2006-01-03,.MOVE,73.29
2006-01-04,.MOVE,74.69
2006-01-05,.MOVE,72.86
2006-01-06,.MOVE,69.12
2006-01-09,.MOVE,64.9
2006-01-10,.MOVE,65.51
2006-01-11,.MOVE,64.5
2006-01-12,.MOVE,64.9
2006-01-13,.MOVE,64.9
2006-01-13,.MOVE,64.9
2006-01-17,.MOVE,63.5
2006-01-18,.MOVE,66.55
2006-01-19,.MOVE,66.24
2006-01-20,.MOVE,66.2
2006-01-23,.MOVE,67.72
2006-01-24,.MOVE,67.5
2006-01-25,.MOVE,72.2
2006-01-26,.MOVE,74.91
2006-01-27,.MOVE,73.7
2006-01-30,.MOVE,75.65
2006-01-31,.MOVE,73.7
2006-02-01,.MOVE,72.8
