"","Estimate","Std..Error","t.value","Pr...t..","c.nm_var..nm_var..nm_var..nm_var..nm_var..nm_var."
"alpha",0.0809,0.006674,12.121031,0,"SP GPR"
"gamma",0.651589,0.077852,8.369536,0,"SP GPR"
"beta",0.001874,0.078635,0.023836,0.980983,"SP GPR"
"m",14.213853,0.078678,180.657518,0,"SP GPR"
"theta",0.004619,0.002687,1.718804,0.08565,"SP GPR"
"w2",1.304344,0.061151,21.329756,0,"SP GPR"
"alpha1",0.081116,0.007232,11.215937,0,"SP GEPU"
"gamma1",0.61075,0.032655,18.703307,0,"SP GEPU"
"beta1",0.001638,0.08478,0.019325,0.984582,"SP GEPU"
"m1",14.172296,0.062626,226.299046,0,"SP GEPU"
"theta1",0.00062,0.002754,0.225308,0.82174,"SP GEPU"
"w21",1.001183,0.089369,11.202768,0,"SP GEPU"
"alpha2",0.081491,0.003399,23.974256,0,"SP NewOrders"
"gamma2",0.646618,0.012446,51.95563,0,"SP NewOrders"
"beta2",0.001944,0.030705,0.063324,0.949509,"SP NewOrders"
"m2",14.200096,0.009547,1487.356739,0,"SP NewOrders"
"theta2",-0.013171,0.006326,-2.081984,0.037344,"SP NewOrders"
"w22",7.306745,0.036353,200.995402,0,"SP NewOrders"
"alpha3",0.083203,0.050002,1.663982,0.096116,"SP UMich"
"gamma3",0.416391,0.257285,1.618404,0.105576,"SP UMich"
"beta3",0.001104,0.598961,0.001843,0.99853,"SP UMich"
"m3",13.998196,0.058133,240.79642,0,"SP UMich"
"theta3",-0.068056,0.007931,-8.581168,0,"SP UMich"
"w23",1.001,0.286401,3.495095,0.000474,"SP UMich"
"alpha4",0.084956,0.013342,6.367653,0,"SP Unemployment"
"gamma4",0.702338,0.007896,88.95066,0,"SP Unemployment"
"beta4",0.001317,0.15279,0.008621,0.993121,"SP Unemployment"
"m4",14.199705,0.096088,147.778891,0,"SP Unemployment"
"theta4",0.757789,0.10043,7.545464,0,"SP Unemployment"
"w24",1.029029,0.215442,4.77636,0.000002,"SP Unemployment"
"alpha5",0.080588,0.011935,6.752411,0,"SP CitiSuprise"
"gamma5",0.616176,0.007416,83.086923,0,"SP CitiSuprise"
"beta5",0.001666,0.143083,0.011643,0.99071,"SP CitiSuprise"
"m5",14.177933,0.079764,177.749068,0,"SP CitiSuprise"
"theta5",0.000278,0.000858,0.323726,0.746146,"SP CitiSuprise"
"w25",3.344409,44.126549,0.075791,0.939585,"SP CitiSuprise"
"alpha6",0.017242,0.011687,1.475336,0.140122,"SP VIX"
"gamma6",0.368324,0.247326,1.489222,0.136429,"SP VIX"
"beta6",0.780735,0.149125,5.235425,0,"SP VIX"
"m6",14.709814,0.154838,95.001246,0,"SP VIX"
"theta6",0.068707,0.002304,29.816025,0,"SP VIX"
"w26",1.001001,0.103397,9.681112,0,"SP VIX"
"alpha7",0.012414,0.004914,2.52604,0.011536,"SP VXN"
"gamma7",0.302968,0.130201,2.326934,0.019969,"SP VXN"
"beta7",0.826393,0.069285,11.92753,0,"SP VXN"
"m7",14.606768,0.831174,17.573658,0,"SP VXN"
"theta7",0.082893,0.002804,29.56428,0,"SP VXN"
"w27",1.001,0.136354,7.341193,0,"SP VXN"
"alpha8",0.080968,0.007443,10.878323,0,"SP RecessionSpread"
"gamma8",0.621593,0.291728,2.130728,0.033112,"SP RecessionSpread"
"beta8",0.001752,0.092349,0.018969,0.984866,"SP RecessionSpread"
"m8",14.179431,0.254223,55.775647,0,"SP RecessionSpread"
"theta8",-0.158541,0.433301,-0.36589,0.714447,"SP RecessionSpread"
"w28",2.758827,1.788192,1.542802,0.122879,"SP RecessionSpread"
"alpha9",0.000366,0.000009,40.960045,0,"SP DefaultSpread"
"gamma9",0.002904,0.000085,34.201318,0,"SP DefaultSpread"
"beta9",0.997182,0.000061,16310.841726,0,"SP DefaultSpread"
"m9",13.504496,0.027726,487.077017,0,"SP DefaultSpread"
"theta9",0.142447,0.005212,27.330493,0,"SP DefaultSpread"
"w29",1.00101,0.100793,9.931342,0,"SP DefaultSpread"
"alpha10",0.000366,0.000009,40.960045,0,"SP DefaultSpread"
"gamma10",0.002904,0.000085,34.201318,0,"SP DefaultSpread"
"beta10",0.997182,0.000061,16310.841726,0,"SP DefaultSpread"
"m10",13.504496,0.027726,487.077017,0,"SP DefaultSpread"
"theta10",0.142447,0.005212,27.330493,0,"SP DefaultSpread"
"w210",1.00101,0.100793,9.931342,0,"SP DefaultSpread"
"alpha11",0.012058,0.009088,1.326866,0.184553,"SP TermSpread"
"gamma11",0.191173,0.143679,1.330561,0.183333,"SP TermSpread"
